datetime,wind_speed_kmh,source_file,year,month,day,hour,time_lst,is_interpolated_or_filled,hour_index_8760
2001-01-01 00:00:00,32.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,1,0,00:00,False,0
2001-01-01 01:00:00,33.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,1,1,01:00,False,1
2001-01-01 02:00:00,28.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,1,2,02:00,False,2
2001-01-01 03:00:00,28.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,1,3,03:00,False,3
2001-01-01 04:00:00,30.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,1,4,04:00,False,4
2001-01-01 05:00:00,26.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,1,5,05:00,False,5
2001-01-01 06:00:00,30.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,1,6,06:00,False,6
2001-01-01 07:00:00,26.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,1,7,07:00,False,7
2001-01-01 08:00:00,26.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,1,8,08:00,False,8
2001-01-01 09:00:00,22.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,1,9,09:00,False,9
2001-01-01 10:00:00,24.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,1,10,10:00,False,10
2001-01-01 11:00:00,24.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,1,11,11:00,False,11
2001-01-01 12:00:00,15.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,1,12,12:00,False,12
2001-01-01 13:00:00,13.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,1,13,13:00,False,13
2001-01-01 14:00:00,6.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,1,14,14:00,False,14
2001-01-01 15:00:00,9.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,1,15,15:00,False,15
2001-01-01 16:00:00,13.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,1,16,16:00,False,16
2001-01-01 17:00:00,11.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,1,17,17:00,False,17
2001-01-01 18:00:00,7.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,1,18,18:00,False,18
2001-01-01 19:00:00,4.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,1,19,19:00,False,19
2001-01-01 20:00:00,9.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,1,20,20:00,False,20
2001-01-01 21:00:00,7.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,1,21,21:00,False,21
2001-01-01 22:00:00,4.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,1,22,22:00,False,22
2001-01-01 23:00:00,9.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,1,23,23:00,False,23
2001-01-02 00:00:00,13.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,2,0,00:00,False,24
2001-01-02 01:00:00,17.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,2,1,01:00,False,25
2001-01-02 02:00:00,20.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,2,2,02:00,False,26
2001-01-02 03:00:00,20.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,2,3,03:00,False,27
2001-01-02 04:00:00,24.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,2,4,04:00,False,28
2001-01-02 05:00:00,24.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,2,5,05:00,False,29
2001-01-02 06:00:00,32.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,2,6,06:00,False,30
2001-01-02 07:00:00,28.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,2,7,07:00,False,31
2001-01-02 08:00:00,6.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,2,8,08:00,False,32
2001-01-02 09:00:00,17.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,2,9,09:00,False,33
2001-01-02 10:00:00,32.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,2,10,10:00,False,34
2001-01-02 11:00:00,24.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,2,11,11:00,False,35
2001-01-02 12:00:00,9.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,2,12,12:00,False,36
2001-01-02 13:00:00,11.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,2,13,13:00,False,37
2001-01-02 14:00:00,9.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,2,14,14:00,False,38
2001-01-02 15:00:00,13.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,2,15,15:00,False,39
2001-01-02 16:00:00,9.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,2,16,16:00,False,40
2001-01-02 17:00:00,0.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,2,17,17:00,False,41
2001-01-02 18:00:00,0.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,2,18,18:00,False,42
2001-01-02 19:00:00,11.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,2,19,19:00,False,43
2001-01-02 20:00:00,6.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,2,20,20:00,False,44
2001-01-02 21:00:00,4.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,2,21,21:00,False,45
2001-01-02 22:00:00,9.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,2,22,22:00,False,46
2001-01-02 23:00:00,7.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,2,23,23:00,False,47
2001-01-03 00:00:00,7.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,3,0,00:00,False,48
2001-01-03 01:00:00,6.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,3,1,01:00,False,49
2001-01-03 02:00:00,9.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,3,2,02:00,False,50
2001-01-03 03:00:00,13.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,3,3,03:00,False,51
2001-01-03 04:00:00,13.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,3,4,04:00,False,52
2001-01-03 05:00:00,11.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,3,5,05:00,False,53
2001-01-03 06:00:00,9.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,3,6,06:00,False,54
2001-01-03 07:00:00,11.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,3,7,07:00,False,55
2001-01-03 08:00:00,6.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,3,8,08:00,False,56
2001-01-03 09:00:00,6.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,3,9,09:00,False,57
2001-01-03 10:00:00,6.0,en_climate_hourly_SK_4016560_01-2001_P1H.csv,2001,1,3,10,10:00,False,58
