wind_speed_midpoint_kmh,North Battleford,Swift Current,Toronto Island A
-19.5,0.00011757990867579908,4.531963470319635e-05,0.00010513698630136986
-18.5,0.0001569634703196347,5.536529680365297e-05,0.00013584474885844748
-17.5,0.00020570776255707764,6.735159817351598e-05,0.00017842465753424659
-16.5,0.00026518264840182646,8.915525114155251e-05,0.0002302511415525114
-15.5,0.00036381278538812783,0.00011575342465753425,0.00028618721461187214
-14.5,0.0004665525114155251,0.00014680365296803653,0.0003628995433789954
-13.5,0.0006160958904109589,0.00018835616438356165,0.0004643835616438356
-12.5,0.0007965753424657535,0.00025878995433789955,0.0005998858447488584
-11.5,0.001022146118721461,0.0003238584474885845,0.0007337899543378995
-10.5,0.0013429223744292238,0.00040616438356164385,0.0009431506849315068
-9.5,0.001736986301369863,0.0005377853881278539,0.0011984018264840184
-8.5,0.002197716894977169,0.0006763698630136986,0.0015342465753424657
-7.5,0.0028632420091324203,0.000834703196347032,0.001881392694063927
-6.5,0.003620205479452055,0.0010676940639269407,0.0024039954337899544
-5.5,0.004537214611872146,0.0013740867579908676,0.002980593607305936
-4.5,0.005720091324200914,0.0017492009132420092,0.0038077625570776255
-3.5,0.0070275114155251145,0.002217009132420091,0.004723059360730594
-2.5,0.008693607305936072,0.0027664383561643835,0.005838127853881278
-1.5,0.01061175799086758,0.0034914383561643835,0.00719703196347032
-0.5,0.012801826484018265,0.004345091324200913,0.008827511415525114
0.5,0.015295776255707763,0.005334018264840183,0.010694063926940639
1.5,0.018033675799086758,0.006609132420091324,0.012815867579908677
2.5,0.020875,0.008131278538812785,0.015154566210045663
3.5,0.024049657534246576,0.009856963470319636,0.01769703196347032
4.5,0.027249657534246574,0.011901255707762556,0.0204851598173516
5.5,0.03047294520547945,0.014225228310502283,0.023387442922374428
6.5,0.03349178082191781,0.016782762557077627,0.026278196347031962
7.5,0.036429794520547946,0.019669863013698632,0.029232762557077626
8.5,0.038930707762557075,0.02275296803652968,0.031678310502283105
9.5,0.04101974885844749,0.025947716894977168,0.0341337899543379
10.5,0.042475,0.029216095890410958,0.03604760273972603
11.5,0.043554337899543376,0.03238093607305936,0.03767237442922374
12.5,0.04402180365296804,0.035163698630136984,0.03891461187214612
13.5,0.04378904109589041,0.037915182648401824,0.03977134703196347
14.5,0.042875228310502285,0.040003881278538815,0.03994771689497717
15.5,0.04175445205479452,0.04179646118721461,0.03972454337899543
16.5,0.03999132420091324,0.042953196347031965,0.03907865296803653
17.5,0.03799566210045662,0.04332671232876712,0.03814349315068493
18.5,0.035515068493150684,0.043187328767123286,0.03674041095890411
19.5,0.032972260273972605,0.04248116438356164,0.03506107305936073
20.5,0.030239269406392693,0.04119246575342466,0.033341438356164384
21.5,0.02774337899543379,0.039659931506849315,0.03142990867579909
22.5,0.025019634703196347,0.037710616438356166,0.02923824200913242
23.5,0.022336415525114155,0.035598858447488585,0.02719931506849315
24.5,0.01991529680365297,0.0330208904109589,0.024979337899543378
25.5,0.01757191780821918,0.03068082191780822,0.02296084474885845
26.5,0.015453881278538813,0.02816244292237443,0.020999657534246575
27.5,0.013420205479452055,0.025567579908675798,0.01912659817351598
28.5,0.011536301369863014,0.02325684931506849,0.017243264840182647
29.5,0.009978424657534247,0.020772260273972602,0.015470890410958903
30.5,0.00851837899543379,0.01848390410958904,0.013932876712328767
31.5,0.007211643835616438,0.01642716894977169,0.012397260273972604
32.5,0.006101369863013698,0.014469292237442923,0.010952853881278538
33.5,0.005121575342465753,0.012603881278538813,0.009678082191780821
34.5,0.004272831050228311,0.010919634703196348,0.008571461187214613
35.5,0.0035878995433789953,0.009514155251141552,0.007510045662100457
36.5,0.00292648401826484,0.00814566210045662,0.006663812785388128
37.5,0.0024174657534246575,0.0070264840182648405,0.005775342465753425
38.5,0.0019888127853881278,0.006014954337899544,0.005037899543378996
39.5,0.0016352739726027397,0.005050342465753425,0.00442796803652968
40.5,0.0013476027397260274,0.004243949771689497,0.0037883561643835616
41.5,0.0010654109589041097,0.0035955479452054796,0.0033092465753424656
42.5,0.0008617579908675799,0.003043607305936073,0.002805022831050228
43.5,0.0007017123287671233,0.002516552511415525,0.0024567351598173514
44.5,0.0005753424657534246,0.0020871004566210046,0.002070890410958904
45.5,0.0004521689497716895,0.0017482876712328766,0.0017711187214611871
46.5,0.00035331050228310505,0.0014634703196347032,0.001507648401826484
47.5,0.00027819634703196347,0.001202054794520548,0.0012825342465753425
48.5,0.00021986301369863014,0.0009941780821917808,0.0010796803652968036
49.5,0.00017180365296803654,0.0008059360730593607,0.000918607305936073
50.5,0.00013242009132420092,0.0006478310502283105,0.0007779680365296804
51.5,0.00011358447488584475,0.0005404109589041096,0.0006421232876712328
52.5,8.561643835616438e-05,0.0004436073059360731,0.00055662100456621
53.5,7.054794520547945e-05,0.0003595890410958904,0.00045319634703196344
54.5,5.479452054794521e-05,0.00029657534246575344,0.00036700913242009134
55.5,4.4292237442922375e-05,0.00023515981735159816,0.00032773972602739723
56.5,3.367579908675799e-05,0.0001812785388127854,0.00026358447488584476
57.5,2.6712328767123288e-05,0.00015605022831050228,0.0002158675799086758
58.5,2.2146118721461187e-05,0.00012853881278538813,0.00017636986301369862
59.5,1.643835616438356e-05,0.00010319634703196347,0.00014611872146118722
60.5,1.278538812785388e-05,7.842465753424658e-05,0.00011518264840182649
61.5,1.004566210045662e-05,6.563926940639269e-05,9.634703196347031e-05
62.5,6.506849315068493e-06,5.034246575342466e-05,8.82420091324201e-05
63.5,5.707762557077626e-06,4.315068493150685e-05,6.700913242009133e-05
64.5,4.337899543378996e-06,2.9680365296803654e-05,5.6621004566210046e-05
65.5,3.7671232876712327e-06,2.8538812785388127e-05,4.6232876712328766e-05
66.5,3.19634703196347e-06,1.9748858447488585e-05,3.4703196347031966e-05
67.5,1.7123287671232877e-06,1.689497716894977e-05,3.082191780821918e-05
68.5,1.7123287671232877e-06,1.1643835616438355e-05,2.351598173515982e-05
69.5,1.1415525114155251e-06,1.0388127853881278e-05,1.678082191780822e-05
