z_midpoint,North Battleford,Swift Current,Toronto Island A,Common Wind Speed Model
-4.9,1.3698630136986302e-06,2.3972602739726027e-06,2.9680365296803653e-06,2.245053272450533e-06
-4.800000000000001,2.7397260273972604e-06,5.365296803652968e-06,2.511415525114155e-06,3.538812785388128e-06
-4.7,4.10958904109589e-06,5.821917808219178e-06,3.19634703196347e-06,4.375951293759513e-06
-4.6000000000000005,5.136986301369863e-06,4.566210045662101e-06,5.02283105022831e-06,4.908675799086758e-06
-4.5,6.0502283105022834e-06,1.050228310502283e-05,6.1643835616438354e-06,7.572298325722983e-06
-4.4,8.789954337899543e-06,1.2328767123287671e-05,6.849315068493151e-06,9.322678843226789e-06
-4.3,1.1073059360730594e-05,1.3470319634703196e-05,7.990867579908676e-06,1.0844748858447488e-05
-4.2,1.780821917808219e-05,2.009132420091324e-05,1.4954337899543379e-05,1.7617960426179603e-05
-4.1000000000000005,2.100456621004566e-05,2.6712328767123288e-05,1.678082191780822e-05,2.1499238964992388e-05
-4.0,2.9452054794520546e-05,3.6529680365296805e-05,2.2945205479452055e-05,2.9642313546423134e-05
-3.9000000000000004,3.504566210045662e-05,4.463470319634703e-05,2.785388127853881e-05,3.5844748858447486e-05
-3.8000000000000003,5.273972602739726e-05,5.936073059360731e-05,3.949771689497717e-05,5.0532724505327236e-05
-3.7,6.084474885844749e-05,7.23744292237443e-05,4.8059360730593605e-05,6.04261796042618e-05
-3.6,8.367579908675799e-05,9.417808219178083e-05,5.9246575342465756e-05,7.903348554033485e-05
-3.5,0.00010787671232876712,0.00011712328767123287,8.641552511415525e-05,0.00010380517503805175
-3.4000000000000004,0.0001425799086757991,0.00015296803652968037,0.0001069634703196347,0.00013417047184170473
-3.3000000000000003,0.000179337899543379,0.0001978310502283105,0.00013447488584474886,0.00017054794520547946
-3.2,0.00024098173515981736,0.0002623287671232877,0.00018059360730593606,0.00022796803652968037
-3.1,0.000304337899543379,0.0003386986301369863,0.00024315068493150686,0.0002953957382039574
-3.0,0.0004,0.00041723744292237444,0.0003028538812785388,0.00037336377473363774
-2.9000000000000004,0.0005321917808219178,0.0005449771689497717,0.00039452054794520547,0.0004905631659056316
-2.8000000000000003,0.0006608447488584475,0.0006896118721461187,0.0005186073059360731,0.0006230213089802131
-2.7,0.0008557077625570776,0.0008465753424657535,0.0006609589041095891,0.0007877473363774734
-2.6,0.0011014840182648402,0.0010811643835616437,0.0008487442922374429,0.0010104642313546422
-2.5,0.0014184931506849316,0.001391095890410959,0.001104566210045662,0.0013047184170471842
-2.4000000000000004,0.001796917808219178,0.0017662100456621004,0.0014310502283105023,0.00166472602739726
-2.3000000000000003,0.0022624429223744294,0.0022079908675799085,0.0018284246575342466,0.0020996194824961945
-2.2,0.002916095890410959,0.002760958904109589,0.0023255707762557076,0.0026675418569254185
-2.1,0.0036017123287671233,0.003490068493150685,0.0029769406392694065,0.0033562404870624055
-2.0,0.004524429223744292,0.00431175799086758,0.0038378995433789955,0.0042246955859969555
-1.9000000000000001,0.005595547945205479,0.005278538812785388,0.0048718036529680365,0.005248630136986301
-1.8,0.006821118721461187,0.006535045662100457,0.006154794520547945,0.006503652968036529
-1.7000000000000002,0.008355365296803653,0.008017123287671233,0.00766837899543379,0.008013622526636226
-1.6,0.010120091324200914,0.009686872146118722,0.009582762557077625,0.009796575342465754
-1.5,0.012112214611872146,0.011679452054794521,0.011756164383561644,0.01184927701674277
-1.4000000000000001,0.01437648401826484,0.013926255707762557,0.014297146118721462,0.01419996194824962
-1.3,0.01681826484018265,0.01638755707762557,0.01704474885844749,0.016750190258751903
-1.2000000000000002,0.019448059360730595,0.01921906392694064,0.020057762557077627,0.01957496194824962
-1.1,0.022325456621004568,0.02220228310502283,0.023445433789954336,0.022657724505327246
-1.0,0.025121689497716895,0.025320205479452056,0.026745205479452056,0.025729033485540332
