Year,Month,Day,Time (LST),Wind Spd (km/h)
1994,10,5,00:00,9
1994,10,5,01:00,13
1994,10,5,02:00,13
1994,10,5,03:00,11
1994,10,5,04:00,11
1994,10,5,05:00,13
1994,10,5,06:00,0
1994,10,5,07:00,0
1994,10,5,08:00,6
1994,10,5,09:00,0
1994,10,5,10:00,4
1994,10,5,11:00,9
1994,10,5,12:00,13
1994,10,5,13:00,6
1994,10,5,14:00,9
1994,10,5,15:00,7
1994,10,5,16:00,7
1994,10,5,17:00,7
1994,10,5,18:00,7
1994,10,5,19:00,0
1994,10,5,20:00,0
1994,10,5,21:00,0
1994,10,5,22:00,11
1994,10,5,23:00,24
1994,10,6,00:00,24
1994,10,6,01:00,30
1994,10,6,02:00,22
1994,10,6,03:00,13
1994,10,6,04:00,13
1994,10,6,05:00,11
1994,10,6,06:00,11
1994,10,6,07:00,15
1994,10,6,08:00,17
1994,10,6,09:00,24
1994,10,6,10:00,28
1994,10,6,11:00,30
1994,10,6,12:00,24
1994,10,6,13:00,20
1994,10,6,14:00,20
1994,10,6,15:00,19
1994,10,6,16:00,20
1994,10,6,17:00,15
1994,10,6,18:00,13
1994,10,6,19:00,0
1994,10,6,20:00,7
1994,10,6,21:00,4
1994,10,6,22:00,0
1994,10,6,23:00,0
1994,10,7,00:00,0
1994,10,7,01:00,0
1994,10,7,02:00,0
1994,10,7,03:00,0
1994,10,7,04:00,4
1994,10,7,05:00,4
1994,10,7,06:00,6
1994,10,7,07:00,7
1994,10,7,08:00,6
1994,10,7,09:00,6
1994,10,7,10:00,17
1994,10,7,11:00,20
1994,10,7,12:00,26
1994,10,7,13:00,22
1994,10,7,14:00,28
1994,10,7,15:00,28
1994,10,7,16:00,26
1994,10,7,17:00,24
1994,10,7,18:00,24
1994,10,7,19:00,15
1994,10,7,20:00,11
1994,10,7,21:00,9
1994,10,7,22:00,9
1994,10,7,23:00,15
1994,10,8,00:00,9
1994,10,8,01:00,9
1994,10,8,02:00,7
1994,10,8,03:00,4
1994,10,8,04:00,6
1994,10,8,05:00,0
1994,10,8,06:00,0
1994,10,8,07:00,6
1994,10,8,08:00,0
1994,10,8,09:00,0
1994,10,8,10:00,4
1994,10,8,11:00,0
1994,10,8,12:00,4
1994,10,8,13:00,4
1994,10,8,14:00,7
1994,10,8,15:00,4
1994,10,8,16:00,0
1994,10,8,17:00,0
1994,10,8,18:00,0
1994,10,8,19:00,11
1994,10,8,20:00,11
1994,10,8,21:00,13
1994,10,8,22:00,15
1994,10,8,23:00,15
1994,10,9,00:00,15
1994,10,9,01:00,13
1994,10,9,02:00,15
1994,10,9,03:00,13
1994,10,9,04:00,13
1994,10,9,05:00,15
1994,10,9,06:00,13
1994,10,9,07:00,15
1994,10,9,08:00,9
1994,10,9,09:00,7
1994,10,9,10:00,6
1994,10,9,11:00,6
1994,10,9,12:00,6
1994,10,9,13:00,6
1994,10,9,14:00,9
1994,10,9,15:00,13
1994,10,9,16:00,9
1994,10,9,17:00,15
1994,10,9,18:00,19
1994,10,9,19:00,19
1994,10,9,20:00,19
1994,10,9,21:00,15
1994,10,9,22:00,15
1994,10,9,23:00,11
1994,10,10,00:00,11
1994,10,10,01:00,11
1994,10,10,02:00,15
1994,10,10,03:00,11
1994,10,10,04:00,4
1994,10,10,05:00,0
1994,10,10,06:00,4
1994,10,10,07:00,11
1994,10,10,08:00,19
1994,10,10,09:00,13
1994,10,10,10:00,15
1994,10,10,11:00,22
1994,10,10,12:00,28
1994,10,10,13:00,22
1994,10,10,14:00,26
1994,10,10,15:00,28
1994,10,10,16:00,30
1994,10,10,17:00,28
1994,10,10,18:00,13
1994,10,10,19:00,9
1994,10,10,20:00,7
1994,10,10,21:00,9
