parameter_type,lag,value
AR_phi,1,1.0481714388438452
AR_phi,2,-0.09608241590763433
AR_phi,3,-0.030613127162407796
AR_phi,4,-0.0116917130285305
MA_additive,1,-3.043092850256069
MA_additive,2,0.2744481319451509
MA_additive,3,0.13693339992025053
alpha_std,0,0.1707584937257604
