hour_index_8760,mu_t_kmh,sigma_t_kmh,sample_count
0,17.333333333333332,13.051181300301261,3
1,17.666666666666668,13.316656236958787,3
2,15.0,11.532562594670797,3
3,14.333333333333334,11.930353445448853,3
4,12.333333333333334,15.69500982265807,3
5,14.333333333333334,10.408329997330664,3
6,14.333333333333334,13.576941236277534,3
7,14.333333333333334,10.408329997330664,3
8,12.666666666666666,11.547005383792515,3
9,11.0,9.643650760992955,3
10,13.0,10.14889156509222,3
11,9.333333333333334,12.858201014657272,3
12,7.0,7.54983443527075,3
13,8.333333333333334,4.041451884327381,3
14,6.666666666666667,0.5773502691896257,3
15,9.0,2.0,3
16,13.0,2.5275252316519463,3
17,14.333333333333334,3.055050463303893,3
18,13.666666666666666,5.773502691896258,3
19,12.0,7.54983443527075,3
20,14.333333333333334,5.033222956847166,3
21,14.666666666666666,6.8068592855540455,3
22,12.666666666666666,7.767453465154029,3
23,13.666666666666666,5.033222956847167,3
24,16.666666666666668,3.5118845842842457,3
25,18.0,1.7320508075688772,3
26,19.0,1.7320508075688772,3
27,19.666666666666668,0.5773502691896255,3
28,19.333333333333332,4.509249752822894,3
29,20.0,3.605551275463989,3
30,23.333333333333332,7.505553499465135,3
31,21.666666666666668,5.686240703077327,3
32,15.0,8.18535277187245,3
33,18.0,1.7320508075688772,3
34,22.666666666666668,8.144527815247079,3
35,23.0,3.605551275463989,3
36,14.666666666666666,5.507570547286102,3
37,16.0,7.0,3
38,16.666666666666668,8.621678104251709,3
39,18.0,5.5677643628300215,3
40,13.666666666666666,4.163331998932266,3
41,12.0,10.44030650891055,3
42,13.0,11.269427669584644,3
43,14.333333333333334,3.055050463303893,3
44,12.666666666666666,6.506407098647712,3
45,12.333333333333334,8.020806277010642,3
46,11.666666666666666,4.618802153517007,3
47,9.333333333333334,4.932882862316247,3
48,9.333333333333334,4.932882862316247,3
49,13.333333333333334,6.6583281184793925,3
50,19.666666666666668,12.220201853215572,3
51,15.666666666666666,11.239810200058244,3
52,15.0,10.14889156509222,3
53,16.666666666666668,8.144527815247077,3
54,13.666666666666666,10.785793124908958,3
55,16.0,4.58257569495584,3
56,11.0,7.810249675906654,3
57,9.0,5.196152422706632,3
58,5.666666666666667,1.5275252316519468,3
59,9.333333333333334,4.725815626252608,3
60,3.0,5.196152422706632,3
61,10.666666666666666,5.8594652770823155,3
62,5.666666666666667,5.507570547286102,3
63,10.333333333333334,2.309401076758503,3
64,10.666666666666666,5.686240703077327,3
65,11.0,3.4641016151377544,3
66,9.333333333333334,4.725815626252608,3
67,16.333333333333332,4.618802153517007,3
68,19.333333333333332,8.504900548115383,3
69,17.333333333333332,11.150485789118488,3
70,15.0,14.106735979665885,3
71,18.666666666666668,15.56705923844749,3
72,21.0,14.0,3
73,26.0,19.05255888325765,3
74,31.0,22.338307903688676,3
75,33.333333333333336,21.548395145191982,3
76,26.333333333333332,16.623276853055575,3
77,19.0,15.874507866387544,3
78,21.333333333333332,9.71253485622231,3
79,18.333333333333332,14.742229591663987,3
80,15.333333333333334,8.504900548115382,3
81,23.0,22.60530911091463,3
82,25.333333333333332,21.733231083604053,3
83,24.0,22.60530911091463,3
84,23.333333333333332,15.044378795195676,3
85,22.0,13.0,3
86,22.666666666666668,18.77054430040145,3
87,21.666666666666668,16.56301099840646,3
88,21.0,17.52141546793523,3
89,18.333333333333332,16.802777548171413,3
90,19.0,18.520259177452136,3
91,21.0,19.0,3
92,18.333333333333332,14.742229591663987,3
93,17.333333333333332,6.506407098647712,3
94,19.666666666666668,9.71253485622231,3
95,11.666666666666666,4.163331998932265,3
96,16.0,10.816653826391969,3
97,16.0,3.605551275463989,3
98,15.333333333333334,9.71253485622231,3
99,18.0,8.888194417315589,3
100,15.666666666666666,3.055050463303893,3
101,14.333333333333334,15.044378795195678,3
102,14.333333333333334,12.662279942148386,3
103,18.666666666666668,8.621678104251709,3
104,20.0,5.5677643628300215,3
105,21.333333333333332,5.859465277082315,3
106,20.333333333333332,8.144527815247077,3
107,19.666666666666668,7.76745346515403,3
108,23.333333333333332,9.073771725877465,3
109,24.0,9.0,3
110,23.333333333333332,10.408329997330663,3
111,21.666666666666668,11.718930554164631,3
112,25.0,15.620499351813308,3
113,27.0,12.12435565298214,3
114,29.666666666666668,14.843629385474879,3
115,31.333333333333332,16.802777548171413,3
116,28.0,10.14889156509222,3
117,21.666666666666668,10.503967504392488,3
118,24.666666666666668,11.239810200058244,3
119,24.666666666666668,16.50252505931542,3
120,20.333333333333332,12.701705922171765,3
121,14.0,10.44030650891055,3
122,14.666666666666666,19.655363983740756,3
123,14.0,10.44030650891055,3
124,15.0,12.12435565298214,3
125,17.333333333333332,15.50268793897798,3
126,18.666666666666668,14.843629385474879,3
127,19.333333333333332,14.6401275039985,3
128,18.666666666666668,11.372481406154654,3
129,18.666666666666668,11.503622617824933,3
130,20.666666666666668,13.316656236958787,3
131,17.666666666666668,14.011899704655802,3
132,16.0,10.583005244258363,3
133,19.0,5.5677643628300215,3
134,19.666666666666668,4.509249752822894,3
135,21.666666666666668,5.686240703077327,3
136,20.666666666666668,2.886751345948129,3
137,19.333333333333332,4.041451884327381,3
138,17.333333333333332,5.686240703077327,3
139,14.333333333333334,4.163331998932265,3
140,20.333333333333332,4.725815626252608,3
141,21.0,1.7320508075688772,3
142,20.0,7.0,3
143,18.666666666666668,10.016652800877813,3
144,17.0,15.620499351813308,3
145,22.333333333333332,12.701705922171765,3
146,22.333333333333332,17.925772879665004,3
147,24.0,12.12435565298214,3
148,18.0,12.288205727444508,3
149,23.0,3.605551275463989,3
150,17.333333333333332,4.509249752822894,3
151,14.333333333333334,3.055050463303893,3
152,16.0,3.605551275463989,3
153,18.0,6.557438524302,3
154,14.333333333333334,4.618802153517006,3
155,4.666666666666667,4.041451884327381,3
156,10.666666666666666,9.29157324317757,3
157,8.0,3.605551275463989,3
158,12.333333333333334,10.115993936995679,3
159,13.0,10.14889156509222,3
160,10.666666666666666,5.8594652770823155,3
161,11.666666666666666,6.429100507328636,3
162,6.666666666666667,2.516611478423583,3
163,17.333333333333332,9.29157324317757,3
164,19.0,8.660254037844387,3
165,17.0,5.196152422706632,3
166,18.0,2.6457513110645907,3
167,15.0,5.291502622129181,3
168,15.333333333333334,4.509249752822894,3
169,17.0,7.0,3
170,18.0,8.888194417315589,3
171,21.0,13.856406460551018,3
172,23.666666666666668,11.71893055416463,3
173,19.333333333333332,7.505553499465136,3
174,21.0,10.392304845413264,3
175,24.0,10.14889156509222,3
176,25.333333333333332,10.408329997330664,3
177,25.333333333333332,7.0945988845975885,3
178,26.0,9.0,3
179,33.333333333333336,13.576941236277534,3
180,37.0,12.12435565298214,3
181,38.0,14.0,3
182,36.0,15.874507866387544,3
183,33.333333333333336,19.73153144926499,3
184,32.333333333333336,19.295940851208403,3
185,32.0,10.583005244258363,3
186,29.0,9.539392014169456,3
187,33.0,17.05872210923198,3
188,33.333333333333336,11.372481406154654,3
189,31.333333333333332,13.316656236958787,3
190,32.0,13.856406460551018,3
191,32.333333333333336,7.767453465154028,3
192,33.333333333333336,9.237604307034012,3
193,31.0,17.05872210923198,3
194,36.333333333333336,18.230011885167087,3
195,31.0,11.532562594670797,3
196,24.333333333333332,6.806859285554046,3
197,29.0,16.64331697709324,3
198,25.333333333333332,9.29157324317757,3
199,24.666666666666668,15.176736583776282,3
200,24.0,14.106735979665885,3
201,24.666666666666668,15.044378795195676,3
202,29.0,17.52141546793523,3
203,28.666666666666668,21.197484127446195,3
204,37.0,14.106735979665885,3
205,40.0,8.888194417315589,3
206,37.0,15.0,3
207,30.333333333333332,12.662279942148386,3
208,30.666666666666668,7.767453465154029,3
209,25.666666666666668,7.767453465154029,3
210,23.666666666666668,5.859465277082315,3
211,21.666666666666668,2.516611478423583,3
212,22.666666666666668,4.618802153517006,3
213,23.333333333333332,4.163331998932266,3
214,18.0,4.58257569495584,3
215,17.0,3.4641016151377544,3
216,12.333333333333334,4.618802153517006,3
217,10.666666666666666,9.29157324317757,3
218,15.0,2.0,3
219,14.333333333333334,3.055050463303893,3
220,11.0,2.0,3
221,9.666666666666666,3.511884584284246,3
222,8.666666666666666,3.7859388972001824,3
223,7.0,3.605551275463989,3
224,8.666666666666666,8.504900548115382,3
225,8.0,2.6457513110645907,3
226,10.333333333333334,3.055050463303893,3
227,12.0,5.5677643628300215,3
228,14.333333333333334,8.020806277010642,3
229,17.666666666666668,7.767453465154029,3
230,19.666666666666668,4.041451884327381,3
231,19.666666666666668,9.71253485622231,3
232,18.0,5.196152422706632,3
233,17.0,2.0,3
234,14.0,5.5677643628300215,3
235,17.666666666666668,1.1547005383792517,3
236,19.333333333333332,5.859465277082315,3
237,19.333333333333332,4.509249752822893,3
238,17.333333333333332,6.506407098647712,3
239,12.666666666666666,9.814954576223638,3
240,16.666666666666668,8.621678104251709,3
241,16.0,9.539392014169456,3
242,12.0,12.165525060596439,3
243,16.666666666666668,8.621678104251709,3
244,13.666666666666666,11.239810200058244,3
245,13.0,11.532562594670797,3
246,14.333333333333334,7.371114795831994,3
247,14.666666666666666,6.8068592855540455,3
248,17.333333333333332,8.504900548115382,3
249,16.0,6.082762530298219,3
250,18.0,3.605551275463989,3
251,25.0,12.165525060596439,3
252,25.333333333333332,18.33939293797189,3
253,24.666666666666668,17.15614564327703,3
254,23.666666666666668,18.556220879622373,3
255,21.333333333333332,14.011899704655802,3
256,25.333333333333332,13.051181300301263,3
257,23.333333333333332,10.016652800877813,3
258,18.333333333333332,12.013880860626733,3
259,20.666666666666668,13.316656236958785,3
260,17.0,16.09347693943108,3
261,19.666666666666668,9.71253485622231,3
262,18.333333333333332,6.658328118479393,3
263,16.666666666666668,8.736894948054104,3
264,8.0,3.605551275463989,3
265,8.0,7.54983443527075,3
266,13.0,16.822603841260722,3
267,17.666666666666668,18.475208614068027,3
268,18.333333333333332,14.468356276140469,3
269,16.666666666666668,23.072349974229617,3
270,18.0,16.64331697709324,3
271,14.333333333333334,15.044378795195678,3
272,13.0,13.0,3
273,14.333333333333334,14.011899704655802,3
274,14.333333333333334,10.016652800877813,3
275,14.0,12.165525060596439,3
276,12.666666666666666,6.506407098647712,3
277,14.0,7.54983443527075,3
278,15.333333333333334,9.29157324317757,3
279,16.0,5.196152422706632,3
280,17.333333333333332,5.686240703077327,3
281,15.333333333333334,8.504900548115382,3
282,10.666666666666666,4.041451884327381,3
283,11.333333333333334,5.507570547286102,3
284,9.666666666666666,8.144527815247077,3
285,12.333333333333334,10.408329997330663,3
286,13.666666666666666,9.291573243177568,3
287,14.0,5.5677643628300215,3
288,14.0,5.196152422706632,3
289,13.666666666666666,5.033222956847166,3
290,10.666666666666666,4.509249752822894,3
291,12.0,5.5677643628300215,3
292,13.0,4.0,3
293,14.333333333333334,4.163331998932266,3
294,19.333333333333332,11.150485789118488,3
295,17.666666666666668,12.013880860626733,3
296,18.333333333333332,14.468356276140469,3
297,18.0,12.288205727444508,3
298,18.333333333333332,14.468356276140469,3
299,18.333333333333332,12.701705922171765,3
300,20.333333333333332,17.925772879665004,3
301,16.666666666666668,8.621678104251709,3
302,15.333333333333334,7.234178138070234,3
303,16.0,8.54400374531753,3
304,13.666666666666666,8.020806277010642,3
305,12.666666666666666,6.506407098647712,3
306,14.333333333333334,9.073771725877465,3
307,15.0,10.14889156509222,3
308,16.0,10.816653826391969,3
309,17.333333333333332,9.60902353693305,3
310,13.333333333333334,7.767453465154029,3
311,14.333333333333334,11.930353445448855,3
312,15.333333333333334,17.09775813764288,3
313,17.0,11.0,3
314,19.666666666666668,13.503086067019396,3
315,15.0,15.0,3
316,16.0,16.522711641858304,3
317,18.666666666666668,13.576941236277534,3
318,21.333333333333332,17.897858344878397,3
319,23.0,17.776388834631177,3
320,18.0,18.520259177452136,3
321,18.666666666666668,14.502873278538061,3
322,17.0,13.0,3
323,16.666666666666668,13.428824718989125,3
324,21.333333333333332,19.857828011475306,3
325,24.666666666666668,20.5993527406405,3
326,20.333333333333332,18.14754345175493,3
327,15.666666666666666,12.013880860626733,3
328,14.333333333333334,15.044378795195678,3
329,13.0,8.18535277187245,3
330,12.333333333333334,11.239810200058244,3
331,12.333333333333334,11.239810200058244,3
332,10.0,5.196152422706632,3
333,7.0,3.1754264805429417,3
334,8.333333333333334,1.1547005383792515,3
335,4.666666666666667,4.041451884327381,3
336,4.333333333333333,4.509249752822894,3
337,8.666666666666666,5.686240703077327,3
338,11.666666666666666,6.429100507328636,3
339,9.666666666666666,10.016652800877813,3
340,10.0,5.5677643628300215,3
341,14.666666666666666,6.8068592855540455,3
342,15.666666666666666,9.073771725877467,3
343,12.333333333333334,8.504900548115383,3
344,10.0,6.557438524302,3
345,12.333333333333334,7.094598884597588,3
346,11.666666666666666,10.408329997330664,3
347,15.0,5.291502622129181,3
348,14.0,7.0,3
349,13.666666666666666,11.930353445448855,3
350,13.666666666666666,11.930353445448855,3
351,15.333333333333334,7.234178138070234,3
352,12.666666666666666,6.506407098647712,3
353,10.666666666666666,5.859465277082315,3
354,9.333333333333334,3.5118845842842465,3
355,6.0,5.5677643628300215,3
356,4.333333333333333,3.785938897200183,3
357,6.666666666666667,2.5166114784235836,3
358,6.333333333333333,6.506407098647712,3
359,8.0,3.605551275463989,3
360,8.0,2.6457513110645907,3
361,8.333333333333334,1.1547005383792515,3
362,6.666666666666667,0.5773502691896257,3
363,6.666666666666667,5.8594652770823155,3
364,9.333333333333334,5.507570547286102,3
365,6.666666666666667,6.506407098647712,3
366,9.666666666666666,8.144527815247077,3
367,6.666666666666667,11.547005383792515,3
368,11.666666666666666,9.291573243177568,3
369,12.666666666666666,8.144527815247077,3
370,11.666666666666666,3.055050463303893,3
371,12.0,7.0,3
372,13.333333333333334,11.547005383792515,3
373,13.333333333333334,8.144527815247077,3
374,13.333333333333334,8.144527815247077,3
375,11.0,4.0,3
376,19.0,7.0,3
377,18.0,4.58257569495584,3
378,17.333333333333332,5.859465277082315,3
379,13.666666666666666,4.163331998932266,3
380,15.666666666666666,1.1547005383792515,3
381,12.666666666666666,6.350852961085883,3
382,13.0,8.18535277187245,3
383,12.333333333333334,5.773502691896258,3
384,20.0,10.816653826391969,3
385,24.0,13.45362404707371,3
386,20.0,10.816653826391969,3
387,21.0,9.539392014169456,3
388,21.0,15.874507866387544,3
389,17.333333333333332,12.741009902410928,3
390,21.666666666666668,5.859465277082315,3
391,27.0,5.5677643628300215,3
392,30.333333333333332,7.637626158259734,3
393,27.333333333333332,4.163331998932265,3
394,30.333333333333332,2.516611478423583,3
395,31.0,5.196152422706632,3
396,33.333333333333336,10.066445913694333,3
397,39.333333333333336,15.947831618540913,3
398,33.333333333333336,12.858201014657272,3
399,37.666666666666664,15.044378795195678,3
400,32.666666666666664,17.8978583448784,3
401,35.666666666666664,22.03028218914441,3
402,27.0,17.435595774162696,3
403,29.0,20.223748416156685,3
404,27.0,24.55605831561735,3
405,29.0,19.519221295943137,3
406,23.333333333333332,19.655363983740756,3
407,16.0,13.892443989449804,3
408,18.333333333333332,12.858201014657272,3
409,16.666666666666668,11.590225767142474,3
410,17.333333333333332,11.150485789118488,3
411,16.0,10.44030650891055,3
412,12.333333333333334,7.094598884597588,3
413,14.333333333333334,11.060440015358038,3
414,11.0,10.14889156509222,3
415,13.666666666666666,10.785793124908958,3
416,12.0,10.392304845413264,3
417,10.333333333333334,7.505553499465135,3
418,13.666666666666666,4.163331998932265,3
419,14.333333333333334,1.1547005383792515,3
420,15.0,5.291502622129181,3
421,17.666666666666668,7.767453465154029,3
422,23.0,10.816653826391969,3
423,21.0,10.44030650891055,3
424,20.333333333333332,8.144527815247079,3
425,15.333333333333334,5.686240703077327,3
426,16.333333333333332,4.618802153517007,3
427,12.333333333333334,5.033222956847166,3
428,16.0,6.557438524302,3
429,16.666666666666668,8.621678104251709,3
430,18.0,7.54983443527075,3
431,15.333333333333334,6.506407098647712,3
432,16.666666666666668,7.505553499465135,3
433,21.666666666666668,5.859465277082315,3
434,22.333333333333332,3.511884584284246,3
435,24.333333333333332,7.505553499465135,3
436,22.666666666666668,8.144527815247079,3
437,22.666666666666668,3.0550504633038935,3
438,22.0,3.4641016151377544,3
439,19.0,1.7320508075688772,3
440,18.0,5.5677643628300215,3
441,15.333333333333334,4.509249752822894,3
442,15.666666666666666,2.3094010767585034,3
443,14.0,7.0,3
444,12.666666666666666,7.767453465154029,3
445,15.333333333333334,5.686240703077327,3
446,19.333333333333332,4.509249752822894,3
447,20.0,1.7320508075688772,3
448,18.0,2.6457513110645907,3
449,19.666666666666668,4.509249752822893,3
450,15.666666666666666,4.163331998932266,3
451,14.333333333333334,3.055050463303893,3
452,16.666666666666668,4.932882862316247,3
453,15.666666666666666,5.773502691896258,3
454,13.666666666666666,8.504900548115383,3
455,13.0,8.18535277187245,3
456,13.0,11.532562594670797,3
457,10.666666666666666,6.506407098647712,3
458,13.333333333333334,8.144527815247077,3
459,15.0,7.810249675906654,3
460,14.333333333333334,3.055050463303893,3
461,15.0,3.4641016151377544,3
462,12.333333333333334,1.1547005383792515,3
463,12.333333333333334,3.055050463303893,3
464,10.333333333333334,4.163331998932265,3
465,12.333333333333334,3.055050463303893,3
466,8.0,7.54983443527075,3
467,15.333333333333334,4.041451884327381,3
468,19.333333333333332,8.504900548115383,3
469,15.333333333333334,7.234178138070234,3
470,18.0,8.888194417315589,3
471,17.333333333333332,10.503967504392488,3
472,15.333333333333334,5.859465277082315,3
473,13.0,5.291502622129181,3
474,11.0,6.928203230275509,3
475,13.666666666666666,4.618802153517006,3
476,15.666666666666666,1.1547005383792517,3
477,11.666666666666666,3.0550504633038935,3
478,10.0,8.888194417315589,3
479,9.333333333333334,8.621678104251709,3
480,10.333333333333334,10.016652800877813,3
481,16.0,7.0,3
482,16.0,3.605551275463989,3
483,13.0,3.4641016151377544,3
484,13.666666666666666,6.110100926607787,3
485,14.666666666666666,5.507570547286102,3
486,13.0,8.18535277187245,3
487,11.0,10.14889156509222,3
488,10.666666666666666,9.71253485622231,3
489,10.333333333333334,5.773502691896257,3
490,11.333333333333334,7.505553499465135,3
491,10.666666666666666,5.686240703077327,3
492,10.666666666666666,9.865765724632494,3
493,15.333333333333334,11.150485789118488,3
494,16.666666666666668,11.930353445448853,3
495,16.0,12.288205727444508,3
496,14.0,10.44030650891055,3
497,15.333333333333334,9.29157324317757,3
498,14.333333333333334,4.163331998932265,3
499,14.666666666666666,6.658328118479393,3
500,13.666666666666666,5.033222956847167,3
501,16.0,5.196152422706632,3
502,18.0,10.44030650891055,3
