simulation_year,mean_wind_speed_kmh,std_wind_speed_kmh,min_wind_speed_kmh,max_wind_speed_kmh
1,18.415203844956046,10.705932195129806,0.0,93.65142130528557
2,18.22181314427807,10.244350575290657,0.0,86.65223689297696
3,18.73218696248252,11.142654495673154,0.0,98.6233518485943
4,18.56157518113834,10.388945817096882,0.0,87.00685747995048
5,18.26718319601186,10.692336924840125,0.0,77.2284927216044
6,18.33237626254812,10.426916516408074,0.0,76.26453667467916
7,18.799785733678156,10.50158327578354,0.0,96.90329724965864
8,18.010372330399363,10.696943483385844,0.0,71.93790999448618
9,18.530007714017067,10.38432492051728,0.0,82.06076520814051
10,18.342397525175496,10.56505975079847,0.0,85.58746317513837
11,18.196749453731233,10.565379462602792,0.0,96.29951990785739
12,19.137658235105906,10.708431739714277,0.0,82.03176922710014
13,18.67578177687176,10.708588900033067,0.0,95.60990695712603
14,18.911271204468154,10.7224132652688,0.0,96.21306529657262
15,18.730448061943218,10.881179888463693,0.0,80.9033967447482
16,18.45510963524997,10.848931163555207,0.0,100.79068356637242
17,18.477617222011787,10.82851046105439,0.0,100.54598046557152
18,19.15792051946105,11.030602249211835,0.0,88.92074075394478
19,18.59242963171053,10.502502278188551,0.0,74.39946111596652
20,18.626883821526707,10.58266700904068,0.0,84.36523307002201
21,18.7930224611456,10.980129935676514,0.0,98.6421349350957
22,18.865982921169003,10.690619699792201,0.0,115.47102586629782
23,18.742170181011858,10.831170245569552,0.0,105.47281241137327
24,18.523474613244115,11.05040326748941,0.0,95.53297039973954
25,18.840096201889978,10.848108560092765,0.0,97.78775691526587
26,18.932321375177946,10.607387594952145,0.0,75.20519687404257
27,18.928728474968786,11.026080886529149,0.0,95.58114817344823
28,18.35182503193746,10.594514869976555,0.0,79.2416431680092
29,18.453197354921752,10.627241005310179,0.0,80.66276479360751
30,18.6738249465169,10.646375305765114,0.0,86.41527161007411
31,18.294784750282084,10.295395790618834,0.0,98.12858956012819
32,18.329871012150928,10.479616014107195,0.0,84.4778982582786
