step_index,z_midpoint,wind_speed_raw_kmh,wind_speed_kmh,probability,count
1,-4.9,-33.86715417164387,0.0,7.876712328767124e-05,690
2,-4.800000000000001,-32.797929641753214,0.0,1.6552511415525115e-05,145
3,-4.7,-31.728705111862546,0.0,1.7351598173515983e-05,152
4,-4.6000000000000005,-30.65948058197189,0.0,2.2488584474885844e-05,197
5,-4.5,-29.590256052081223,0.0,2.5e-05,219
6,-4.4,-28.52103152219057,0.0,2.865296803652968e-05,251
7,-4.3,-27.4518069922999,0.0,3.447488584474886e-05,302
8,-4.2,-26.382582462409246,0.0,4.54337899543379e-05,398
9,-4.1000000000000005,-25.313357932518592,0.0,5.21689497716895e-05,457
10,-4.0,-24.244133402627924,0.0,6.404109589041096e-05,561
11,-3.9000000000000004,-23.17490887273727,0.0,7.76255707762557e-05,680
12,-3.8000000000000003,-22.105684342846608,0.0,9.52054794520548e-05,834
13,-3.7,-21.036459812955947,0.0,0.00010867579908675798,952
14,-3.6,-19.967235283065286,0.0,0.0001288812785388128,1129
15,-3.5,-18.898010753174624,0.0,0.00016415525114155252,1438
16,-3.4000000000000004,-17.82878622328397,0.0,0.00019577625570776254,1715
17,-3.3000000000000003,-16.75956169339331,0.0,0.0002417808219178082,2118
18,-3.2,-15.690337163502647,0.0,0.00028573059360730593,2503
19,-3.1,-14.621112633611986,0.0,0.0003426940639269406,3002
20,-3.0,-13.551888103721325,0.0,0.0004017123287671233,3519
21,-2.9000000000000004,-12.482663573830667,0.0,0.0005121004566210046,4486
22,-2.8000000000000003,-11.413439043940006,0.0,0.0006214611872146119,5444
23,-2.7,-10.344214514049344,0.0,0.0007486301369863013,6558
24,-2.6,-9.274989984158683,0.0,0.0009319634703196348,8164
25,-2.5,-8.205765454268022,0.0,0.001122716894977169,9835
26,-2.4000000000000004,-7.136540924377368,0.0,0.0013920091324200914,12194
27,-2.3000000000000003,-6.067316394486706,0.0,0.0017353881278538814,15202
28,-2.2,-4.998091864596045,0.0,0.002114041095890411,18519
29,-2.1,-3.9288673347053837,0.0,0.0026324200913242007,23060
30,-2.0,-2.8596428048147224,0.0,0.0032812785388127855,28744
31,-1.9000000000000001,-1.7904182749240647,0.0,0.0040318493150684935,35319
32,-1.8,-0.7211937450334034,0.0,0.005078767123287671,44490
33,-1.7000000000000002,0.34803078485725436,0.34803078485725436,0.0062684931506849315,54912
34,-1.6,1.4172553147479157,1.4172553147479157,0.007806506849315068,68385
35,-1.5,2.486479844638577,2.486479844638577,0.009662671232876712,84645
36,-1.4000000000000001,3.5557043745292365,3.5557043745292365,0.012062328767123287,105666
37,-1.3,4.624928904419898,4.624928904419898,0.015140182648401827,132628
38,-1.2000000000000002,5.6941534343105555,5.6941534343105555,0.019078196347031964,167125
39,-1.1,6.763377964201217,6.763377964201217,0.023693835616438355,207558
40,-1.0,7.832602494091878,7.832602494091878,0.027757191780821918,243153
41,-0.9,8.901827023982538,8.901827023982538,0.03207009132420091,280934
42,-0.8,9.971051553873197,9.971051553873197,0.03600947488584475,315443
43,-0.7000000000000001,11.040276083763857,11.040276083763857,0.03981198630136986,348753
44,-0.6000000000000001,12.109500613654518,12.109500613654518,0.042804223744292234,374965
45,-0.5,13.17872514354518,13.17872514354518,0.045061529680365295,394739
46,-0.4,14.247949673435837,14.247949673435837,0.046449315068493154,406896
47,-0.30000000000000004,15.317174203326498,15.317174203326498,0.04674977168949772,409528
48,-0.2,16.38639873321716,16.38639873321716,0.046251255707762555,405161
49,-0.1,17.455623263107817,17.455623263107817,0.0452601598173516,396479
50,0.0,18.52484779299848,18.52484779299848,0.04382146118721461,383876
51,0.1,19.59407232288914,19.59407232288914,0.04205856164383562,368433
52,0.2,20.663296852779798,20.663296852779798,0.0381777397260274,334437
53,0.30000000000000004,21.73252138267046,21.73252138267046,0.034930365296803656,305990
54,0.4,22.80174591256112,22.80174591256112,0.031844406392694063,278957
55,0.5,23.870970442451778,23.870970442451778,0.029240867579908677,256150
56,0.6000000000000001,24.94019497234244,24.94019497234244,0.026915753424657535,235782
57,0.7000000000000001,26.0094195022331,26.0094195022331,0.024443150684931508,214122
58,0.8,27.078644032123762,27.078644032123762,0.02225673515981735,194969
59,0.9,28.14786856201442,28.14786856201442,0.020248858447488586,177380
60,1.0,29.217093091905078,29.217093091905078,0.018337214611872148,160634
61,1.1,30.28631762179574,30.28631762179574,0.016494977168949772,144496
62,1.2000000000000002,31.3555421516864,31.3555421516864,0.01484417808219178,130035
63,1.3,32.42476668157706,32.42476668157706,0.013263470319634704,116188
64,1.4000000000000001,33.49399121146772,33.49399121146772,0.011635159817351599,101924
65,1.5,34.56321574135838,34.56321574135838,0.010404908675799086,91147
66,1.6,35.63244027124904,35.63244027124904,0.00909189497716895,79645
67,1.7000000000000002,36.7016648011397,36.7016648011397,0.00799417808219178,70029
68,1.8,37.77088933103036,37.77088933103036,0.007013470319634703,61438
69,1.9000000000000001,38.84011386092102,38.84011386092102,0.006189497716894977,54220
70,2.0,39.90933839081168,39.90933839081168,0.005281050228310502,46262
71,2.1,40.978562920702345,40.978562920702345,0.004638127853881279,40630
72,2.2,42.047787450593006,42.047787450593006,0.0040126712328767125,35151
73,2.3000000000000003,43.11701198048367,43.11701198048367,0.003495433789954338,30620
74,2.4000000000000004,44.18623651037433,44.18623651037433,0.0030666666666666668,26864
75,2.5,45.255461040264976,45.255461040264976,0.0026891552511415524,23557
76,2.6,46.32468557015564,46.32468557015564,0.002341324200913242,20510
77,2.7,47.3939101000463,47.3939101000463,0.0020521689497716893,17977
78,2.8000000000000003,48.46313462993696,48.46313462993696,0.001800456621004566,15772
79,2.9000000000000004,49.53235915982762,49.53235915982762,0.001563013698630137,13692
80,3.0,50.60158368971828,50.60158368971828,0.001386986301369863,12150
81,3.1,51.67080821960894,51.67080821960894,0.0012221461187214612,10706
82,3.2,52.740032749499605,52.740032749499605,0.0010873287671232877,9525
83,3.3000000000000003,53.809257279390266,53.809257279390266,0.0009378995433789954,8216
84,3.4000000000000004,54.87848180928093,54.87848180928093,0.0008252283105022831,7229
85,3.5,55.94770633917158,55.94770633917158,0.0007273972602739726,6372
86,3.6,57.01693086906224,57.01693086906224,0.0006320776255707763,5537
87,3.7,58.086155398952904,58.086155398952904,0.0005647260273972602,4947
88,3.8000000000000003,59.155379928843566,59.155379928843566,0.00047134703196347033,4129
89,3.9000000000000004,60.22460445873423,60.22460445873423,0.000423972602739726,3714
90,4.0,61.29382898862488,61.29382898862488,0.00037602739726027396,3294
91,4.1000000000000005,62.36305351851555,62.36305351851555,0.00032408675799086757,2839
92,4.2,63.432278048406204,63.432278048406204,0.00028595890410958906,2505
93,4.3,64.50150257829685,64.50150257829685,0.00024337899543378996,2132
94,4.4,65.57072710818753,65.57072710818753,0.0002093607305936073,1834
95,4.5,66.63995163807817,66.63995163807817,0.00019748858447488584,1730
96,4.6000000000000005,67.70917616796885,67.70917616796885,0.00017123287671232877,1500
97,4.7,68.7784006978595,68.7784006978595,0.0001442922374429224,1264
98,4.800000000000001,69.84762522775017,69.84762522775017,0.0001240867579908676,1087
99,4.9,70.91684975764082,70.91684975764082,0.00011826484018264841,1036
100,5.0,71.98607428753148,71.98607428753148,0.0008127853881278539,7120
