Month,Day,Hour,mu_t,sigma_t,count
1,1,0,22.933333333333334,11.498240030957946,15
1,1,1,20.333333333333332,11.16542281629615,15
1,1,2,21.866666666666667,10.662796917096287,15
1,1,3,21.866666666666667,11.281252885502862,15
1,1,4,21.733333333333334,14.844270980832334,15
1,1,5,22.066666666666666,12.875595224336324,15
1,1,6,23.2,12.531104158396076,15
1,1,7,23.4,13.41001757748928,15
1,1,8,23.133333333333333,11.709987597081797,15
1,1,9,22.6,11.369131139059961,15
1,1,10,23.4,10.534297725592749,15
1,1,11,22.333333333333332,10.58075521654201,15
1,1,12,23.933333333333334,9.535397711884363,15
1,1,13,21.066666666666666,9.223159256278008,15
1,1,14,22.2,12.393546707863733,15
1,1,15,23.6,14.71539524249543,15
1,1,16,23.666666666666668,10.98483803552272,15
1,1,17,25.266666666666666,11.847041020963038,15
1,1,18,25.2,11.007789449813643,15
1,1,19,24.466666666666665,11.825315862085683,15
1,1,20,22.466666666666665,10.828973481667905,15
1,1,21,21.666666666666668,11.884363476353927,15
1,1,22,21.866666666666667,10.7162537874994,15
1,1,23,23.133333333333333,10.21110506589109,15
1,2,0,21.333333333333332,9.925916054642489,15
1,2,1,22.666666666666668,10.146545271784921,15
1,2,2,21.533333333333335,9.679630059833801,15
1,2,3,21.0,10.690449676496975,15
1,2,4,21.933333333333334,11.2470101847219,15
1,2,5,24.8,10.303952085070494,15
1,2,6,23.066666666666666,10.166237305531528,15
1,2,7,23.466666666666665,9.334013580652726,15
1,2,8,23.8,11.73639029441579,15
1,2,9,22.666666666666668,10.237652260627131,15
1,2,10,23.733333333333334,9.669293567538327,15
1,2,11,24.133333333333333,10.218097856720878,15
1,2,12,23.266666666666666,8.859753839426808,15
1,2,13,22.357142857142858,10.126941544955468,14
1,2,14,22.733333333333334,8.795020236041584,15
1,2,15,21.0,9.227288721117224,15
1,2,16,21.333333333333332,8.524474568362947,15
1,2,17,21.785714285714285,8.666279224926669,14
1,2,18,20.4,8.757037985855394,15
1,2,19,22.2,9.33656406669116,15
1,2,20,21.466666666666665,9.605553948974867,15
1,2,21,21.933333333333334,9.881199078962798,15
1,2,22,23.666666666666668,12.776466461353671,15
1,2,23,21.2,11.82128830300899,15
1,3,0,19.857142857142858,13.031660516763617,14
1,3,1,18.666666666666668,12.175306782093633,15
1,3,2,18.142857142857142,10.037293098602468,14
1,3,3,19.714285714285715,10.658536278701481,14
1,3,4,19.2,8.037412518964047,15
1,3,5,18.8,7.875821952569233,15
1,3,6,17.8,9.174498818542002,15
