wind_speed_midpoint_kmh,probability
0.5,0.02911232876712329
1.5,0.00707648401826484
2.5,0.008550456621004567
3.5,0.010338127853881279
4.5,0.012312442922374428
5.5,0.014650228310502283
6.5,0.01720536529680365
7.5,0.019939954337899544
8.5,0.02291244292237443
9.5,0.02605079908675799
10.5,0.029079794520547944
11.5,0.03209646118721461
12.5,0.03474817351598174
13.5,0.03719486301369863
14.5,0.039363470319634705
15.5,0.040925114155251144
16.5,0.04197808219178082
17.5,0.0423837899543379
18.5,0.04225993150684931
19.5,0.041573287671232875
20.5,0.04040068493150685
21.5,0.038938584474885844
22.5,0.037072374429223745
23.5,0.03488755707762557
24.5,0.03268755707762557
25.5,0.030418835616438357
26.5,0.027819520547945207
27.5,0.0255074200913242
28.5,0.023083447488584475
29.5,0.02079566210045662
30.5,0.018716666666666666
31.5,0.016508219178082192
32.5,0.014594748858447488
33.5,0.01283013698630137
34.5,0.011277283105022832
35.5,0.009796461187214611
36.5,0.008440639269406393
37.5,0.007305707762557077
38.5,0.006252511415525114
39.5,0.005304794520547945
40.5,0.004511073059360731
41.5,0.003870662100456621
42.5,0.0032446347031963472
43.5,0.0027294520547945208
44.5,0.0023095890410958905
45.5,0.0019318493150684932
46.5,0.0016069634703196347
47.5,0.0013213470319634703
48.5,0.0011126712328767122
49.5,0.0008997716894977169
50.5,0.0007562785388127854
51.5,0.0006147260273972603
52.5,0.0004960045662100456
53.5,0.00040707762557077627
54.5,0.00035022831050228313
55.5,0.0002754566210045662
56.5,0.00022191780821917808
57.5,0.00018310502283105023
58.5,0.00014942922374429224
59.5,0.00011678082191780822
60.5,0.0001045662100456621
61.5,7.899543378995434e-05
62.5,6.187214611872146e-05
63.5,5.2625570776255705e-05
64.5,3.961187214611872e-05
65.5,3.43607305936073e-05
66.5,2.351598173515982e-05
67.5,2.089041095890411e-05
68.5,1.769406392694064e-05
69.5,1.1187214611872146e-05
