Year,actual_mean,actual_std,actual_count
1989,17.81812979283507,9.618858395919581,8737
1990,18.30243178445028,9.398803316973995,8759
1991,17.769178082191782,9.091304553352728,8760
1992,18.256050228310503,8.836404833799246,8760
1993,18.832648401826486,9.342359111629396,8760
1994,19.09801888965676,9.196191207124478,8682
1995,19.06799030358998,9.831840293155972,8663
1996,19.920345821325647,10.066781616288576,8675
1997,20.64963755609251,10.094559520699788,8691
1998,18.601512373968834,9.090558618224044,8728
1999,20.235381793166706,9.862393209261343,8722
2000,19.74939924476485,9.481120392339193,8739
2001,20.14429799426934,9.623121233150206,8725
2002,20.414367816091954,10.189102934139086,8700
2003,20.351013861839846,10.169679223983051,8729
