parameter,value
phi_1,0.49840346954418935
phi_2,0.37795842301509114
phi_3,-0.008679284305566573
theta_1,0.16748565640972773
theta_2,-0.11544752056269443
sigma_alpha,0.5377880103673255
sigma_alpha_squared,0.2892159440948466
AIC,41783.43522368558
BIC,41832.46507994366
