site,site_key,mu_kmh,sigma_kmh
North Battleford,NorthBattleford,13.787938618223954,9.591142802136256
Toronto,TorontoIslandA,16.796472332787012,10.56131338474493
Swift Current,SwiftCurrent,19.27889627761217,9.648372171469342
