z_midpoint,wind_speed_kmh,probability,wind_farm_power_MW_raw,wind_farm_power_MW
-4.9,-34.95396325246315,2.9682476276566334e-06,0.0,0.0
-4.800000000000001,-33.897831913988654,2.51159414647869e-06,0.0,0.0
-4.7,-32.84170057551416,3.196574368245605e-06,0.0,0.0
-4.6000000000000005,-31.785569237039667,5.02318829295738e-06,0.0,0.0
-4.5,-30.729437898565173,6.164821995902238e-06,0.0,0.0
-4.4,-29.67330656009068,6.849802217669154e-06,0.0,0.0
-4.3,-28.617175221616186,7.991435920614013e-06,0.0,0.0
-4.2,-27.561043883141693,1.4955401508577655e-05,0.0,0.0
-4.1000000000000005,-26.504912544667206,1.678201543328943e-05,0.0,0.0
-4.0,-25.448781206192706,2.2946837429191665e-05,0.0,0.0
-3.9,-24.392649867718212,2.785586235185456e-05,0.0,0.0
-3.8,-23.33651852924372,3.9500526121892124e-05,0.0,0.0
-3.7,-22.280387190769225,4.8062778893978566e-05,0.0,0.0
-3.6,-21.224255852294732,5.9250789182838196e-05,0.0,0.0
-3.5,-20.16812451382024,8.642167131292583e-05,0.0,0.0
-3.4000000000000004,-19.111993175345752,0.00010697107796589858,0.0,0.0
-3.3000000000000003,-18.05586183687126,0.00013448445020685553,0.0,0.0
-3.2,-16.999730498396765,0.00018060645180584064,0.0,0.0
-3.1,-15.943599159922272,0.00024316797872724814,0.0,0.0
-3.0,-14.887467821447778,0.00030287542139123227,0.0,0.0
-2.9000000000000004,-13.831336482973288,0.0003945486077377378,0.0,0.0
-2.8000000000000003,-12.775205144498795,0.0005186441912477764,0.0,0.0
-2.7,-11.719073806024298,0.0006610059140049843,0.0,0.0
-2.6,-10.662942467549804,0.0008488046581394598,0.0,0.0
-2.5,-9.60681112907531,0.0011046447709693835,0.0,0.0
-2.4000000000000004,-8.550679790600821,0.001431152010011673,0.0,0.0
-2.3000000000000003,-7.4945484521263275,0.0018285547020067342,0.0,0.0
-2.2,-6.438417113651834,0.002325736179639259,0.0,0.0
-2.1,-5.3822857751773405,0.002977152370539597,0.0,0.0
-2.0,-4.326154436702847,0.003838172509300521,0.0,0.0
-1.9,-3.2700230982283536,0.004872150154057738,0.0,0.0
-1.8,-2.21389175975386,0.0061552322727974566,0.0,0.0
-1.7000000000000002,-1.1577604212793702,0.007668924399532001,0.0,0.0
-1.6,-0.1016290828048767,0.009583444119370593,0.0,0.0
-1.5,0.9545022556696168,0.011757000526407293,0.0,0.0
-1.4,2.010633594144112,0.014298162985792236,0.0,0.0
-1.3,3.0667649326186037,0.01704596114541019,0.0,0.0
-1.2000000000000002,4.122896271093095,0.020059189140962913,0.0,0.0
-1.1,5.179027609567589,0.02344710131782207,0.0,0.0
-1.0,6.235158948042082,0.02674710769955446,0.0,0.0
-0.9,7.291290286516576,0.030189247477303553,0.0,0.0
-0.8,8.347421624991068,0.03328786967383647,0.0,0.0
-0.7000000000000001,9.403552963465561,0.03611603884614179,0.0,0.0
-0.6000000000000001,10.459684301940054,0.03848641290356615,0.0,0.0
-0.5,11.515815640414548,0.04040983736628767,0.0,0.0
-0.4,12.57194697888904,0.04193426084982989,0.0,0.0
-0.3,13.628078317363533,0.0429311353992414,0.0,0.0
-0.2,14.684209655838025,0.043024292709401696,0.03959179131637655,0.0396
-0.1,15.740340994312518,0.042698242123840616,0.2214121845745899,0.2214
0.0,16.796472332787012,0.04187272679324116,0.45791073470167426,0.4579
0.1,17.852603671261505,0.040617728863593966,0.7490874416976304,0.7491
0.2,18.908735009736,0.038883701432190956,1.0949423055624523,1.0949
0.3,19.964866348210492,0.036847940213099645,1.495475326296146,1.4955
0.4,21.020997686684986,0.03473614618939228,1.9506865038987116,1.9507
0.5,22.077129025159476,0.03232981067032515,2.4605758383701413,2.4606
0.6000000000000001,23.13326036363397,0.02983956507409152,3.025143329710446,3.0251
0.7000000000000001,24.189391702108463,0.0273577675672597,3.644388977919618,3.6444
