wind_farm_power_MW,probability,z_min,z_max,wind_speed_min_kmh,wind_speed_max_kmh,wind_state_count
0.0,0.4222360791184122,-4.9,-0.3,-34.95396325246315,13.628078317363533,47
0.0396,0.0430242927094017,-0.2,-0.2,14.684209655838025,14.684209655838025,1
0.2214,0.04269824212384062,-0.1,-0.1,15.740340994312518,15.740340994312518,1
0.4579,0.041872726793241166,0.0,0.0,16.796472332787012,16.796472332787012,1
0.7491,0.04061772886359397,0.1,0.1,17.852603671261505,17.852603671261505,1
1.0949,0.03888370143219096,0.2,0.2,18.908735009736,18.908735009736,1
1.4955,0.03684794021309965,0.3,0.3,19.964866348210492,19.964866348210492,1
1.9507,0.03473614618939229,0.4,0.4,21.020997686684986,21.020997686684986,1
2.4606,0.03232981067032516,0.5,0.5,22.077129025159476,22.077129025159476,1
3.0251,0.029839565074091523,0.6000000000000001,0.6000000000000001,23.13326036363397,23.13326036363397,1
3.6444,0.027357767567259703,0.7000000000000001,0.7000000000000001,24.189391702108463,24.189391702108463,1
4.3183,0.024983397791874994,0.8,0.8,25.245523040582956,25.245523040582956,1
5.0469,0.0226621139836772,0.9,0.9,26.301654379057446,26.301654379057446,1
5.8302,0.02046629571943308,1.0,1.0,27.35778571753194,27.35778571753194,1
6.6682,0.018327102486854912,1.1,1.1,28.413917056006433,28.413917056006433,1
7.5608,0.016349564586613904,1.2000000000000002,1.2000000000000002,29.470048394480926,29.470048394480926,1
8.5081,0.014489500794405856,1.3,1.3,30.52617973295542,30.52617973295542,1
9.5101,0.012805020265710622,1.4,1.4,31.582311071429913,31.582311071429913,1
10.5668,0.011161181896840336,1.5,1.5,32.63844240990441,32.63844240990441,1
11.6781,0.009768959596099112,1.6,1.6,33.6945737483789,33.6945737483789,1
12.8441,0.008571614168450545,1.7000000000000002,1.7000000000000002,34.750705086853394,34.750705086853394,1
14.0648,0.0074498448919369225,1.8,1.8,35.80683642532789,35.80683642532789,1
15.3402,0.006448175480973085,1.9,1.9,36.862967763802374,36.862967763802374,1
16.6703,0.005539092563318076,2.0,2.0,37.919099102276874,37.919099102276874,1
18.055,0.004844979271927641,2.1,2.1,38.97523044075136,38.97523044075136,1
19.4945,0.004077915586918982,2.2,2.2,40.03136177922586,40.03136177922586,1
20.9885,0.0035322146769113595,2.3000000000000003,2.3000000000000003,41.08749311770035,41.08749311770035,1
22.5373,0.0029757824100960623,2.4000000000000004,2.4000000000000004,42.14362445617485,42.14362445617485,1
24.1408,0.002534540983907875,2.5,2.5,43.199755794649334,43.199755794649334,1
25.7989,0.0021329142472118552,2.6,2.6,44.25588713312383,44.25588713312383,1
27.0,0.010435787841988654,2.7,5.0,45.31201847159832,69.60303925651166,24
