z_midpoint,wind_speed_kmh,probability,wind_farm_power_MW_raw,wind_farm_power_MW
-4.9,-33.2086611122437,2.245184070654961e-06,0.0,0.0
-4.800000000000001,-32.24954683203008,3.5390189588290067e-06,0.0,0.0
-4.7,-31.29043255181645,4.376206239412212e-06,0.0,0.0
-4.6000000000000005,-30.331318271602825,4.908961781601526e-06,0.0,0.0
-4.5,-29.3722039913892,7.57273949254809e-06,0.0,0.0
-4.4,-28.413089711175573,9.323221988312972e-06,0.0,0.0
-4.3,-27.453975430961947,1.0845380680282438e-05,0.0,0.0
-4.2,-26.49486115074832,1.7618986859546558e-05,0.0,0.0
-4.1000000000000005,-25.5357468705347,2.1500491524068694e-05,0.0,0.0
-4.0,-24.57663259032107,2.9644040526105332e-05,0.0,0.0
-3.9,-23.617518310107442,3.58468371958809e-05,0.0,0.0
-3.8,-22.658404029893816,5.0535668573386245e-05,0.0,0.0
-3.7,-21.69928974968019,6.0429700071187775e-05,0.0,0.0
-3.6,-20.740175469466564,7.903809008051447e-05,0.0,0.0
-3.5,-19.781061189252938,0.00010381122279226578,0.0,0.0
-3.4000000000000004,-18.82194690903932,0.00013417828869710362,0.0,0.0
-3.3000000000000003,-17.862832628825693,0.00017055788143509912,0.0,0.0
-3.2,-16.903718348612067,0.0002279813180896463,0.0,0.0
-3.1,-15.94460406839844,0.0002954129481439166,0.0,0.0
-3.0,-14.985489788184815,0.0003733855271400721,0.0,0.0
-2.9000000000000004,-14.026375507971192,0.000490591746421727,0.0,0.0
-2.8000000000000003,-13.067261227757566,0.0006230576065903883,0.0,0.0
-2.7,-12.108146947543936,0.0007877932310287235,0.0,0.0
-2.6,-11.14903266733031,0.0010105231016311863,0.0,0.0
-2.5,-10.189918387116684,0.0013047944307561414,0.0,0.0
-2.4000000000000004,-9.230804106903062,0.001664823015374243,0.0,0.0
-2.3000000000000003,-8.271689826689435,0.002099741807637184,0.0,0.0
-2.2,-7.312575546475809,0.0026676972695783667,0.0,0.0
-2.1,-6.353461266262183,0.0033564360237272645,0.0,0.0
-2.0,-5.394346986048557,0.004224941719397691,0.0,0.0
-1.9,-4.435232705834931,0.005248935925452903,0.0,0.0
-1.8,-3.476118425621305,0.006504031874916299,0.0,0.0
-1.7000000000000002,-2.5170041454076824,0.00801408940528461,0.0,0.0
-1.6,-1.5578898651940563,0.009797146097057613,0.0,0.0
-1.5,-0.5987755849804302,0.011849967363014918,0.0,0.0
-1.4,0.3603386952331977,0.014200789246892609,0.0,0.0
-1.3,1.319452975446822,0.016751166135287467,0.0,0.0
-1.2000000000000002,2.2785672556604464,0.01957610239774628,0.0,0.0
-1.1,3.2376815358740725,0.02265904455849391,0.0,0.0
-1.0,4.196795816087699,0.025730532475084507,0.0,0.0
-0.9,5.155910096301325,0.028966223260571276,0.0,0.0
-0.8,6.115024376514949,0.0319464958175456,0.0,0.0
-0.7000000000000001,7.074138656728574,0.03472888774456388,0.0,0.0
-0.6000000000000001,8.033252936942201,0.03728912061048919,0.0,0.0
-0.5,8.992367217155827,0.03927329251943872,0.0,0.0
-0.4,9.951481497369452,0.04097917576552886,0.0,0.0
-0.3,10.910595777583078,0.04208905777577843,0.0,0.0
-0.2,11.869710057796702,0.04255499055139032,0.0,0.0
-0.1,12.828824338010328,0.042519295930063566,0.0,0.0
0.0,13.787938618223954,0.0418836805142645,0.0,0.0
0.1,14.74705289843758,0.0408170278108668,0.04888072869168672,0.0489
