z_midpoint,wind_speed_kmh,probability
-4.9,-27.99812736258761,2.245184070654961e-06
-4.800000000000001,-27.03329014544068,3.5390189588290067e-06
-4.7,-26.068452928293738,4.376206239412212e-06
-4.6000000000000005,-25.10361571114681,4.908961781601526e-06
-4.5,-24.138778493999872,7.57273949254809e-06
-4.4,-23.173941276852936,9.323221988312972e-06
-4.3,-22.209104059706,1.0845380680282438e-05
-4.2,-21.24426684255907,1.7618986859546558e-05
-4.1000000000000005,-20.279429625412135,2.1500491524068694e-05
-4.0,-19.3145924082652,2.9644040526105332e-05
-3.9,-18.349755191118263,3.58468371958809e-05
-3.8,-17.384917973971326,5.0535668573386245e-05
-3.7,-16.420080756824397,6.0429700071187775e-05
-3.6,-15.455243539677461,7.903809008051447e-05
-3.5,-14.490406322530525,0.00010381122279226578
-3.4000000000000004,-13.525569105383596,0.00013417828869710362
-3.3000000000000003,-12.560731888236663,0.00017055788143509912
-3.2,-11.595894671089727,0.0002279813180896463
-3.1,-10.631057453942791,0.0002954129481439166
-3.0,-9.666220236795859,0.0003733855271400721
-2.9000000000000004,-8.701383019648926,0.000490591746421727
-2.8000000000000003,-7.73654580250199,0.0006230576065903883
-2.7,-6.771708585355057,0.0007877932310287235
-2.6,-5.806871368208121,0.0010105231016311863
-2.5,-4.842034151061185,0.0013047944307561414
-2.4000000000000004,-3.877196933914256,0.001664823015374243
-2.3000000000000003,-2.9123597167673196,0.002099741807637184
-2.2,-1.9475224996203835,0.0026676972695783667
-2.1,-0.9826852824734509,0.0033564360237272645
-2.0,-0.017848065326514728,0.004224941719397691
-1.9,0.9469891518204214,0.005248935925452903
-1.8,1.911826368967354,0.006504031874916299
-1.7000000000000002,2.8766635861142866,0.00801408940528461
-1.6,3.841500803261221,0.009797146097057613
-1.5,4.806338020408155,0.011849967363014918
-1.4,5.7711752375550915,0.014200789246892609
-1.3,6.736012454702024,0.016751166135287467
-1.2000000000000002,7.700849671848957,0.01957610239774628
-1.1,8.665686888995893,0.02265904455849391
-1.0,9.630524106142827,0.025730532475084507
-0.9,10.595361323289762,0.028966223260571276
-0.8,11.560198540436694,0.0319464958175456
-0.7000000000000001,12.52503575758363,0.03472888774456388
-0.6000000000000001,13.489872974730563,0.03728912061048919
-0.5,14.4547101918775,0.03927329251943872
-0.4,15.419547409024432,0.04097917576552886
-0.3,16.384384626171368,0.04208905777577843
-0.2,17.3492218433183,0.04255499055139032
-0.1,18.314059060465237,0.042519295930063566
0.0,19.27889627761217,0.0418836805142645
0.1,20.243733494759102,0.0408170278108668
0.2,21.208570711906038,0.039376418770819654
0.3,22.17340792905297,0.03752615877279619
0.4,23.138245146199907,0.03551945891520548
0.5,24.10308236334684,0.033168751193229734
0.6000000000000001,25.067919580493776,0.030752095945924464
0.7000000000000001,26.032756797640708,0.02832912374004748
0.8,26.997594014787644,0.02589774160739736
0.9,27.962431231934577,0.023533258349259244
1.0,28.92726844908151,0.02118723126526131
1.1,29.892105666228446,0.01898158526663023
1.2000000000000002,30.856942883375382,0.016855243735850862
1.3,31.821780100522314,0.014959166761199063
1.4,32.78661731766925,0.013121807058090048
1.5,33.75145453481618,0.011444730665245376
1.6,34.71629175196312,0.00995054163924087
1.7000000000000002,35.68112896911005,0.008669302614242817
1.8,36.645966186256985,0.00743357613413475
1.9,37.61080340340392,0.006411484626444574
2.0,38.57564062055086,0.005460782361407714
2.1,39.54047783769779,0.004673445777986515
2.2,40.50531505484472,0.0039312792537495355
2.3000000000000003,41.47015227199166,0.003346009236687236
2.4000000000000004,42.434989489138594,0.002802446367784951
2.5,43.39982670628552,0.0023459890300306153
2.6,44.36466392343246,0.0019613395285699026
2.7,45.329501140579396,0.001643855279392329
2.8000000000000003,46.29433835772633,0.0013653002387620048
2.9000000000000004,47.25917557487327,0.00112597883841708
3.0,48.2240127920202,0.0009223901133661329
3.1,49.188850009167126,0.0007705167298749249
3.2,50.15368722631406,0.0006257213843012986
3.3000000000000003,51.118524443461,0.0005206924345554339
3.4000000000000004,52.083361660607935,0.0004204202307219089
3.5,53.048198877754864,0.0003351032360370406
3.6,54.0130360949018,0.00028266486909864566
3.7,54.977873312048736,0.00022265376266782563
3.8,55.942710529195665,0.00017752175745092472
3.9,56.9075477463426,0.00014833436453236715
4.0,57.87238496348954,0.00011625487009908693
4.1000000000000005,58.83722218063647,9.665707694006103e-05
4.2,59.80205939778341,7.671679807526104e-05
4.3,60.76689661493034,6.278904604374045e-05
4.4,61.731733832077275,5.0421506671488535e-05
4.5,62.69657104922421,3.988055772959999e-05
4.6000000000000005,63.66140826637115,3.1204253185374035e-05
4.7,64.62624548351808,2.637139933837098e-05
4.800000000000001,65.59108270066503,1.982611696290228e-05
4.9,66.55591991781195,1.4917155181300757e-05
5.0,67.52075713495887,1.2633917143346558e-05
