"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-01 00:00","1992","04","01","00:00","","","","","","","","34","","7","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-01 01:00","1992","04","01","01:00","","","","","","","","34","","7","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-01 02:00","1992","04","01","02:00","","","","","","","","34","","7","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-01 03:00","1992","04","01","03:00","","","","","","","","34","","9","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-01 04:00","1992","04","01","04:00","","","","","","","","34","","15","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-01 05:00","1992","04","01","05:00","","","","","","","","33","","17","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-01 06:00","1992","04","01","06:00","","","","","","","","32","","17","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-01 07:00","1992","04","01","07:00","","0.1","","-2.6","","82","","33","","15","","24.1","","99.74","","","","","","Cloudy"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-01 08:00","1992","04","01","08:00","","0.7","","-2.3","","80","","35","","17","","25.0","","99.78","","","","","","Mostly Cloudy"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-01 09:00","1992","04","01","09:00","","1.3","","-2.2","","77","","33","","17","","25.0","","99.81","","","","","","Mostly Cloudy"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-01 10:00","1992","04","01","10:00","","2.8","","-1.9","","71","","35","","24","","25.0","","99.84","","","","","","Mostly Cloudy"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-01 11:00","1992","04","01","11:00","","4.0","","-3.2","","59","","35","","15","","25.0","","99.81","","","","","","Mostly Cloudy"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-01 12:00","1992","04","01","12:00","","4.3","","-3.7","","56","","30","","19","","25.0","","99.81","","","","","","Mostly Cloudy"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-01 13:00","1992","04","01","13:00","","4.8","","-3.0","","57","","30","","15","","25.0","","99.81","","","","","","Mostly Cloudy"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-01 14:00","1992","04","01","14:00","","5.5","","-4.8","","47","","29","","19","","25.0","","99.84","","","","","","Mostly Cloudy"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-01 15:00","1992","04","01","15:00","","4.8","","-5.2","","48","","32","","19","","25.0","","99.78","","","","","","Snow Showers"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-01 16:00","1992","04","01","16:00","","2.5","","-0.8","","79","","27","","28","","11.3","","99.84","","","","","","Snow Showers"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-01 17:00","1992","04","01","17:00","","2.6","","-1.6","","74","","22","","22","","24.1","","99.84","","","","","","Snow Showers"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-01 18:00","1992","04","01","18:00","","2.5","","-2.7","","68","","29","","26","","25.0","","99.88","","","","","","Cloudy"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-01 19:00","1992","04","01","19:00","","1.9","","-4.6","","62","","29","","24","","25.0","","99.91","","","","","","Mostly Cloudy"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-01 20:00","1992","04","01","20:00","","0.9","","-6.9","","56","","28","","22","","25.0","","99.98","","","","","","Mostly Cloudy"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-01 21:00","1992","04","01","21:00","","0.0","","-6.2","","63","","29","","19","","25.0","","99.98","","","","-5","","Mostly Cloudy"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-01 22:00","1992","04","01","22:00","","-0.4","","-7.0","","61","","30","","19","","25.0","","99.94","","","","-6","","Mostly Cloudy"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-01 23:00","1992","04","01","23:00","","","","","","","","28","","20","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-02 00:00","1992","04","02","00:00","","","","","","","","29","","20","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-02 01:00","1992","04","02","01:00","","","","","","","","29","","20","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-02 02:00","1992","04","02","02:00","","","","","","","","28","","22","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-02 03:00","1992","04","02","03:00","","","","","","","","28","","19","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-02 04:00","1992","04","02","04:00","","","","","","","","28","","17","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-02 05:00","1992","04","02","05:00","","","","","","","","29","","15","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-02 06:00","1992","04","02","06:00","","","","","","","","28","","13","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-02 07:00","1992","04","02","07:00","","-2.0","","-6.7","","70","","28","","11","","24.1","","99.78","","","","-6","","Mostly Cloudy"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-02 08:00","1992","04","02","08:00","","-1.6","","-6.6","","69","","28","","19","","24.1","","99.78","","","","-7","","Mostly Cloudy"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-02 09:00","1992","04","02","09:00","","-0.8","","-5.7","","69","","30","","17","","19.3","","99.78","","","","-6","","Snow Showers"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-02 10:00","1992","04","02","10:00","","0.6","","-5.8","","62","","28","","15","","24.1","","99.78","","","","","","Mostly Cloudy"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-02 11:00","1992","04","02","11:00","","0.2","","-5.0","","68","","31","","22","","9.7","","99.78","","","","","","Snow Showers"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-02 12:00","1992","04","02","12:00","","-0.6","","-3.5","","81","","33","","19","","1.2","","99.78","","","","-6","","Snow Showers"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-02 13:00","1992","04","02","13:00","","-1.2","","-3.2","","86","","32","","17","","0.8","","99.78","","","","-6","","Moderate Snow Showers"
"-79.40","43.63","TORONTO ISLAND A","6158665","1992-04-02 14:00","1992","04","02","14:00","","0.1","","-3.5","","77","","34","","22","","9.7","","99.74","","","","","","Snow Showers"
