"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-02-01 00:00","2000","02","01","00:00","","-1.9","","-5.4","","77","","23","","46","","15.0","","99.70","","","","-10","","Snow"
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-02-01 01:00","2000","02","01","01:00","","-2.3","","-6.1","","75","","24","","46","","12.9","","99.70","","","","-11","","Snow"
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-02-01 02:00","2000","02","01","02:00","","-2.8","","-6.4","","76","","24","","43","","15.0","","99.70","","","","-11","","Snow"
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-02-01 03:00","2000","02","01","03:00","","-2.6","","-6.7","","73","","24","","41","","15.0","","99.70","","","","-11","","Snow"
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-02-01 04:00","2000","02","01","04:00","","-3.1","","-6.7","","76","","25","","37","","5.6","","99.70","","","","-11","","Snow"
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-02-01 05:00","2000","02","01","05:00","","-2.9","","-6.2","","78","","26","","32","","8.0","","99.77","","","","-10","","Snow"
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-02-01 06:00","2000","02","01","06:00","","-3.0","","-5.8","","81","","25","","33","","8.0","","99.80","","","","-11","","Snow"
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-02-01 07:00","2000","02","01","07:00","","-2.8","","-6.1","","78","","27","","22","","9.7","","99.83","","","","-9","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-02-01 08:00","2000","02","01","08:00","","-2.6","","-6.4","","75","","27","","20","","9.7","","99.93","","","","-9","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-02-01 09:00","2000","02","01","09:00","","-2.5","","-7.2","","70","","29","","17","","11.3","","100.00","","","","-8","","Snow"
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-02-01 10:00","2000","02","01","10:00","","-2.0","","-7.5","","66","","29","","24","","15.0","","100.04","","","","-8","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-02-01 11:00","2000","02","01","11:00","","-1.5","","-7.3","","65","","30","","19","","15.0","","100.07","","","","-7","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-02-01 12:00","2000","02","01","12:00","","-2.9","","-7.9","","68","","32","","26","","15.0","","100.07","","","","-10","","Snow"
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-02-01 13:00","2000","02","01","13:00","","-3.2","","-9.3","","63","","32","","20","","15.0","","100.10","","","","-9","","Snow"
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-02-01 14:00","2000","02","01","14:00","","-3.0","","-9.9","","59","","30","","28","","15.0","","","M","","","-10","","Snow"
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-02-01 15:00","2000","02","01","15:00","","-3.6","","-9.8","","62","","31","","32","","15.0","","100.17","","","","-11","","Snow"
