"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-01 00:00","2000","05","01","00:00","","6.0","","3.7","","85","","27","","7","","15.0","","100.88","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-01 01:00","2000","05","01","01:00","","9.0","","2.2","","62","","3","","6","","15.0","","100.74","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-01 02:00","2000","05","01","02:00","","6.2","","3.8","","85","","20","","4","","15.0","","100.67","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-01 03:00","2000","05","01","03:00","","7.2","","2.7","","73","","19","","6","","15.0","","100.61","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-01 04:00","2000","05","01","04:00","","6.8","","1.6","","69","","","","0","","15.0","","100.57","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-01 05:00","2000","05","01","05:00","","7.0","","1.7","","69","","7","","7","","15.0","","100.54","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-01 06:00","2000","05","01","06:00","","7.2","","1.7","","68","","8","","11","","15.0","","100.47","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-01 07:00","2000","05","01","07:00","","7.5","","1.7","","67","","8","","7","","15.0","","100.41","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-01 08:00","2000","05","01","08:00","","7.6","","0.7","","62","","9","","7","","15.0","","100.27","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-01 09:00","2000","05","01","09:00","","9.0","","1.8","","61","","9","","9","","15.0","","100.17","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-01 10:00","2000","05","01","10:00","","10.5","","2.5","","58","","7","","11","","15.0","","100.07","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-01 11:00","2000","05","01","11:00","","11.1","","2.3","","55","","8","","7","","15.0","","100.04","","","","","","Rain"
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-01 12:00","2000","05","01","12:00","","8.5","","2.1","","64","","7","","15","","15.0","","99.97","","","","","","Rain"
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-01 13:00","2000","05","01","13:00","","9.3","","4.9","","74","","6","","11","","15.0","","99.93","","","","","","Rain"
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-01 14:00","2000","05","01","14:00","","9.3","","6.0","","80","","17","","9","","9.7","","99.93","","","","","","Rain"
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-01 15:00","2000","05","01","15:00","","7.2","","4.7","","84","","13","","7","","8.0","","99.87","","","","","","Rain"
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-01 16:00","2000","05","01","16:00","","7.1","","5.1","","87","","9","","6","","15.0","","99.83","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-01 17:00","2000","05","01","17:00","","7.7","","5.6","","87","","7","","4","","11.3","","99.87","","","","","","Drizzle"
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-01 18:00","2000","05","01","18:00","","7.9","","6.4","","90","","10","","4","","9.7","","99.83","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-01 19:00","2000","05","01","19:00","","11.0","","7.9","","81","","34","","26","","15.0","","99.90","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-01 20:00","2000","05","01","20:00","","10.0","","7.0","","82","","33","","26","","15.0","","99.97","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-01 21:00","2000","05","01","21:00","","9.0","","5.9","","81","","33","","24","","15.0","","100.04","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-01 22:00","2000","05","01","22:00","","8.7","","6.1","","84","","31","","15","","15.0","","100.10","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-01 23:00","2000","05","01","23:00","","9.4","","6.0","","79","","33","","15","","15.0","","100.17","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-02 00:00","2000","05","02","00:00","","9.2","","5.6","","78","","34","","15","","15.0","","100.24","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-02 01:00","2000","05","02","01:00","","8.9","","5.4","","79","","32","","15","","15.0","","100.24","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-02 02:00","2000","05","02","02:00","","7.9","","4.9","","81","","33","","20","","15.0","","100.27","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-02 03:00","2000","05","02","03:00","","7.9","","4.8","","81","","34","","17","","15.0","","100.37","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-02 04:00","2000","05","02","04:00","","8.0","","4.7","","80","","35","","20","","15.0","","100.51","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-02 05:00","2000","05","02","05:00","","7.9","","4.7","","80","","34","","13","","15.0","","100.61","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-02 06:00","2000","05","02","06:00","","8.1","","5.1","","81","","32","","11","","15.0","","100.71","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-02 07:00","2000","05","02","07:00","","9.6","","5.4","","75","","34","","19","","15.0","","100.81","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-02 08:00","2000","05","02","08:00","","10.6","","5.0","","68","","34","","20","","15.0","","100.91","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-02 09:00","2000","05","02","09:00","","11.6","","5.1","","64","","36","","15","","15.0","","101.01","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-02 10:00","2000","05","02","10:00","","12.3","","4.8","","60","","32","","15","","15.0","","101.08","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-02 11:00","2000","05","02","11:00","","14.0","","2.1","","44","","29","","19","","15.0","","101.11","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-02 12:00","2000","05","02","12:00","","14.9","","-1.0","","34","","31","","17","","15.0","","101.14","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-02 13:00","2000","05","02","13:00","","16.4","","-0.9","","31","","30","","20","","15.0","","101.14","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-02 14:00","2000","05","02","14:00","","10.9","","4.9","","66","","19","","20","","15.0","","101.18","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-02 15:00","2000","05","02","15:00","","12.0","","5.6","","65","","17","","15","","15.0","","101.14","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-02 16:00","2000","05","02","16:00","","11.7","","3.0","","55","","17","","15","","15.0","","101.11","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-02 17:00","2000","05","02","17:00","","13.0","","0.6","","43","","16","","11","","15.0","","101.18","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-02 18:00","2000","05","02","18:00","","12.1","","1.9","","50","","27","","6","","15.0","","101.21","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-02 19:00","2000","05","02","19:00","","11.1","","3.7","","60","","25","","4","","15.0","","101.28","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-02 20:00","2000","05","02","20:00","","9.5","","2.6","","62","","7","","9","","15.0","","101.31","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-02 21:00","2000","05","02","21:00","","9.5","","2.9","","63","","14","","6","","15.0","","101.35","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-02 22:00","2000","05","02","22:00","","9.3","","3.2","","66","","7","","4","","15.0","","101.35","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-02 23:00","2000","05","02","23:00","","9.9","","-11.8","","20","","36","","7","","15.0","","101.35","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-03 00:00","2000","05","03","00:00","","9.8","","-9.9","","24","","1","","7","","15.0","","101.38","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-03 01:00","2000","05","03","01:00","","9.6","","-9.6","","25","","34","","7","","15.0","","101.38","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-03 02:00","2000","05","03","02:00","","8.4","","-9.4","","27","","36","","6","","15.0","","101.38","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-03 03:00","2000","05","03","03:00","","6.4","","-1.2","","58","","17","","7","","15.0","","101.45","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-03 04:00","2000","05","03","04:00","","5.3","","-0.4","","67","","16","","7","","15.0","","101.48","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-03 05:00","2000","05","03","05:00","","4.9","","-1.1","","65","","28","","6","","15.0","","101.48","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-03 06:00","2000","05","03","06:00","","5.7","","-6.7","","40","","32","","9","","15.0","","101.51","","","","","",""
"-79.40","43.63","TORONTO ISLAND A","6158665","2000-05-03 07:00","2000","05","03","07:00","","8.3","","-2.8","","45","","24","","4","","15.0","","101.55","","","","","",""
