"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO ISLAND A","6158665","1991-03-01 00:00","1991","03","01","00:00","","","","","","","","","","0","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1991-03-01 01:00","1991","03","01","01:00","","","","","","","","","","0","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1991-03-01 02:00","1991","03","01","02:00","","","","","","","","8","","7","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1991-03-01 03:00","1991","03","01","03:00","","","","","","","","9","","7","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1991-03-01 04:00","1991","03","01","04:00","","","","","","","","9","","9","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1991-03-01 05:00","1991","03","01","05:00","","","","","","","","8","","15","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1991-03-01 06:00","1991","03","01","06:00","","","","","","","","8","","19","","","","","","","","","","NA"
"-79.40","43.63","TORONTO ISLAND A","6158665","1991-03-01 07:00","1991","03","01","07:00","","2.2","","1.7","","96","","7","","26","","6.4","","100.58","","","","","","Fog"
"-79.40","43.63","TORONTO ISLAND A","6158665","1991-03-01 08:00","1991","03","01","08:00","","2.6","","2.0","","96","","8","","26","","6.4","","100.55","","","","","","Fog"
"-79.40","43.63","TORONTO ISLAND A","6158665","1991-03-01 09:00","1991","03","01","09:00","","3.3","","2.3","","93","","8","","15","","8.0","","100.58","","","","","","Fog"
"-79.40","43.63","TORONTO ISLAND A","6158665","1991-03-01 10:00","1991","03","01","10:00","","3.6","","2.7","","94","","8","","11","","9.7","","100.58","","","","","","Fog"
"-79.40","43.63","TORONTO ISLAND A","6158665","1991-03-01 11:00","1991","03","01","11:00","","5.6","","3.8","","88","","14","","6","","9.7","","100.58","","","","","","Fog"
"-79.40","43.63","TORONTO ISLAND A","6158665","1991-03-01 12:00","1991","03","01","12:00","","5.8","","1.8","","75","","15","","4","","11.3","","100.55","","","","","","Cloudy"
"-79.40","43.63","TORONTO ISLAND A","6158665","1991-03-01 13:00","1991","03","01","13:00","","6.0","","3.2","","82","","9","","11","","11.3","","100.45","","","","","","Mostly Cloudy"
"-79.40","43.63","TORONTO ISLAND A","6158665","1991-03-01 14:00","1991","03","01","14:00","","8.6","","2.3","","64","","16","","7","","12.9","","100.35","","","","","","Cloudy"
"-79.40","43.63","TORONTO ISLAND A","6158665","1991-03-01 15:00","1991","03","01","15:00","","6.8","","2.7","","75","","9","","19","","12.9","","100.28","","","","","","Mostly Cloudy"
"-79.40","43.63","TORONTO ISLAND A","6158665","1991-03-01 16:00","1991","03","01","16:00","","6.3","","2.6","","77","","9","","15","","19.3","","100.28","","","","","","Cloudy"
"-79.40","43.63","TORONTO ISLAND A","6158665","1991-03-01 17:00","1991","03","01","17:00","","6.1","","2.3","","76","","8","","15","","16.1","","100.21","","","","","","Cloudy"
"-79.40","43.63","TORONTO ISLAND A","6158665","1991-03-01 18:00","1991","03","01","18:00","","5.3","","2.0","","79","","10","","15","","16.1","","100.21","","","","","","Cloudy"
