Year,Month,Day,Time (LST),Wind Spd (km/h)
1992,4,1,00:00,19
1992,4,1,01:00,20
1992,4,1,02:00,24
1992,4,1,03:00,26
1992,4,1,04:00,24
1992,4,1,05:00,26
1992,4,1,06:00,26
1992,4,1,07:00,22
1992,4,1,08:00,15
1992,4,1,09:00,13
1992,4,1,10:00,9
1992,4,1,11:00,13
1992,4,1,12:00,17
1992,4,1,13:00,19
1992,4,1,14:00,17
1992,4,1,15:00,20
1992,4,1,16:00,20
1992,4,1,17:00,19
1992,4,1,18:00,15
1992,4,1,19:00,9
1992,4,1,20:00,4
1992,4,1,21:00,7
1992,4,1,22:00,13
1992,4,1,23:00,15
1992,4,2,00:00,19
1992,4,2,01:00,20
1992,4,2,02:00,17
1992,4,2,03:00,33
1992,4,2,04:00,20
1992,4,2,05:00,17
1992,4,2,06:00,20
1992,4,2,07:00,20
1992,4,2,08:00,19
1992,4,2,09:00,15
1992,4,2,10:00,28
1992,4,2,11:00,26
1992,4,2,12:00,26
1992,4,2,13:00,28
1992,4,2,14:00,28
1992,4,2,15:00,24
1992,4,2,16:00,26
1992,4,2,17:00,20
1992,4,2,18:00,17
1992,4,2,19:00,11
1992,4,2,20:00,4
1992,4,2,21:00,0
1992,4,2,22:00,9
1992,4,2,23:00,11
1992,4,3,00:00,13
1992,4,3,01:00,17
1992,4,3,02:00,15
1992,4,3,03:00,19
1992,4,3,04:00,20
1992,4,3,05:00,22
1992,4,3,06:00,19
1992,4,3,07:00,15
1992,4,3,08:00,13
1992,4,3,09:00,17
1992,4,3,10:00,19
1992,4,3,11:00,22
1992,4,3,12:00,19
1992,4,3,13:00,26
1992,4,3,14:00,20
1992,4,3,15:00,26
1992,4,3,16:00,22
1992,4,3,17:00,28
1992,4,3,18:00,28
1992,4,3,19:00,28
1992,4,3,20:00,20
1992,4,3,21:00,19
1992,4,3,22:00,26
1992,4,3,23:00,26
1992,4,4,00:00,19
1992,4,4,01:00,22
1992,4,4,02:00,20
1992,4,4,03:00,19
1992,4,4,04:00,22
1992,4,4,05:00,19
1992,4,4,06:00,17
1992,4,4,07:00,19
1992,4,4,08:00,11
1992,4,4,09:00,19
1992,4,4,10:00,15
1992,4,4,11:00,17
1992,4,4,12:00,17
1992,4,4,13:00,11
1992,4,4,14:00,13
1992,4,4,15:00,19
1992,4,4,16:00,15
1992,4,4,17:00,15
1992,4,4,18:00,22
1992,4,4,19:00,22
1992,4,4,20:00,24
1992,4,4,21:00,20
