"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-01 00:00","2001","02","01","00:00","","-23.9","","-27.6","","71","","","","14","","11","","24.1","","96.16","","","","-32","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-01 01:00","2001","02","01","01:00","","-23.5","","-27.5","","70","","","","14","","15","","24.1","","96.16","","","","-33","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-01 02:00","2001","02","01","02:00","","-23.9","","-27.8","","70","","","","14","","15","","24.1","","96.16","","","","-34","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-01 03:00","2001","02","01","03:00","","-21.9","","-25.8","","71","","","","13","","17","","24.1","","96.10","","","","-32","","Mostly Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-01 04:00","2001","02","01","04:00","","-20.8","","-25.0","","69","","","","14","","24","","24.1","","96.03","","","","-32","","Mostly Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-01 05:00","2001","02","01","05:00","","-20.6","","-24.6","","70","","","","14","","20","","24.1","","95.94","","","","-31","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-01 06:00","2001","02","01","06:00","","-21.0","","-24.9","","71","","","","13","","20","","24.1","","95.87","","","","-32","","Mostly Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-01 07:00","2001","02","01","07:00","","-21.0","","-24.9","","71","","","","14","","20","","24.1","","95.78","","","","-32","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-01 08:00","2001","02","01","08:00","","-19.5","","-23.1","","73","","","","15","","24","","24.1","","95.68","","","","-31","","Mostly Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-01 09:00","2001","02","01","09:00","","-19.1","","-22.9","","72","","","","14","","28","","24.1","","95.58","","","","-31","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-01 10:00","2001","02","01","10:00","","-18.3","","-22.1","","72","","","","13","","30","","24.1","","95.49","","","","-30","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-01 11:00","2001","02","01","11:00","","-16.8","","-20.4","","74","","","","14","","28","","24.1","","95.33","","","","-28","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-01 12:00","2001","02","01","12:00","","-16.0","","-19.9","","72","","","","13","","30","","24.1","","95.26","","","","-27","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-01 13:00","2001","02","01","13:00","","-15.0","","-17.4","","82","","","","13","","35","","24.1","","95.13","","","","-27","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-01 14:00","2001","02","01","14:00","","-15.1","","-17.5","","82","","","","13","","32","","24.1","","94.97","","","","-26","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-01 15:00","2001","02","01","15:00","","-14.5","","-16.8","","83","","","","13","","26","","24.1","","94.88","","","","-25","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-01 16:00","2001","02","01","16:00","","-13.7","","-15.5","","86","","","","13","","30","","24.1","","94.78","","","","-24","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-01 17:00","2001","02","01","17:00","","-13.2","","-15.2","","85","","","","15","","22","","24.1","","94.75","","","","-22","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-01 18:00","2001","02","01","18:00","","-12.5","","-14.0","","89","","","","13","","22","","24.1","","94.62","","","","-21","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-01 19:00","2001","02","01","19:00","","-10.4","","-11.8","","89","","","","13","","17","","24.1","","94.56","","","","-18","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-01 20:00","2001","02","01","20:00","","-10.2","","-10.8","","95","","","","9","","4","","4.0","","94.59","","","","-13","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-01 21:00","2001","02","01","21:00","","-9.6","","-10.0","","97","","","","14","","11","","6.4","","94.46","","","","-15","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-01 22:00","2001","02","01","22:00","","-8.9","","-9.2","","98","","","","16","","13","","6.4","","94.36","","","","-15","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-01 23:00","2001","02","01","23:00","","-9.4","","-9.8","","97","","","","16","","9","","24.1","","94.27","","","","-14","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-02 00:00","2001","02","02","00:00","","-11.4","","-11.4","","100","","","","5","","4","","19.3","","94.33","","","","-14","","Mostly Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-02 01:00","2001","02","02","01:00","","-12.6","","-12.6","","100","","","","1","","9","","24.1","","94.33","","","","-18","","Mostly Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-02 02:00","2001","02","02","02:00","","-13.6","","-14.1","","96","","","","","","0","","24.1","","94.27","","","","","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-02 03:00","2001","02","02","03:00","","-13.7","","-13.8","","99","","","","","","0","","24.1","","94.30","","","","","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-02 04:00","2001","02","02","04:00","","-11.8","","-12.2","","97","","","","28","","6","","24.1","","94.27","","","","-16","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-02 05:00","2001","02","02","05:00","","-10.8","","-10.9","","99","","","","34","","6","","24.1","","94.27","","","","-14","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-02 06:00","2001","02","02","06:00","","-8.0","","-8.6","","95","","","","29","","11","","24.1","","94.33","","","","-13","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-02 07:00","2001","02","02","07:00","","-9.4","","-9.6","","98","","","","31","","7","","24.1","","94.33","","","","-13","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-02 08:00","2001","02","02","08:00","","-12.6","","-12.8","","98","","","","36","","4","","24.1","","94.27","","","","-15","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-02 09:00","2001","02","02","09:00","","-15.0","","-15.3","","98","","","","","","0","","24.1","","94.23","","","","","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-02 10:00","2001","02","02","10:00","","-11.7","","-11.7","","100","","","","13","","7","","24.1","","94.17","","","","-16","","Mostly Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-02 11:00","2001","02","02","11:00","","-11.0","","-11.3","","98","","","","15","","6","","24.1","","94.07","","","","-15","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-02 12:00","2001","02","02","12:00","","-8.7","","-8.8","","99","","","","","","0","","24.1","","94.11","","","","","","Mostly Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-02 13:00","2001","02","02","13:00","","-5.4","","-5.4","","100","","","","","","0","","24.1","","94.04","","","","","","Mostly Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-02 14:00","2001","02","02","14:00","","-3.9","","-5.6","","88","","","","","","0","","24.1","","93.95","","","","","","Mostly Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-02 15:00","2001","02","02","15:00","","-4.2","","-5.5","","91","","","","9","","11","","24.1","","93.82","","","","-9","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-02 16:00","2001","02","02","16:00","","-4.0","","-5.5","","89","","","","8","","13","","24.1","","93.72","","","","-9","","Mostly Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-02 17:00","2001","02","02","17:00","","-4.3","","-5.3","","93","","","","9","","9","","24.1","","93.72","","","","-8","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-02 18:00","2001","02","02","18:00","","-3.9","","-4.6","","95","","","","","","0","","24.1","","93.75","","","","","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-02 19:00","2001","02","02","19:00","","-3.7","","-4.9","","91","","","","24","","6","","24.1","","93.72","","","","-6","","Mostly Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-02 20:00","2001","02","02","20:00","","-4.1","","-4.7","","96","","","","","","0","","19.3","","93.69","","","","","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-02 21:00","2001","02","02","21:00","","-3.9","","-5.1","","91","","","","35","","6","","19.3","","93.78","","","","-7","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-02 22:00","2001","02","02","22:00","","-4.0","","-5.1","","92","","","","35","","6","","19.3","","93.78","","","","-7","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-02 23:00","2001","02","02","23:00","","-4.3","","-5.2","","93","","","","32","","7","","24.1","","93.85","","","","-7","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-03 00:00","2001","02","03","00:00","","-3.9","","-5.1","","91","","","","30","","11","","24.1","","93.91","","","","-8","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-03 01:00","2001","02","03","01:00","","-4.8","","-5.8","","93","","","","32","","11","","24.1","","93.95","","","","-9","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-03 02:00","2001","02","03","02:00","","-3.2","","-4.2","","93","","","","31","","13","","24.1","","94.04","","","","-8","","Mostly Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-03 03:00","2001","02","03","03:00","","-2.0","","-2.8","","94","","","","31","","19","","24.1","","94.17","","","","-8","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-03 04:00","2001","02","03","04:00","","-1.2","","-1.4","","99","","","","31","","13","","24.1","","94.20","","","","-5","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-03 05:00","2001","02","03","05:00","","-2.3","","-2.7","","97","","","","34","","6","","24.1","","94.23","","","","-5","","Mostly Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-03 06:00","2001","02","03","06:00","","-2.9","","-3.0","","99","","","","32","","9","","24.1","","94.30","","","","-6","","Mostly Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-03 07:00","2001","02","03","07:00","","-2.1","","-2.1","","100","","","","29","","11","","24.1","","94.36","","","","-6","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-03 08:00","2001","02","03","08:00","","-1.5","","-4.2","","82","","","","29","","13","","24.1","","94.43","","","","-6","","Mostly Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-03 09:00","2001","02","03","09:00","","-1.3","","-5.2","","75","","","","30","","19","","24.1","","94.52","","","","-7","","Mostly Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-03 10:00","2001","02","03","10:00","","-0.8","","-5.8","","69","","","","30","","20","","24.1","","94.56","","","","-6","","Mostly Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-03 11:00","2001","02","03","11:00","","-0.7","","-6.2","","66","","","","30","","15","","24.1","","94.62","","","","-5","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-03 12:00","2001","02","03","12:00","","0.0","","-5.4","","67","","","","29","","20","","24.1","","94.68","","","","-5","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-03 13:00","2001","02","03","13:00","","2.3","","-4.8","","59","","","","28","","17","","24.1","","94.68","","","","","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-03 14:00","2001","02","03","14:00","","3.2","","-4.0","","59","","","","28","","19","","24.1","","94.68","","","","","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-03 15:00","2001","02","03","15:00","","3.9","","-3.4","","59","","","","29","","13","","24.1","","94.68","","","","","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-03 16:00","2001","02","03","16:00","","4.3","","-4.1","","54","","","","29","","24","","24.1","","94.72","","","","","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-03 17:00","2001","02","03","17:00","","2.6","","-3.7","","63","","","","27","","20","","24.1","","94.78","","","","","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-03 18:00","2001","02","03","18:00","","1.5","","-4.9","","62","","","","27","","19","","24.1","","94.84","","","","","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-03 19:00","2001","02","03","19:00","","0.1","","-5.9","","64","","","","28","","19","","24.1","","94.88","","","","","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-03 20:00","2001","02","03","20:00","","-1.4","","-6.1","","70","","","","27","","17","","24.1","","94.88","","","","-7","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-03 21:00","2001","02","03","21:00","","-0.9","","-6.2","","67","","","","28","","19","","24.1","","94.91","","","","-6","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-03 22:00","2001","02","03","22:00","","-1.0","","-6.6","","66","","","","29","","15","","24.1","","94.91","","","","-6","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-03 23:00","2001","02","03","23:00","","-3.5","","-7.2","","75","","","","27","","9","","24.1","","94.94","","","","-7","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-04 00:00","2001","02","04","00:00","","-3.6","","-7.5","","74","","","","27","","9","","24.1","","94.94","","","","-7","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-04 01:00","2001","02","04","01:00","","-3.1","","-7.7","","70","","","","29","","11","","24.1","","95.01","","","","-7","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-04 02:00","2001","02","04","02:00","","-3.7","","-8.3","","70","","","","28","","13","","24.1","","95.04","","","","-9","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-04 03:00","2001","02","04","03:00","","-3.8","","-8.7","","69","","","","29","","11","","24.1","","95.07","","","","-8","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-04 04:00","2001","02","04","04:00","","-5.3","","-9.3","","73","","","","26","","13","","24.1","","95.10","","","","-10","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-04 05:00","2001","02","04","05:00","","-3.9","","-8.9","","68","","","","28","","15","","24.1","","95.07","","","","-9","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-04 06:00","2001","02","04","06:00","","-3.9","","-9.2","","67","","","","28","","13","","24.1","","95.07","","","","-9","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-04 07:00","2001","02","04","07:00","","-4.0","","-9.8","","64","","","","29","","17","","24.1","","95.04","","","","-10","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-04 08:00","2001","02","04","08:00","","-5.6","","-10.3","","69","","","","28","","13","","24.1","","95.01","","","","-11","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-04 09:00","2001","02","04","09:00","","-4.9","","-10.5","","65","","","","28","","15","","24.1","","95.04","","","","-10","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-04 10:00","2001","02","04","10:00","","-4.7","","-10.6","","63","","","","28","","15","","24.1","","95.04","","","","-10","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-04 11:00","2001","02","04","11:00","","-3.3","","-10.1","","59","","","","29","","17","","24.1","","95.01","","","","-9","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-04 12:00","2001","02","04","12:00","","-2.0","","-9.1","","58","","","","29","","20","","24.1","","94.97","","","","-8","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2001-02-04 13:00","2001","02","04","13:00","","-1.4","","-8.2","","60","","","","28","","15","","24.1","","94.94","","","","-6","","Clear"
