"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","1995-09-01 00:00","1995","09","01","00:00","","12.1","","5.4","","64","","14","","9","","24.1","","94.78","","","","","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","1995-09-01 01:00","1995","09","01","01:00","","10.2","","5.2","","71","","15","","9","","24.1","","94.72","","","","","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","1995-09-01 02:00","1995","09","01","02:00","","12.6","","4.6","","58","","17","","4","","24.1","","94.68","","","","","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","1995-09-01 03:00","1995","09","01","03:00","","12.5","","4.4","","58","","","","0","","24.1","","94.65","","","","","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","1995-09-01 04:00","1995","09","01","04:00","","11.1","","4.3","","63","","25","","9","","24.1","","94.65","","","","","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","1995-09-01 05:00","1995","09","01","05:00","","9.9","","4.3","","68","","23","","6","","24.1","","94.65","","","","","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","1995-09-01 06:00","1995","09","01","06:00","","5.1","","3.3","","88","","","","0","","24.1","","94.65","","","","","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","1995-09-01 07:00","1995","09","01","07:00","","7.3","","3.8","","78","","31","","6","","24.1","","94.68","","","","","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","1995-09-01 08:00","1995","09","01","08:00","","10.6","","5.0","","68","","29","","9","","24.1","","94.75","","","","","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","1995-09-01 09:00","1995","09","01","09:00","","12.7","","6.1","","64","","26","","6","","24.1","","94.78","","","","","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","1995-09-01 10:00","1995","09","01","10:00","","15.8","","7.5","","58","","29","","11","","24.1","","94.81","","","","","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","1995-09-01 11:00","1995","09","01","11:00","","18.5","","8.1","","51","","32","","19","","24.1","","94.84","","","","","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","1995-09-01 12:00","1995","09","01","12:00","","19.5","","7.4","","45","","32","","19","","24.1","","94.88","","","","","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","1995-09-01 13:00","1995","09","01","13:00","","21.1","","7.3","","41","","32","","19","","24.1","","94.84","","","","","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","1995-09-01 14:00","1995","09","01","14:00","","21.1","","7.2","","41","","32","","20","","24.1","","94.88","","","","","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","1995-09-01 15:00","1995","09","01","15:00","","21.5","","7.8","","41","","32","","19","","24.1","","94.88","","","","","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","1995-09-01 16:00","1995","09","01","16:00","","21.5","","6.9","","39","","31","","15","","24.1","","94.88","","","","","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","1995-09-01 17:00","1995","09","01","17:00","","21.4","","7.6","","41","","33","","13","","24.1","","94.88","","","","","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","1995-09-01 18:00","1995","09","01","18:00","","21.1","","7.4","","41","","35","","11","","24.1","","94.91","","","","","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","1995-09-01 19:00","1995","09","01","19:00","","20.3","","7.0","","42","","36","","4","","24.1","","94.94","","","","","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","1995-09-01 20:00","1995","09","01","20:00","","16.4","","8.1","","58","","","","0","","24.1","","94.97","","","","","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","1995-09-01 21:00","1995","09","01","21:00","","13.7","","7.3","","65","","","","0","","24.1","","95.01","","","","","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","1995-09-01 22:00","1995","09","01","22:00","","12.5","","7.1","","70","","","","0","","24.1","","95.01","","","","","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","1995-09-01 23:00","1995","09","01","23:00","","12.4","","6.5","","67","","15","","4","","24.1","","95.04","","","","","","Clear"
