"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-01 00:00","2000","01","01","00:00","","-15.1","","-16.7","","88","","13","","33","","16.1","","94.46","","","","-27","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-01 01:00","2000","01","01","01:00","","-14.9","","-16.5","","88","","13","","30","","16.1","","94.43","","","","-26","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-01 02:00","2000","01","01","02:00","","-14.9","","-16.3","","89","","13","","22","","16.1","","94.39","","","","-24","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-01 03:00","2000","01","01","03:00","","-14.6","","-16.4","","86","","13","","28","","16.1","","94.30","","","","-25","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-01 04:00","2000","01","01","04:00","","-14.4","","-16.0","","88","","12","","22","","24.1","","94.27","","","","-24","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-01 05:00","2000","01","01","05:00","","-14.3","","-15.6","","90","","11","","28","","24.1","","94.23","","","","-25","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-01 06:00","2000","01","01","06:00","","-15.0","","-16.1","","91","","10","","24","","19.3","","94.14","","","","-25","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-01 07:00","2000","01","01","07:00","","-15.0","","-16.3","","90","","10","","22","","24.1","","94.14","","","","-25","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-01 08:00","2000","01","01","08:00","","-15.3","","-16.6","","90","","9","","24","","9.7","","94.17","","","","-25","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-01 09:00","2000","01","01","09:00","","-15.3","","-16.9","","88","","9","","19","","9.7","","94.20","","","","-24","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-01 10:00","2000","01","01","10:00","","-16.0","","-17.6","","87","","6","","20","","12.9","","94.23","","","","-25","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-01 11:00","2000","01","01","11:00","","-15.8","","-17.7","","85","","5","","11","","16.1","","94.27","","","","-23","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-01 12:00","2000","01","01","12:00","","-15.7","","-18.1","","82","","4","","19","","19.3","","94.33","","","","-25","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-01 13:00","2000","01","01","13:00","","-15.3","","-17.6","","83","","6","","20","","19.3","","94.36","","","","-25","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-01 14:00","2000","01","01","14:00","","-14.5","","-16.5","","85","","9","","19","","3.2","","94.33","","","","-23","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-01 15:00","2000","01","01","15:00","","-14.0","","-15.6","","88","","6","","15","","6.4","","94.39","","","","-22","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-01 16:00","2000","01","01","16:00","","-14.9","","-16.7","","86","","3","","22","","4.0","","94.46","","","","-24","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-01 17:00","2000","01","01","17:00","","-15.6","","-17.9","","82","","6","","20","","6.4","","94.59","","","","-25","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-01 18:00","2000","01","01","18:00","","-15.6","","-17.8","","83","","4","","19","","9.7","","94.72","","","","-25","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-01 19:00","2000","01","01","19:00","","-16.0","","-17.7","","87","","6","","17","","6.4","","94.81","","","","-25","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-01 20:00","2000","01","01","20:00","","-16.2","","-17.6","","89","","5","","9","","2.0","","94.88","","","","-22","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-01 21:00","2000","01","01","21:00","","-16.2","","-18.0","","86","","8","","13","","4.0","","94.91","","","","-24","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-01 22:00","2000","01","01","22:00","","-16.7","","-18.4","","87","","7","","11","","3.2","","94.97","","","","-24","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-01 23:00","2000","01","01","23:00","","-17.3","","-18.8","","88","","8","","13","","2.8","","95.01","","","","-25","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-02 00:00","2000","01","02","00:00","","-17.4","","-18.6","","90","","7","","11","","4.0","","95.07","","","","-25","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-02 01:00","2000","01","02","01:00","","-17.7","","-19.3","","87","","7","","11","","6.4","","95.10","","","","-25","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-02 02:00","2000","01","02","02:00","","-18.1","","-19.6","","88","","6","","13","","4.8","","95.10","","","","-26","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-02 03:00","2000","01","02","03:00","","-18.2","","-19.6","","89","","4","","11","","3.2","","95.13","","","","-25","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-02 04:00","2000","01","02","04:00","","-18.4","","-20.1","","86","","5","","13","","4.0","","95.20","","","","-26","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-02 05:00","2000","01","02","05:00","","-18.5","","-20.2","","86","","7","","13","","4.8","","95.20","","","","-27","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-02 06:00","2000","01","02","06:00","","-18.8","","-20.2","","89","","7","","13","","4.8","","95.20","","","","-27","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-02 07:00","2000","01","02","07:00","","-18.8","","-20.3","","88","","8","","9","","4.0","","95.23","","","","-25","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-02 08:00","2000","01","02","08:00","","-19.0","","-20.4","","89","","9","","7","","2.4","","95.29","","","","-24","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-02 09:00","2000","01","02","09:00","","-18.9","","-20.3","","89","","8","","6","","3.2","","95.33","","","","-24","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-02 10:00","2000","01","02","10:00","","-19.3","","-20.4","","91","","10","","4","","2.4","","95.36","","","","-23","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-02 11:00","2000","01","02","11:00","","-19.0","","-20.3","","89","","5","","7","","4.8","","95.42","","","","-24","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-02 12:00","2000","01","02","12:00","","-18.9","","-20.2","","89","","4","","6","","4.8","","95.45","","","","-24","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-02 13:00","2000","01","02","13:00","","-18.9","","-20.3","","89","","3","","7","","3.2","","95.49","","","","-24","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-02 14:00","2000","01","02","14:00","","-18.4","","-20.0","","87","","3","","7","","4.8","","95.49","","","","-24","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-02 15:00","2000","01","02","15:00","","-18.8","","-20.4","","87","","1","","11","","6.4","","95.49","","","","-26","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-02 16:00","2000","01","02","16:00","","-18.6","","-20.3","","86","","36","","9","","4.8","","95.55","","","","-25","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-02 17:00","2000","01","02","17:00","","-18.8","","-20.2","","89","","33","","11","","3.2","","95.62","","","","-26","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-02 18:00","2000","01","02","18:00","","-18.8","","-19.9","","91","","34","","9","","4.0","","95.65","","","","-25","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-02 19:00","2000","01","02","19:00","","-18.6","","-19.9","","89","","34","","11","","4.0","","95.71","","","","-26","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-02 20:00","2000","01","02","20:00","","-18.4","","-20.1","","86","","33","","15","","3.2","","95.78","","","","-27","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-02 21:00","2000","01","02","21:00","","-18.5","","-20.8","","82","","32","","13","","16.1","","95.84","","","","-27","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-02 22:00","2000","01","02","22:00","","-19.1","","-21.2","","83","","33","","9","","24.1","","95.87","","","","-26","","Mostly Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-02 23:00","2000","01","02","23:00","","-20.2","","-21.9","","86","","32","","9","","24.1","","95.90","","","","-27","","Mostly Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-03 00:00","2000","01","03","00:00","","-24.3","","-25.0","","94","","32","","7","","24.1","","95.97","","","","-31","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-03 01:00","2000","01","03","01:00","","-22.8","","-23.7","","92","","33","","6","","24.1","","96.00","","","","-28","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-03 02:00","2000","01","03","02:00","","-22.8","","-28.9","","57","","","","0","","24.1","","96.00","","","","","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-03 03:00","2000","01","03","03:00","","-22.0","","-25.1","","76","","","","0","","24.1","","96.06","","","","","","Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-03 04:00","2000","01","03","04:00","","-20.2","","-23.7","","74","","28","","4","","24.1","","96.10","","","","-24","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-03 05:00","2000","01","03","05:00","","-20.2","","-23.7","","74","","30","","6","","24.1","","96.06","","","","-25","","Snow"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-03 06:00","2000","01","03","06:00"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-03 07:00","2000","01","03","07:00","","-25.9","","-29.4","","72","","","","0","","24.1","","96.13","","","","","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-03 08:00","2000","01","03","08:00","","-28.0","","-30.8","","77","","32","","4","","24.1","","96.16","","","","-32","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-03 09:00","2000","01","03","09:00","","-27.6","","-30.6","","76","","32","","7","","24.1","","96.16","","","","-34","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-03 10:00","2000","01","03","10:00","","-27.1","","-30.7","","71","","","","0","","24.1","","96.19","","","","","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-03 11:00","2000","01","03","11:00","","-22.6","","-26.1","","73","","","","0","","24.1","","96.19","","","","","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-03 12:00","2000","01","03","12:00","","-20.2","","-23.3","","76","","","","0","","24.1","","96.19","","","","","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-03 13:00","2000","01","03","13:00","","-20.1","","-24.8","","66","","","","0","","24.1","","96.13","","","","","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-03 14:00","2000","01","03","14:00","","-18.0","","-23.4","","63","","22","","4","","24.1","","96.06","","","","-21","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-03 15:00","2000","01","03","15:00","","-18.9","","-23.4","","68","","17","","9","","24.1","","96.00","","","","-25","","Mostly Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-03 16:00","2000","01","03","16:00","","-17.4","","-21.8","","69","","19","","11","","24.1","","95.97","","","","-25","","Mostly Cloudy"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-03 17:00","2000","01","03","17:00","","-21.5","","-25.8","","68","","16","","9","","24.1","","95.90","","","","-29","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-03 18:00","2000","01","03","18:00","","-25.5","","-29.1","","72","","14","","13","","24.1","","95.84","","","","-35","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-03 19:00","2000","01","03","19:00","","-24.3","","-28.0","","71","","13","","13","","24.1","","95.74","","","","-34","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-03 20:00","2000","01","03","20:00","","-23.0","","-26.3","","74","","14","","13","","24.1","","95.68","","","","-32","","Mainly Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-03 21:00","2000","01","03","21:00","","-22.9","","-26.3","","74","","14","","13","","24.1","","95.62","","","","-32","","Clear"
"-108.26","52.77","NORTH BATTLEFORD A","4045600","2000-01-03 22:00","2000","01","03","22:00","","-23.8","","-27.3","","73","","13","","15","","24.1","","95.55","","","","-34","","Clear"
