step_index,z_midpoint,wind_speed_raw_kmh,wind_speed_kmh,probability,single_wtg_power_MW,wind_farm_power_MW_raw,wind_farm_power_MW
1,-4.9,-27.99812736258761,0.0,2.245184070654961e-06,0.0,0.0,0.0
2,-4.800000000000001,-27.03329014544068,0.0,3.5390189588290067e-06,0.0,0.0,0.0
3,-4.7,-26.068452928293738,0.0,4.376206239412212e-06,0.0,0.0,0.0
4,-4.6000000000000005,-25.10361571114681,0.0,4.908961781601526e-06,0.0,0.0,0.0
5,-4.5,-24.138778493999872,0.0,7.57273949254809e-06,0.0,0.0,0.0
6,-4.4,-23.173941276852936,0.0,9.323221988312972e-06,0.0,0.0,0.0
7,-4.3,-22.209104059706,0.0,1.0845380680282438e-05,0.0,0.0,0.0
8,-4.2,-21.24426684255907,0.0,1.7618986859546558e-05,0.0,0.0,0.0
9,-4.1000000000000005,-20.279429625412135,0.0,2.1500491524068694e-05,0.0,0.0,0.0
10,-4.0,-19.3145924082652,0.0,2.9644040526105332e-05,0.0,0.0,0.0
11,-3.9,-18.349755191118263,0.0,3.58468371958809e-05,0.0,0.0,0.0
12,-3.8,-17.384917973971326,0.0,5.0535668573386245e-05,0.0,0.0,0.0
13,-3.7,-16.420080756824397,0.0,6.0429700071187775e-05,0.0,0.0,0.0
14,-3.6,-15.455243539677461,0.0,7.903809008051447e-05,0.0,0.0,0.0
15,-3.5,-14.490406322530525,0.0,0.00010381122279226578,0.0,0.0,0.0
16,-3.4000000000000004,-13.525569105383596,0.0,0.00013417828869710362,0.0,0.0,0.0
17,-3.3000000000000003,-12.560731888236663,0.0,0.00017055788143509912,0.0,0.0,0.0
18,-3.2,-11.595894671089727,0.0,0.0002279813180896463,0.0,0.0,0.0
19,-3.1,-10.631057453942791,0.0,0.0002954129481439166,0.0,0.0,0.0
20,-3.0,-9.666220236795859,0.0,0.0003733855271400721,0.0,0.0,0.0
21,-2.9000000000000004,-8.701383019648926,0.0,0.000490591746421727,0.0,0.0,0.0
22,-2.8000000000000003,-7.73654580250199,0.0,0.0006230576065903883,0.0,0.0,0.0
23,-2.7,-6.771708585355057,0.0,0.0007877932310287235,0.0,0.0,0.0
24,-2.6,-5.806871368208121,0.0,0.0010105231016311863,0.0,0.0,0.0
25,-2.5,-4.842034151061185,0.0,0.0013047944307561414,0.0,0.0,0.0
26,-2.4000000000000004,-3.877196933914256,0.0,0.001664823015374243,0.0,0.0,0.0
27,-2.3000000000000003,-2.9123597167673196,0.0,0.002099741807637184,0.0,0.0,0.0
28,-2.2,-1.9475224996203835,0.0,0.0026676972695783667,0.0,0.0,0.0
29,-2.1,-0.9826852824734509,0.0,0.0033564360237272645,0.0,0.0,0.0
30,-2.0,-0.017848065326514728,0.0,0.004224941719397691,0.0,0.0,0.0
31,-1.9,0.9469891518204214,0.9469891518204214,0.005248935925452903,0.0,0.0,0.0
32,-1.8,1.911826368967354,1.911826368967354,0.006504031874916299,0.0,0.0,0.0
33,-1.7000000000000002,2.8766635861142866,2.8766635861142866,0.00801408940528461,0.0,0.0,0.0
