step_index,z_midpoint,wind_speed_raw_kmh,wind_speed_kmh,probability,single_wtg_power_MW,wind_farm_power_MW_raw,wind_farm_power_MW
1,-4.0,-19.3145924082652,0.0,0.00044123575083459697,0.0,0.0,0.0
2,-3.0,-9.666220236795859,0.0,0.005418276079934004,0.0,0.0,0.0
3,-2.0,-0.017848065326514728,0.0,0.05542781050144109,0.0,0.0,0.0
4,-1.0,9.630524106142827,9.630524106142827,0.27112165476611344,0.0,0.0,0.0
5,0.0,19.27889627761217,19.27889627761217,0.39643401599994355,0.06828336956815925,1.911934347908459,1.9119
6,1.0,28.92726844908151,28.92726844908151,0.20506198439490544,0.39417808150396655,11.036986282111064,11.037
7,2.0,38.57564062055086,38.57564062055086,0.05502485704170958,0.9735935937174732,27.26062062408925,27.2606
8,3.0,48.2240127920202,48.2240127920202,0.009691318013998055,1.5,42.0,42.0
9,4.0,57.87238496348954,57.87238496348954,0.0012738946093090013,1.5,42.0,42.0
10,5.0,67.52075713495887,67.52075713495887,0.00010495284181129462,1.5,42.0,42.0
