step_index,z_midpoint,wind_speed_raw_kmh,wind_speed_kmh,probability
1,-4.0,-19.3145924082652,0.0,0.001642751714340435
2,-2.0,-0.017848065326514728,0.0,0.15856220543137403
3,0.0,19.27889627761217,19.27889627761217,0.6983374868604421
4,2.0,38.57564062055086,38.57564062055086,0.13740625452723262
5,4.0,57.87238496348954,57.87238496348954,0.004051301466610903
