step_index,z_midpoint,wind_speed_raw_kmh,wind_speed_kmh,probability,single_wtg_power_MW,wind_farm_power_MW_raw,wind_farm_power_MW
1,-4.9,-27.99812736258761,0.0,2.397415996541336e-06,0.0,0.0,0.0
2,-4.800000000000001,-27.03329014544068,0.0,5.365645325592514e-06,0.0,0.0,0.0
3,-4.7,-26.068452928293738,0.0,5.822295991600388e-06,0.0,0.0,0.0
4,-4.6000000000000005,-25.10361571114681,0.0,4.566506660078735e-06,0.0,0.0,0.0
5,-4.5,-24.138778493999872,0.0,1.0502965318181091e-05,0.0,0.0,0.0
6,-4.4,-23.173941276852936,0.0,1.2329567982212586e-05,0.0,0.0,0.0
7,-4.3,-22.209104059706,0.0,1.3471194647232269e-05,0.0,0.0,0.0
8,-4.2,-21.24426684255907,0.0,2.0092629304346437e-05,0.0,0.0,0.0
9,-4.1000000000000005,-20.279429625412135,0.0,2.6714063961460604e-05,0.0,0.0,0.0
10,-4.0,-19.3145924082652,0.0,3.653205328062988e-05,0.0,0.0,0.0
11,-3.9,-18.349755191118263,0.0,4.463760260226964e-05,0.0,0.0,0.0
12,-3.8,-17.384917973971326,0.0,5.9364586581023564e-05,0.0,0.0,0.0
13,-3.7,-16.420080756824397,0.0,7.237913056224796e-05,0.0,0.0,0.0
14,-3.6,-15.455243539677461,0.0,9.418419986412394e-05,0.0,0.0,0.0
15,-3.5,-14.490406322530525,0.0,0.00011713089583098669,0.0,0.0,0.0
16,-3.4000000000000004,-13.525569105383596,0.0,0.00015297797311255727,0.0,0.0,0.0
17,-3.3000000000000003,-12.560731888236663,0.0,0.0001978439010479007,0.0,0.0,0.0
18,-3.2,-11.595894671089727,0.0,0.0002623458076214357,0.0,0.0,0.0
19,-3.1,-10.631057453942791,0.0,0.00033872063151125386,0.0,0.0,0.0
20,-3.0,-9.666220236795859,0.0,0.00041726454606462004,0.0,0.0,0.0
21,-2.9000000000000004,-8.701383019648926,0.0,0.0005450125698803254,0.0,0.0,0.0
22,-2.8000000000000003,-7.73654580250199,0.0,0.0006896566683383724,0.0,0.0,0.0
23,-2.7,-6.771708585355057,0.0,0.0008466303347785441,0.0,0.0,0.0
24,-2.6,-5.806871368208121,0.0,0.0010812346144400988,0.0,0.0,0.0
25,-2.5,-4.842034151061185,0.0,0.0013911862539929278,0.0,0.0,0.0
26,-2.4000000000000004,-3.877196933914256,0.0,0.0017663247761184543,0.0,0.0,0.0
27,-2.3000000000000003,-2.9123597167673196,0.0,0.0022081342954810637,0.0,0.0,0.0
28,-2.2,-1.9475224996203835,0.0,0.002761138252016518,0.0,0.0,0.0
29,-2.1,-0.9826852824734509,0.0,0.0034902952029645944,0.0,0.0,0.0
30,-2.0,-0.017848065326514728,0.0,0.004312038076445768,0.0,0.0,0.0
31,-1.9,0.9469891518204214,0.9469891518204214,0.00527888169905093,0.0,0.0,0.0
32,-1.8,1.911826368967354,1.911826368967354,0.006535470169238128,0.0,0.0,0.0
33,-1.7000000000000002,2.8766635861142866,2.8766635861142866,0.008017644068433208,0.0,0.0,0.0
34,-1.6,3.841500803261221,3.841500803261221,0.00968750139135751,0.0,0.0,0.0
35,-1.5,4.806338020408155,4.806338020408155,0.01168021073514937,0.0,0.0,0.0
36,-1.4,5.7711752375550915,5.7711752375550915,0.013927160337241075,0.0,0.0,0.0
37,-1.3,6.736012454702024,6.736012454702024,0.01638862158969,0.0,0.0,0.0
38,-1.2000000000000002,7.700849671848957,7.700849671848957,0.019220312369604853,0.0,0.0,0.0
39,-1.1,8.665686888995893,8.665686888995893,0.022203725333300804,0.0,0.0,0.0
40,-1.0,9.630524106142827,9.630524106142827,0.025321850243469043,0.0,0.0,0.0
41,-0.9,10.595361323289762,10.595361323289762,0.0285102993562025,0.0,0.0,0.0
42,-0.8,11.560198540436694,11.560198540436694,0.031566890589126276,0.0,0.0,0.0
43,-0.7000000000000001,12.52503575758363,12.52503575758363,0.034381000318399725,0.0,0.0,0.0
44,-0.6000000000000001,13.489872974730563,13.489872974730563,0.03711599531978741,0.0,0.0,0.0
45,-0.5,14.4547101918775,14.4547101918775,0.039156652983510044,0.0004063137043925913,0.007313646679066643,0.0073
46,-0.4,15.419547409024432,15.419547409024432,0.0409898770821987,0.008911308871591944,0.160403559688655,0.1604
47,-0.3,16.384384626171368,16.384384626171368,0.042293158082985206,0.019951512041568253,0.35912721674822856,0.3591
48,-0.2,17.3492218433183,17.3492218433183,0.042771157167628866,0.033526923214321686,0.6034846178577904,0.6035
49,-0.1,18.314059060465237,18.314059060465237,0.04269078665041154,0.04963754238985199,0.8934757630173358,0.8935
50,0.0,19.27889627761217,19.27889627761217,0.04211814671523769,0.06828336956815925,1.2291006522268666,1.2291
51,0.1,20.243733494759102,20.243733494759102,0.04106259870076048,0.08946440474924355,1.610359285486384,1.6104
52,0.2,21.208570711906038,21.208570711906038,0.039574716668240285,0.11318064793310481,2.0372516627958865,2.0373
53,0.3,22.17340792905297,22.17340792905297,0.03780074299346618,0.13943209911974302,2.5097777841553746,2.5098
54,0.4,23.138245146199907,23.138245146199907,0.03569957911649753,0.16821875830915836,3.0279376495648505,3.0279
55,0.5,24.10308236334684,24.10308236334684,0.0333586736398746,0.19954062550135065,3.5917312590243116,3.5917
56,0.6000000000000001,25.067919580493776,25.067919580493776,0.030949841376683124,0.23339770069632,4.20115861253376,4.2012
57,0.7000000000000001,26.032756797640708,26.032756797640708,0.0286697846013058,0.26978998389406594,4.856219710093187,4.8562
