step_index,z_midpoint,wind_speed_raw_kmh,wind_speed_kmh,probability
1,-4.9,-27.99812736258761,0.0,2.245184070654961e-06
2,-4.800000000000001,-27.03329014544068,0.0,3.5390189588290067e-06
3,-4.7,-26.068452928293738,0.0,4.376206239412212e-06
4,-4.6000000000000005,-25.10361571114681,0.0,4.908961781601526e-06
5,-4.5,-24.138778493999872,0.0,7.57273949254809e-06
6,-4.4,-23.173941276852936,0.0,9.323221988312972e-06
7,-4.3,-22.209104059706,0.0,1.0845380680282438e-05
8,-4.2,-21.24426684255907,0.0,1.7618986859546558e-05
9,-4.1000000000000005,-20.279429625412135,0.0,2.1500491524068694e-05
10,-4.0,-19.3145924082652,0.0,2.9644040526105332e-05
11,-3.9,-18.349755191118263,0.0,3.58468371958809e-05
12,-3.8,-17.384917973971326,0.0,5.0535668573386245e-05
13,-3.7,-16.420080756824397,0.0,6.0429700071187775e-05
14,-3.6,-15.455243539677461,0.0,7.903809008051447e-05
15,-3.5,-14.490406322530525,0.0,0.00010381122279226578
16,-3.4000000000000004,-13.525569105383596,0.0,0.00013417828869710362
17,-3.3000000000000003,-12.560731888236663,0.0,0.00017055788143509912
18,-3.2,-11.595894671089727,0.0,0.0002279813180896463
19,-3.1,-10.631057453942791,0.0,0.0002954129481439166
20,-3.0,-9.666220236795859,0.0,0.0003733855271400721
21,-2.9000000000000004,-8.701383019648926,0.0,0.000490591746421727
22,-2.8000000000000003,-7.73654580250199,0.0,0.0006230576065903883
23,-2.7,-6.771708585355057,0.0,0.0007877932310287235
24,-2.6,-5.806871368208121,0.0,0.0010105231016311863
25,-2.5,-4.842034151061185,0.0,0.0013047944307561414
26,-2.4000000000000004,-3.877196933914256,0.0,0.001664823015374243
27,-2.3000000000000003,-2.9123597167673196,0.0,0.002099741807637184
28,-2.2,-1.9475224996203835,0.0,0.0026676972695783667
29,-2.1,-0.9826852824734509,0.0,0.0033564360237272645
30,-2.0,-0.017848065326514728,0.0,0.004224941719397691
31,-1.9,0.9469891518204214,0.9469891518204214,0.005248935925452903
32,-1.8,1.911826368967354,1.911826368967354,0.006504031874916299
33,-1.7000000000000002,2.8766635861142866,2.8766635861142866,0.00801408940528461
34,-1.6,3.841500803261221,3.841500803261221,0.009797146097057613
35,-1.5,4.806338020408155,4.806338020408155,0.011849967363014918
36,-1.4,5.7711752375550915,5.7711752375550915,0.014200789246892609
37,-1.3,6.736012454702024,6.736012454702024,0.016751166135287467
38,-1.2000000000000002,7.700849671848957,7.700849671848957,0.01957610239774628
39,-1.1,8.665686888995893,8.665686888995893,0.02265904455849391
40,-1.0,9.630524106142827,9.630524106142827,0.025730532475084507
41,-0.9,10.595361323289762,10.595361323289762,0.028966223260571276
