wind_farm_power_MW,probability,wind_state_count,z_min,z_max,wind_speed_min_kmh,wind_speed_max_kmh
0.0,0.2931356845788844,44,-4.9,-0.6000000000000001,0.0,13.489872974730563
0.0114,0.03927329251943872,1,-0.5,-0.5,14.4547101918775,14.4547101918775
0.2495,0.04097917576552886,1,-0.4,-0.4,15.419547409024432,15.419547409024432
0.5586,0.04208905777577843,1,-0.3,-0.3,16.384384626171368,16.384384626171368
0.9388,0.04255499055139032,1,-0.2,-0.2,17.3492218433183,17.3492218433183
1.3899,0.042519295930063566,1,-0.1,-0.1,18.314059060465237,18.314059060465237
1.9119,0.0418836805142645,1,0.0,0.0,19.27889627761217,19.27889627761217
2.505,0.0408170278108668,1,0.1,0.1,20.243733494759102,20.243733494759102
3.1691,0.039376418770819654,1,0.2,0.2,21.208570711906038,21.208570711906038
3.9041,0.03752615877279619,1,0.3,0.3,22.17340792905297,22.17340792905297
4.7101,0.03551945891520548,1,0.4,0.4,23.138245146199907,23.138245146199907
5.5871,0.033168751193229734,1,0.5,0.5,24.10308236334684,24.10308236334684
6.5351,0.030752095945924464,1,0.6000000000000001,0.6000000000000001,25.067919580493776,25.067919580493776
7.5541,0.02832912374004748,1,0.7000000000000001,0.7000000000000001,26.032756797640708,26.032756797640708
8.6441,0.02589774160739736,1,0.8,0.8,26.997594014787644,26.997594014787644
9.805,0.023533258349259244,1,0.9,0.9,27.962431231934577,27.962431231934577
11.037,0.02118723126526131,1,1.0,1.0,28.92726844908151,28.92726844908151
12.3399,0.01898158526663023,1,1.1,1.1,29.892105666228446,29.892105666228446
13.7138,0.016855243735850862,1,1.2000000000000002,1.2000000000000002,30.856942883375382,30.856942883375382
15.1587,0.014959166761199063,1,1.3,1.3,31.821780100522314,31.821780100522314
16.6746,0.013121807058090048,1,1.4,1.4,32.78661731766925,32.78661731766925
18.2615,0.011444730665245376,1,1.5,1.5,33.75145453481618,33.75145453481618
19.9193,0.00995054163924087,1,1.6,1.6,34.71629175196312,34.71629175196312
21.6482,0.008669302614242817,1,1.7000000000000002,1.7000000000000002,35.68112896911005,35.68112896911005
23.448,0.00743357613413475,1,1.8,1.8,36.645966186256985,36.645966186256985
25.3188,0.006411484626444574,1,1.9,1.9,37.61080340340392,37.61080340340392
27.2606,0.005460782361407714,1,2.0,2.0,38.57564062055086,38.57564062055086
29.2734,0.004673445777986515,1,2.1,2.1,39.54047783769779,39.54047783769779
31.3572,0.0039312792537495355,1,2.2,2.2,40.50531505484472,40.50531505484472
33.5119,0.003346009236687236,1,2.3000000000000003,2.3000000000000003,41.47015227199166,41.47015227199166
35.7377,0.002802446367784951,1,2.4000000000000004,2.4000000000000004,42.434989489138594,42.434989489138594
38.0344,0.0023459890300306153,1,2.5,2.5,43.39982670628552,43.39982670628552
40.4021,0.0019613395285699026,1,2.6,2.6,44.36466392343246,44.36466392343246
42.0,0.009108825936548449,24,2.7,5.0,45.329501140579396,67.52075713495887
