Step,Wind Speed expressed by mu_sigma,Expression,Wind Speed raw km/h,Wind Speed km/h negative converted to zero,Probability
1,-3.3333333333333335,mu - 3.3333 sigma,-14.003333333333337,0.0,0.00455471740001246
2,-1.6666666666666667,mu - 1.6667 sigma,2.763333333333332,2.763333333333332,0.1846164630062733
3,0.0,mu,19.53,19.53,0.6246507739853502
4,1.6666666666666667,mu + 1.6667 sigma,36.29666666666667,36.29666666666667,0.17510788014324571
5,3.3333333333333335,mu + 3.3333 sigma,53.06333333333334,53.06333333333334,0.010735404714786966
6,5.0,mu + 5.0000 sigma,69.83000000000001,69.83000000000001,0.0003347607503313846
