step_index,z_midpoint,probability,source_100step_count,source_z_min,source_z_max
1,-4.0,0.001642751714340435,20,-4.9,-3.0
2,-2.0,0.15856220543137403,20,-2.9000000000000004,-1.0
3,0.0,0.6983374868604421,20,-0.9,1.0
4,2.0,0.13740625452723262,20,1.1,3.0
5,4.0,0.004051301466610903,20,3.1,5.0
