step_index,z_midpoint,probability,source_100step_count,source_z_min,source_z_max
1,-3.3333333333333335,0.00455471740001246,24,-4.9,-2.6
2,-1.6666666666666667,0.1846164630062733,17,-2.5,-0.9
3,0.0,0.6246507739853502,17,-0.8,0.8
4,1.6666666666666667,0.17510788014324571,17,0.9,2.5
5,3.3333333333333335,0.010735404714786966,16,2.6,4.1000000000000005
6,5.0,0.0003347607503313846,9,4.2,5.0
