site,wtg_count,wind_capacity_MW,peak_load_pu,Site_specific_ARMA_100step_LOLE,Simplified_6step_Common_Model_LOLE,absolute_error_6step_minus_ARMA,relative_error_percent
Swift Current,18,27.0,0.92,0.18412930238154424,0.18090684573687424,-0.0032224566446699965,-1.7501052809034006
Swift Current,18,27.0,0.95,0.3285394194274494,0.33580533562374737,0.007265916196297961,2.211581249203028
Swift Current,18,27.0,0.98,0.559204483368503,0.5530522457545846,-0.0061522376139184765,-1.100176732643306
Swift Current,18,27.0,1.0,0.8071992214105994,0.8273347346918641,0.020135513281264728,2.49449116738213
Swift Current,18,27.0,1.02,1.0936209057079307,1.073335972064465,-0.02028493364346562,-1.8548414297488787
Swift Current,18,27.0,1.05,1.7900556931600962,1.7953526603719143,0.00529696721181816,0.295910749149212
