step_index,z_midpoint,wind_speed_raw_kmh,wind_speed_kmh,probability
1,-4.0,-19.3145924082652,0.0,0.00044123575083459697
2,-3.0,-9.666220236795859,0.0,0.005418276079934004
3,-2.0,-0.017848065326514728,0.0,0.05542781050144109
4,-1.0,9.630524106142827,9.630524106142827,0.27112165476611344
5,0.0,19.27889627761217,19.27889627761217,0.39643401599994355
6,1.0,28.92726844908151,28.92726844908151,0.20506198439490544
7,2.0,38.57564062055086,38.57564062055086,0.05502485704170958
8,3.0,48.2240127920202,48.2240127920202,0.009691318013998055
9,4.0,57.87238496348954,57.87238496348954,0.0012738946093090013
10,5.0,67.52075713495887,67.52075713495887,0.00010495284181129462
