Power Output MW,Probability,Number of six-step wind states combined,Min wind speed km/h,Max wind speed km/h
0.0,0.18917118040628575,2,0.0,2.763333333333332
1.3239,0.6246507739853502,1,19.53,19.53
14.6496,0.17510788014324571,1,36.29666666666667,36.29666666666667
27.0,0.01107016546511835,2,53.06333333333334,69.83000000000001
