hour,mu_t,sigma_t,y_t_simulated,SW_raw_kmh,SW_negative_set_zero_kmh
1,13.733333333333333,11.272385136547928,-0.22051111524481226,11.247647115404103,11.247647115404103
2,12.0,10.895608551810483,0.1846481545599467,14.011854011899379,14.011854011899379
3,10.666666666666666,9.021139195298584,0.263619017018886,13.044810513721824,13.044810513721824
4,11.0,9.219544457292887,0.5369032265143889,15.950003166113401,15.950003166113401
5,11.4,8.157380531938983,-0.22682478911586101,9.54970388110511,9.54970388110511
6,12.133333333333333,8.667399236438202,0.19528981569253057,13.825988132750929,13.825988132750929
7,10.533333333333333,10.635967728599477,0.08375673350748086,11.424167247971805,11.424167247971805
8,11.666666666666666,10.396885980678931,0.042394087780060055,12.107433163570844,12.107433163570844
9,11.733333333333333,9.595137657515219,0.7408538461484176,18.841927971227,18.841927971227
10,10.933333333333334,9.794070120425395,0.2340209742679078,13.22535116496349,13.22535116496349
11,10.733333333333333,10.918311399182741,-0.08923751092693444,9.75901040054509,9.75901040054509
12,12.666666666666666,9.40111442228805,-0.6693824948042206,6.373725240735552,6.373725240735552
13,12.0,7.634508123364221,-0.5669690471329756,7.671470203967226,7.671470203967226
14,11.8,9.236573266871526,0.10825845615970653,12.79993716207753,12.79993716207753
15,11.866666666666667,7.130083817045577,-0.9398842172726024,5.165213419194735,5.165213419194735
16,11.933333333333334,7.314043894812096,-0.5127804276123502,8.182834777376087,8.182834777376087
17,11.866666666666667,7.405274825291445,-1.8202077550508062,-1.6124719986113263,0.0
18,12.466666666666667,7.376281163941883,-1.6736740854499397,0.12117603558461987,0.12117603558461987
19,10.533333333333333,7.6426123681319735,-1.1641274979914509,1.6363581191013417,1.6363581191013417
20,11.8,8.792854241614933,-1.4102841667325132,-0.6004231173363586,0.0
21,10.666666666666666,9.131317121913595,-1.8651966880106614,-6.3650357863016165,0.0
22,13.533333333333333,8.517768543015299,-1.7228631845317228,-1.1416165037901376,0.0
23,12.866666666666667,7.376281163941883,-0.9800789831043446,5.637328524418775,5.637328524418775
24,13.4,7.490946917065005,-0.24389500916653495,11.572995432996404,11.572995432996404
25,13.266666666666667,9.246363506548837,0.3475687305517493,16.480413492857867,16.480413492857867
26,14.066666666666666,7.23549452023709,0.44585089069735584,17.29261834315021,17.29261834315021
27,15.0,8.22018421760903,0.49320656983589056,19.05424886138607,19.05424886138607
28,13.666666666666666,7.306226959310282,0.9321024660637484,20.476818833061223,20.476818833061223
