parameter,value
phi_1,1.7646501280038722
phi_2,-0.9040125977945545
phi_3,0.11271389015408967
theta_1,-1.1217517450980297
theta_2,0.3278756837509465
sigma_alpha,0.5287090092852887
sigma_alpha_squared,0.2795332164994315
AIC,41070.948248029825
BIC,41120.003974784915
