simulation_year,simulated_raw_mean,simulated_raw_std,simulated_zero_mean,simulated_zero_std,count
1,13.556387680613426,9.766533644939813,13.856383115039073,9.219445256408981,8760
2,13.744870640154092,9.66064977507302,14.023808496992002,9.136131737335765,8760
3,14.408095830528355,9.25890837936502,14.603536535812141,8.874959438961715,8760
4,13.577130855667628,9.319927528851947,13.844116376272558,8.804966419060188,8760
5,13.351104794983513,9.328411631110935,13.595267458898093,8.8704316401985,8760
6,13.823396455589325,9.436536769287226,14.08320947663513,8.92212909649351,8760
7,13.918100891950225,9.877604041833331,14.220249670333276,9.311395981741915,8760
8,14.118757121854804,9.7466460372794,14.42678852006245,9.133925208102397,8760
9,13.56254712827505,9.257683943457405,13.8390022517231,8.71102577275187,8760
10,13.587568116816437,9.633843749320924,13.88097743513279,9.075813850704144,8760
11,14.240551971873586,9.586479215877624,14.476888700971914,9.129509338087788,8760
12,13.249875878921516,9.312906368416902,13.507844907719319,8.834991409124992,8760
13,14.296591982803529,9.449410762212796,14.528196570815954,8.992988003757668,8760
14,14.604744530807668,9.725983201359046,14.868787854908708,9.199312573160498,8760
15,13.859534952315519,9.365772314443038,14.120614940302364,8.848966395077746,8760
16,13.773932686942155,9.242173918418699,14.006562482685442,8.79089649107177,8760
17,13.286430578500028,9.426280368687719,13.565165667742145,8.898285188018878,8760
18,14.382617413130475,9.968752941422492,14.696488771955673,9.357019405305174,8760
19,14.046334858518478,9.550368327031824,14.321641057092226,9.009981884710925,8760
20,13.551030869886976,9.458417217903326,13.827525150074871,8.939608108035461,8760
21,14.483929897879198,9.552292658711979,14.753700515386026,8.997844984831007,8760
22,13.400728930423943,9.424901110642196,13.716400381775111,8.812029311552628,8760
23,13.475332251977466,9.583781726948043,13.802552338188061,8.95228438987687,8760
24,13.676628273917002,9.811919921215258,13.94706022574894,9.31666424864845,8760
25,13.820812895032564,9.592027510794917,14.058851972399207,9.143919664007315,8760
26,13.437545025471568,9.246205702907323,13.722673919367962,8.689060189272706,8760
27,14.612448184226139,9.320452384418974,14.77874785521679,8.996486532175252,8760
28,13.94214769137009,9.71414638657114,14.240957967569287,9.126033349585027,8760
29,14.561241822356656,9.502045577012657,14.78818206477966,9.055252179865365,8760
30,13.73741076205477,9.34806677722342,13.98811578142314,8.865063897115713,8760
31,13.371128216652062,9.699237159949053,13.629701013525619,9.23553249203057,8760
32,13.818903232432676,9.82267800836895,14.150384721919806,9.188786060495689,8760
33,13.814623892841457,9.756167124738267,14.11370518349596,9.193466635613866,8760
34,13.88331852804842,9.410480876553818,14.141584801038535,8.909704822829292,8760
35,13.452178683165783,9.668619951382583,13.73759592767412,9.14467803905215,8760
36,14.00039597246963,9.407416492762193,14.272107123779824,8.857523019769575,8760
37,14.272756058744136,9.663927942178749,14.54910218869118,9.125637525647278,8760
38,14.275307503336133,9.624859937605875,14.498828474267519,9.205917764152876,8760
39,14.124832050179444,9.295528972654783,14.336431535737114,8.879881412019499,8760
40,13.829729208442563,9.320288695881613,14.08687888867917,8.828716970267463,8760
41,13.056487045245103,9.145195796640367,13.307852257843775,8.676765712005917,8760
42,13.389810122143246,9.44256843084457,13.68170546733897,8.87834158773937,8760
43,12.767922355866597,9.59647572421163,13.118426166177114,8.95185608736001,8760
44,13.89972238352748,9.85359829299202,14.183532391908521,9.32084586430859,8760
45,13.901716972251227,9.641659738991336,14.163301075971985,9.147425298868043,8760
46,13.613427076559823,9.265197871625622,13.875333470429256,8.756752248243359,8760
47,14.113352880468902,9.20491679143914,14.362946720909848,8.693206760491531,8760
48,13.336089654594987,9.740557581769623,13.65511951402466,9.144573314010682,8760
49,13.927024167306012,9.437761609569558,14.202215981258497,8.896415014252009,8760
50,13.400212578285553,9.718339589237052,13.680813228411116,9.207042007654907,8760
51,14.295967494322836,9.663086113390973,14.55992765589699,9.140795780102016,8760
52,13.800196611188342,9.374755908603305,14.048018254510525,8.882558779407939,8760
53,13.699293782777447,9.29015097660908,13.946071130942384,8.815462655621415,8760
54,13.27802898700251,9.367736617564827,13.58128105314328,8.776991067778846,8760
55,13.25746931722557,9.564182429006793,13.63398112367145,8.847483393420243,8760
56,13.70297042603396,9.351313071168455,13.970121259660758,8.829690667023792,8760
57,13.64482863288362,9.281780797254592,13.91393766559817,8.753785986383813,8760
58,14.298194533453094,9.612300946679113,14.556346424655535,9.081478065936082,8760
59,13.800727958682044,9.252130083945653,14.01070482992911,8.857147481728713,8760
60,13.594345691054842,9.520761778808454,13.868011090495003,9.004682743970395,8760
61,13.99797941779157,9.384414016854434,14.230566912693648,8.933333007028168,8760
62,13.906902764338094,9.609047383704832,14.18339371082203,9.058662717481397,8760
63,14.05217913130502,9.417294921500146,14.277678584958064,8.980337554229683,8760
64,13.413988817570903,9.756129667894877,13.72572028013913,9.175941484697313,8760
65,13.461745446827905,9.305412962260348,13.719049190461032,8.815414545894837,8760
66,13.551656639830691,9.56973941295465,13.846605434593151,9.011914463070886,8760
67,13.6641596513158,9.965572791795516,13.966558366357923,9.424325840990365,8760
68,14.128770375459364,9.3774024150141,14.345698679474774,8.953895908956321,8760
69,14.278060329308941,9.25698086114548,14.487697658503327,8.8399373787091,8760
70,13.665094544157963,9.566269514577275,13.944979896283522,9.033258292418399,8760
71,13.361080302927034,9.809696749533346,13.71126290965235,9.135686539144329,8760
72,13.513838795713578,9.685380424073236,13.794980687637917,9.174827557703187,8760
73,13.580861999793255,9.885389272178056,13.936534898925345,9.203540740535122,8760
74,13.661394143396446,9.62767712164269,13.916767319281666,9.156162910536654,8760
75,13.690909870152028,9.704472918643885,13.949932633791969,9.233936336086352,8760
76,13.784018864943999,9.278989191697974,14.04736775314135,8.757548267457649,8760
77,13.723067773017721,9.73608386424437,14.018771318061862,9.177194787112859,8760
78,14.293025268514679,9.846176325887363,14.576579786228265,9.294373877262135,8760
79,14.03347011668974,9.694873338423864,14.323432819152064,9.115705677703112,8760
80,14.501554593710027,9.144912237036763,14.716744332345069,8.697941414321486,8760
81,14.26358282647304,9.675516489133859,14.54675377961908,9.119801231934298,8760
82,14.292915033696225,9.484510593513672,14.503570806182703,9.067926360910967,8760
83,14.147234501519968,9.65264415720415,14.415787917307513,9.136856683727567,8760
84,13.455412653969352,9.504854434229024,13.744982069943878,8.951035820889032,8760
85,14.000858415846725,9.691865717591238,14.277920746883307,9.160389463953393,8760
86,13.909354094679664,9.629994351405573,14.174219677308502,9.131484504926304,8760
87,13.40906299264873,9.507137901517158,13.746236036856374,8.844930080120378,8760
88,13.050243235384789,9.41750576672786,13.36840347723705,8.822963305614065,8760
89,14.349498152707847,9.276573978087768,14.565259978864162,8.844693515010501,8760
90,14.095921460685048,9.330399708897275,14.317714020001844,8.893692754297412,8760
91,13.591991068680397,9.63078445166377,13.901810164200668,9.038610819176217,8760
92,13.40604113398304,9.269322117519517,13.65481260230223,8.794472894888434,8760
93,13.80375421119302,9.752683380407909,14.115785533379926,9.154072495242753,8760
94,13.377622898093025,9.485777218315707,13.66023658525561,8.956210692371629,8760
95,12.792692214092797,9.499031117626734,13.150260875331611,8.828938248133902,8760
96,13.367446210604214,9.671182543343889,13.710307279084777,9.021282050306331,8760
97,13.856890211657081,8.997889985319595,14.098904474722866,8.50224638166289,8760
98,14.084272965167042,9.316602649167246,14.302876918253698,8.889136264787608,8760
99,14.325226163604249,9.256866615006361,14.544381572690211,8.82455005070662,8760
100,13.972953651928018,9.378991692971741,14.223622368422195,8.887571982505026,8760
101,13.705119909022752,9.469428401045082,13.982164262647732,8.933942067882125,8760
102,13.919308100835305,9.713973158063647,14.20063357535507,9.182380442220055,8760
103,13.977832216002309,9.642032482559095,14.276037222613661,9.050842311299974,8760
104,13.984214808109774,9.311030265924467,14.243034515388247,8.787436103110418,8760
105,13.702346658374127,9.434089537774918,13.996018867884063,8.862942119202746,8760
106,14.241829154879433,9.412685824298471,14.464938338974147,8.980326914118695,8760
107,13.611525606822342,9.486698327908806,13.91824796003136,8.876683021112257,8760
108,13.639396043270454,9.469047283879675,13.894776788002943,8.995004327550683,8760
109,12.81887538652219,9.890238564589703,13.212801326637061,9.171078520929074,8760
110,14.295381344477358,9.44397262019493,14.5103040298974,9.02250111438159,8760
111,13.885752266235126,9.93400337551712,14.18688753963396,9.373303398194672,8760
112,13.919869801674702,10.241491687841968,14.22961358646184,9.692363086505114,8760
113,13.148580421384992,9.452670794236628,13.437414769387518,8.922581573759116,8760
114,13.305031814295072,9.588395861309305,13.641703881172738,8.926974418196405,8760
115,14.123435758056482,9.705264598566522,14.387461259070271,9.188810570803573,8760
116,13.078405518533298,9.603646907863554,13.388688004652797,9.03802928792611,8760
117,13.970418790695206,9.888099622030639,14.257160159479175,9.351077182349073,8760
118,14.112676294174157,9.755179636643389,14.411488980374035,9.174712214747352,8760
119,13.847008312213129,9.09043328112226,14.079667432282504,8.625113358897373,8760
120,13.809167789243045,9.366445288689816,14.04979679772159,8.894286208247298,8760
121,13.681176054874191,9.603568923513068,13.962366383445193,9.06924161306027,8760
122,13.508369135576768,9.465531330321246,13.799427980676228,8.898968227652302,8760
123,13.416081614760964,9.371807226685487,13.723968518871576,8.774890875141214,8760
124,13.83317414134254,9.491378288918819,14.105763913888627,8.958036288839947,8760
125,13.623020102217659,9.582724263392874,13.892869654913735,9.078491675595576,8760
126,14.128475362142833,9.877891496299911,14.391957384520321,9.386591770283802,8760
127,14.313938544766227,9.130494714234368,14.525005469611786,8.691346765510652,8760
128,14.047841722016964,9.873913376642532,14.293291087310823,9.424175768732564,8760
129,14.435032093284791,9.710950828891868,14.684201011717102,9.225560456528056,8760
130,13.48242498531564,9.767729706318194,13.813958726750709,9.128433333122958,8760
131,14.079829756025335,9.543352449144443,14.33900820202513,9.040834417523632,8760
132,14.167956891138246,9.606320366133255,14.434049384248581,9.084036169822072,8760
133,13.838827103382469,9.31575230210988,14.092868014718233,8.825431476829294,8760
134,13.95232599753578,9.40274145636396,14.171047469614209,8.993108448197878,8760
135,13.348735263821595,9.571054395531165,13.67685390039333,8.944807734394642,8760
136,14.008542840873357,9.453711567734596,14.239227153295294,9.019918964268626,8760
137,13.151443321416089,9.707001093684406,13.52270698931897,9.014058612503696,8760
138,14.021339464976537,9.565115038350086,14.273326786820222,9.078085987525105,8760
139,12.812845620913638,9.022039228454817,13.076679992725639,8.523071005306223,8760
140,13.363970208624728,9.691729507772951,13.648085226019788,9.185030697516254,8760
141,14.25338255149699,9.700423253045136,14.516522062859066,9.200006254185078,8760
142,14.063620780350194,9.649329682602003,14.31427026910925,9.170955653449157,8760
143,14.09062168087662,9.913434656500748,14.377120914247675,9.369217158447224,8760
144,13.999917609748433,9.537021192060818,14.253133415774466,9.043239239154648,8760
145,13.765848800472135,9.667676890735367,14.036977410503003,9.165161324163929,8760
146,14.063928148778258,9.43938250646161,14.27627390064319,9.033599694502826,8760
147,13.288338199925265,9.287971485435587,13.582853033179184,8.724327539235404,8760
148,13.540605160710738,9.597831801110289,13.837871038314658,9.040780212785117,8760
149,14.370273130957344,9.552298315407299,14.625775660972115,9.050539435585364,8760
150,14.260161952685332,9.83810134245418,14.555038183154213,9.27029147804447,8760
151,13.73075512929645,9.614890386842408,14.064581624624653,8.94350821916833,8760
152,13.778175821875294,9.756684102551686,14.028177339018116,9.299960069323934,8760
