Year,actual_mean,actual_std,actual_count
1989,13.021232876712329,9.038816287141504,8760
1990,13.926940639269406,9.80436120172748,8760
1991,14.067351598173516,9.811735429359832,8760
1992,14.448059360730594,9.87746808290796,8760
1993,13.074885844748858,9.074131622229782,8760
1994,12.886984344646326,9.543112565117196,8751
1995,12.108519153802172,9.283146487357929,8745
1996,12.878910308207319,9.493632962869215,8663
1997,13.536515567765568,9.60643001326495,8736
1998,12.91194968553459,8.942917746461443,8745
1999,14.338493292053663,9.641193442020109,8721
2000,14.751685521654668,10.25847336254867,8751
2001,15.273018048891934,9.911048958114792,8754
2002,14.33165771735405,9.382866581630546,8753
2003,15.251712328767123,9.439153084385207,8760
