simulation_year,simulated_raw_mean,simulated_raw_std,simulated_zero_mean,simulated_zero_std,count
1,16.313315177582663,10.268930826465835,16.4933793527253,9.910011072025085,8760
2,16.784518609805335,10.9145039301021,16.972907892563,10.549362674100244,8760
3,17.58738961861419,10.808121738140084,17.726418489190365,10.52766799940506,8760
4,16.369071376326122,10.19389684649353,16.551006446490554,9.813241201327981,8760
5,16.089869592673715,10.498508981375359,16.31071044658411,10.05304985594235,8760
6,16.856733991000535,10.361640902133116,17.038445963811128,9.981718110604223,8760
7,16.991541951267273,11.177189437036162,17.21570012858986,10.736896739263337,8760
8,17.17863662479197,10.8575886765703,17.35118350073517,10.512702927017461,8760
9,16.59593595650732,10.392022635855719,16.766071519196654,10.04544214925178,8760
10,16.446284900161654,10.893046502538542,16.68018642378233,10.426932339652494,8760
11,17.226511107136695,10.799171909147761,17.414409787054712,10.4067461734886,8760
12,16.208492624094358,10.364297214781619,16.36101335733846,10.07144266892282,8760
13,17.244681545357388,10.299370989055275,17.403178508716966,9.964347570451817,8760
14,17.729659459930776,10.931360660808632,17.893952497828636,10.598655334989576,8760
15,16.86232593972136,10.706853980101293,17.074439129990715,10.270199632108685,8760
16,16.864838117415275,10.979524849140235,17.05477236830447,10.616615826864239,8760
17,16.217032978913366,10.849126874841508,16.469341228221467,10.330696021546009,8760
18,17.40009918464065,10.930931312067862,17.61101946423937,10.489772966896718,8760
19,17.131466089556852,10.781638393017323,17.318755250391078,10.392399912139073,8760
20,16.304607669560422,10.439337893307348,16.50576474270762,10.032309604406722,8760
21,17.568190103517697,10.837249373558807,17.769969683008338,10.393256250205932,8760
22,16.395470378695542,10.905490222659699,16.64005168972355,10.425998253969638,8760
23,16.396341749022614,10.796854882489702,16.642266406041095,10.28197496637035,8760
24,16.545030155045914,10.758087538048436,16.730231170064474,10.405511070127746,8760
25,16.836655866367618,10.927236507776184,17.023033332140784,10.570195020697899,8760
26,16.483075373354303,10.889624680946158,16.74137510525038,10.362005442057937,8760
27,17.627399187408994,10.516556382360958,17.74678660470216,10.268468677727967,8760
28,16.76904160663928,10.48085173380878,16.989163512868444,9.99560588709674,8760
29,17.654315913730684,10.949191598839741,17.852723934900478,10.54399651436881,8760
30,16.853899770124926,10.338133638080173,16.992612278497376,10.056433924473259,8760
31,16.30063246703941,10.74584529708337,16.485275225318667,10.388557263270048,8760
32,16.948647488995377,11.25357739436066,17.185116352097925,10.795377920886942,8760
33,16.864984350386706,11.116737020014348,17.06474423234149,10.72664682333493,8760
34,16.985263883811744,10.742249178142135,17.152063946955824,10.420536083793372,8760
35,16.42288117600346,10.654122883201731,16.632334237194105,10.230411578838096,8760
36,17.036217742065634,10.63856346429014,17.19632011160675,10.32501287361645,8760
37,17.253003689775436,11.035513280634818,17.487215294953703,10.557006347109228,8760
38,17.451964584335403,11.12251415224356,17.627501571995158,10.773437934487067,8760
39,17.488360368236908,11.116629891742907,17.643970741228102,10.808969730510956,8760
40,16.68984944305312,10.654580439749255,16.919736727824183,10.187197107802985,8760
41,15.925391737683,10.247447095563032,16.100357785608225,9.908527600540696,8760
42,16.331247134855627,10.734326676051502,16.53477756429964,10.342509821732458,8760
43,15.480085604904414,10.482795774606274,15.731167809624464,9.993426448306261,8760
44,16.89371808405263,10.978622723700326,17.084530498603982,10.604705450763454,8760
45,16.93269841874137,10.437878193750356,17.097184028318395,10.108455655494105,8760
46,16.65442253901235,10.52318231155941,16.822939240352213,10.190505399685048,8760
47,17.036582825042316,10.335467637498622,17.222952695603624,9.950110277749067,8760
48,16.349743128185207,11.080905810959718,16.618445826082645,10.55489795849783,8760
49,16.993404974610947,10.593819840148484,17.162612388418342,10.253387763075153,8760
50,16.301360210976867,10.638965936974174,16.487190016511327,10.276986240917285,8760
51,17.2324168763572,10.64170482199679,17.412149857905124,10.260522313120171,8760
52,16.849132857197485,10.786772944685179,17.001612434870662,10.49415686029765,8760
53,16.84409954771796,10.7607024722838,17.0235334574296,10.40962375039928,8760
