hour,mu_t,sigma_t,y_t_simulated,SW_raw_kmh,SW_negative_set_zero_kmh
1,21.166666666666668,10.684171243082691,-0.2542936753801467,18.4497494928723,18.4497494928723
2,17.46153846153846,11.332956253153784,0.1616482678613974,19.293491209609762,19.293491209609762
3,22.214285714285715,10.016744223307532,0.2579449595096687,24.798054397385485,24.798054397385485
4,22.357142857142858,8.83704739114862,0.5397381364474482,27.126834347739198,27.126834347739198
5,23.142857142857142,11.169030967243879,-0.24883426465198005,20.363619535247818,20.363619535247818
6,21.466666666666665,12.899981542991593,0.16796736861285544,23.633442621597364,23.633442621597364
7,19.8,10.611314715905849,0.03766176242430519,20.19964081383998,20.19964081383998
8,20.8,10.530228596080633,0.008558594669011571,20.89012395832589,20.89012395832589
9,22.6,12.022597770151721,0.720349896434303,31.260477058600074,31.260477058600074
10,24.428571428571427,11.978919212287288,0.21598257598857115,27.01580925760022,27.01580925760022
11,24.4,14.436065946094871,-0.11103621157099086,22.79707392735663,22.79707392735663
12,22.571428571428573,12.37686604867376,-0.7281910167853752,13.558705898828439,13.558705898828439
13,27.071428571428573,11.906457754669786,-0.630860861472466,19.560110375232068,19.560110375232068
14,25.357142857142858,10.73890943365181,0.06335730776938908,26.03753124723833,26.03753124723833
15,23.714285714285715,12.19980183589737,-0.9811309138033001,11.744682990812551,11.744682990812551
16,22.071428571428573,12.350423759246766,-0.5374576818154488,15.433598448345364,15.433598448345364
17,21.071428571428573,10.54998567781956,-1.8908915534211514,1.122549764525445,1.122549764525445
18,21.733333333333334,11.713646904765561,-1.7357979832103316,1.4008086600033316,1.4008086600033316
19,21.785714285714285,11.409702830543779,-1.229793741582807,7.7541331513919065,7.7541331513919065
20,20.6,13.189822916606142,-1.4422885513518073,1.5764694130212575,1.5764694130212575
21,19.785714285714285,13.226887368181126,-1.8955017733075838,-5.285874176012719,0.0
22,19.571428571428573,13.871466484030533,-1.7570970504649523,-4.802084273284919,0.0
23,19.928571428571427,10.992754856752669,-0.9964911504667616,8.97438849456688,8.97438849456688
24,19.066666666666666,11.707547423208101,-0.2209734446502315,16.47960958415443,16.47960958415443
25,19.714285714285715,11.93848702840827,0.40704879268569744,24.57383244569316,24.57383244569316
26,17.0,9.323254631461962,0.5113222279097225,21.76718732952877,21.76718732952877
27,20.5,10.044133381462803,0.542379632900009,25.94773337623652,25.94773337623652
28,20.214285714285715,10.259543935197204,0.9617964882073796,30.081879041767706,30.081879041767706
29,21.142857142857142,10.227091795491356,0.10467205972711333,22.213347906109483,22.213347906109483
30,20.785714285714285,10.296964238428359,-0.28448281618117965,17.856404901049288,17.856404901049288
31,23.066666666666666,12.056217522605543,0.5784211710848671,30.04023812494606,30.04023812494606
32,22.866666666666667,13.447605557797093,0.8341105839569465,34.083456791303476,34.083456791303476
33,21.071428571428573,12.682297084545029,1.1098735611045323,35.147174799638194,35.147174799638194
34,22.933333333333334,13.609170577574659,0.9921513661456092,36.435690513982664,36.435690513982664
35,22.066666666666666,11.354462097510808,0.41208706571018433,26.7456936351474,26.7456936351474
36,22.333333333333332,14.792211592913477,-0.10724164729896604,20.74699219491443,20.74699219491443
37,22.066666666666666,12.964052864234496,0.567075262276696,29.418260344821395,29.418260344821395
38,22.066666666666666,12.383552840456609,0.9919376520947725,34.35037899582075,34.35037899582075
39,23.866666666666667,13.168504995234796,0.14499944154163472,25.77609253691394,25.77609253691394
40,23.2,13.733171520082314,-0.13437337995407544,21.35462732535749,21.35462732535749
41,24.2,15.269951819551643,-0.07253745131027803,23.092356613378982,23.092356613378982
42,26.133333333333333,15.17454008089427,0.4395587788601466,32.80343564105557,32.80343564105557
43,23.8,14.438044980437722,0.09996777497830973,25.243339231731113,25.243339231731113
44,25.066666666666666,13.160908927939735,-0.332050926250665,20.69657466684363,20.69657466684363
45,28.333333333333332,14.840420992616593,0.34740680945949975,33.48899664141405,33.48899664141405
46,28.4,14.874714883221891,0.5171571182294878,36.092564683492306,36.092564683492306
47,27.733333333333334,13.19884554836232,0.008079967861038775,27.839979581166915,27.839979581166915
48,27.071428571428573,12.904765283916133,-0.2696113199009033,23.592157770220588,23.592157770220588
49,22.75,13.177977496910932,0.45147761506335615,28.699561851663923,28.699561851663923
50,24.23076923076923,12.891559552370214,-0.4250609607017545,18.751070542494865,18.751070542494865
51,25.307692307692307,11.806669127973219,-0.37642453756772165,20.863372340979893,20.863372340979893
52,24.692307692307693,9.911143689341268,-0.05579724593760868,24.13929317035054,24.13929317035054
53,25.0,11.51810169544733,-0.007826806599498533,24.90985004563638,24.90985004563638
54,25.0,10.287532908007309,0.4696451194184093,29.83148962110191,29.83148962110191
55,24.615384615384617,10.308075002463372,-0.6326866933694846,18.093602727071424,18.093602727071424
56,21.785714285714285,9.183417927719768,-0.34151201032316997,18.64946676758087,18.64946676758087
57,22.266666666666666,9.269509670085549,-0.14121513351832624,20.95767162095612,20.95767162095612
58,21.866666666666667,8.765734152830282,0.02640149830315361,22.098095182028512,22.098095182028512
