parameter,value
phi_1,0.6323458173915436
phi_2,0.33285251921355524
phi_3,-0.0723253907240757
theta_1,0.02517117670818402
theta_2,-0.16748285855998482
sigma_alpha,0.5428648555739606
sigma_alpha_squared,0.2947022514173371
AIC,42331.43352535721
BIC,42380.47140653194
