datetime,Year,Month,Day,Hour,Wind Spd (km/h),mu_t,sigma_t,y_t
2001-01-01 00:00:00,2001,1,1,0,22.0,21.166666666666668,10.684171243082691,0.07799700270368294
2001-01-01 01:00:00,2001,1,1,1,15.0,17.46153846153846,11.332956253153784,-0.2172017968262652
2001-01-01 02:00:00,2001,1,1,2,13.0,22.214285714285715,10.016744223307532,-0.9198882899341075
2001-01-01 03:00:00,2001,1,1,3,11.0,22.357142857142858,8.83704739114862,-1.2851739222897482
2001-01-01 04:00:00,2001,1,1,4,11.0,23.142857142857142,11.169030967243879,-1.0871898536649478
2001-01-01 05:00:00,2001,1,1,5,20.0,21.466666666666665,12.899981542991593,-0.11369525311169826
2001-01-01 06:00:00,2001,1,1,6,7.0,19.8,10.611314715905849,-1.2062595769413396
2001-01-01 07:00:00,2001,1,1,7,7.0,20.8,10.530228596080633,-1.3105128605789604
2001-01-01 08:00:00,2001,1,1,8,7.0,22.6,12.022597770151721,-1.29755650968627
2001-01-01 09:00:00,2001,1,1,9,11.0,24.428571428571427,11.978919212287288,-1.1210169457355694
2001-01-01 10:00:00,2001,1,1,10,15.0,24.4,14.436065946094871,-0.6511469284706899
2001-01-01 11:00:00,2001,1,1,11,11.0,22.571428571428573,12.37686604867376,-0.9349239561874798
2001-01-01 12:00:00,2001,1,1,12,15.0,27.071428571428573,11.906457754669786,-1.0138555748618086
2001-01-01 13:00:00,2001,1,1,13,17.0,25.357142857142858,10.73890943365181,-0.7782115035773216
2001-01-01 14:00:00,2001,1,1,14,7.0,23.714285714285715,12.19980183589737,-1.3700456727997563
2001-01-01 15:00:00,2001,1,1,15,9.0,22.071428571428573,12.350423759246766,-1.0583789533247383
2001-01-01 16:00:00,2001,1,1,16,9.0,21.071428571428573,10.54998567781956,-1.1442127923270755
2001-01-01 17:00:00,2001,1,1,17,11.0,21.733333333333334,11.713646904765561,-0.9163101313021995
2001-01-01 18:00:00,2001,1,1,18,11.0,21.785714285714285,11.409702830543779,-0.9453107101826459
2001-01-01 19:00:00,2001,1,1,19,11.0,20.6,13.189822916606142,-0.7278338807652595
2001-01-01 20:00:00,2001,1,1,20,11.0,19.785714285714285,13.226887368181126,-0.6642314280871084
2001-01-01 21:00:00,2001,1,1,21,17.0,19.571428571428573,13.871466484030533,-0.18537539447533677
2001-01-01 22:00:00,2001,1,1,22,13.0,19.928571428571427,10.992754856752669,-0.6302852668742376
2001-01-01 23:00:00,2001,1,1,23,20.0,19.066666666666666,11.707547423208101,0.07972065365997737
2001-01-02 00:00:00,2001,1,2,0,22.0,19.714285714285715,11.93848702840827,0.19145761772620812
2001-01-02 01:00:00,2001,1,2,1,17.0,17.0,9.323254631461962,0.0
2001-01-02 02:00:00,2001,1,2,2,15.0,20.5,10.044133381462803,-0.547583329603195
2001-01-02 03:00:00,2001,1,2,3,13.0,20.214285714285715,10.259543935197204,-0.7031780125757652
2001-01-02 04:00:00,2001,1,2,4,9.0,21.142857142857142,10.227091795491356,-1.1873225923532198
2001-01-02 05:00:00,2001,1,2,5,9.0,20.785714285714285,10.296964238428359,-1.1445814526314366
2001-01-02 06:00:00,2001,1,2,6,11.0,23.066666666666666,12.056217522605543,-1.000866701686622
2001-01-02 07:00:00,2001,1,2,7,9.0,22.866666666666667,13.447605557797093,-1.0311625074864421
2001-01-02 08:00:00,2001,1,2,8,13.0,21.071428571428573,12.682297084545029,-0.63643269966169
2001-01-02 09:00:00,2001,1,2,9,11.0,22.933333333333334,13.609170577574659,-0.876859707600198
2001-01-02 10:00:00,2001,1,2,10,6.0,22.066666666666666,11.354462097510808,-1.415009053593908
2001-01-02 11:00:00,2001,1,2,11,9.0,22.333333333333332,14.792211592913477,-0.9013752439642595
2001-01-02 12:00:00,2001,1,2,12,15.0,22.066666666666666,12.964052864234496,-0.5450970264216013
2001-01-02 13:00:00,2001,1,2,13,11.0,22.066666666666666,12.383552840456609,-0.8936584524040851
2001-01-02 14:00:00,2001,1,2,14,24.0,23.866666666666667,13.168504995234796,0.010125168603541658
2001-01-02 15:00:00,2001,1,2,15,33.0,23.2,13.733171520082314,0.7136006410223049
2001-01-02 16:00:00,2001,1,2,16,32.0,24.2,15.269951819551643,0.5108071126991299
2001-01-02 17:00:00,2001,1,2,17,32.0,26.133333333333333,15.17454008089427,0.38661248613743365
2001-01-02 18:00:00,2001,1,2,18,35.0,23.8,14.438044980437722,0.7757282939050967
2001-01-02 19:00:00,2001,1,2,19,30.0,25.066666666666666,13.160908927939735,0.37484746382981154
2001-01-02 20:00:00,2001,1,2,20,28.0,28.333333333333332,14.840420992616593,-0.02246117771855476
2001-01-02 21:00:00,2001,1,2,21,28.0,28.4,14.874714883221891,-0.026891271741361796
2001-01-02 22:00:00,2001,1,2,22,28.0,27.733333333333334,13.19884554836232,0.020203787194081762
2001-01-02 23:00:00,2001,1,2,23,28.0,27.071428571428573,12.904765283916133,0.07195570071535923
2001-01-03 00:00:00,2001,1,3,0,22.0,22.75,13.177977496910932,-0.0569131340659679
2001-01-03 01:00:00,2001,1,3,1,26.0,24.23076923076923,12.891559552370214,0.13723946757903957
2001-01-03 02:00:00,2001,1,3,2,24.0,25.307692307692307,11.806669127973219,-0.11075878332137104
2001-01-03 03:00:00,2001,1,3,3,24.0,24.692307692307693,9.911143689341268,-0.06985144338611711
2001-01-03 04:00:00,2001,1,3,4,33.0,25.0,11.51810169544733,0.6945588962078793
2001-01-03 05:00:00,2001,1,3,5,32.0,25.0,10.287532908007309,0.6804352474587513
2001-01-03 06:00:00,2001,1,3,6,33.0,24.615384615384617,10.308075002463372,0.8134026365360817
2001-01-03 07:00:00,2001,1,3,7,28.0,21.785714285714285,9.183417927719768,0.6766854958792794
2001-01-03 08:00:00,2001,1,3,8,35.0,22.266666666666666,9.269509670085549,1.3736792760922614
2001-01-03 09:00:00,2001,1,3,9,33.0,21.866666666666667,8.765734152830282,1.2700970779200051
2001-01-03 10:00:00,2001,1,3,10,50.0,23.785714285714285,12.223423739365657,2.144594368422519
2001-01-03 11:00:00,2001,1,3,11,50.0,23.071428571428573,12.627590583957176,2.132518571102792
2001-01-03 12:00:00,2001,1,3,12,46.0,26.066666666666666,12.842266525960653,1.5521663012551625
2001-01-03 13:00:00,2001,1,3,13,54.0,27.266666666666666,13.739758090335958,1.9456917041455468
2001-01-03 14:00:00,2001,1,3,14,54.0,26.733333333333334,13.598669402695602,2.0050981356500746
2001-01-03 15:00:00,2001,1,3,15,50.0,26.466666666666665,13.032194567228316,1.8057843759110173
2001-01-03 16:00:00,2001,1,3,16,44.0,26.133333333333333,12.483512936593419,1.4312210639277183
2001-01-03 17:00:00,2001,1,3,17,46.0,25.333333333333332,14.47493728911492,1.4277551780626987
2001-01-03 18:00:00,2001,1,3,18,35.0,25.333333333333332,13.730397282082171,0.7040340106750902
2001-01-03 19:00:00,2001,1,3,19,37.0,24.133333333333333,12.816655830077774,1.003902019157878
2001-01-03 20:00:00,2001,1,3,20,33.0,23.333333333333332,12.737271891503894,0.7589275591356888
2001-01-03 21:00:00,2001,1,3,21,33.0,24.066666666666666,13.540767369406392,0.6597361205330978
2001-01-03 22:00:00,2001,1,3,22,26.0,21.933333333333334,12.651745597610894,0.3214312709097312
2001-01-03 23:00:00,2001,1,3,23,32.0,23.2,12.048710660125778,0.7303686052585594
2001-01-04 00:00:00,2001,1,4,0,28.0,24.2,9.908149603807392,0.38352267092735254
2001-01-04 01:00:00,2001,1,4,1,32.0,25.8,10.604581220262443,0.5846529788610135
2001-01-04 02:00:00,2001,1,4,2,35.0,24.533333333333335,13.135919493982176,0.7967974127324434
2001-01-04 03:00:00,2001,1,4,3,19.0,22.333333333333332,11.152620874976087,-0.29888340782860867
2001-01-04 04:00:00,2001,1,4,4,32.0,22.8,13.088708328719292,0.7028959442707823
2001-01-04 05:00:00,2001,1,4,5,24.0,23.666666666666668,13.063945294843617,0.02551551815399135
2001-01-04 06:00:00,2001,1,4,6,26.0,22.666666666666668,14.331118322760174,0.23259408360612377
2001-01-04 07:00:00,2001,1,4,7,26.0,21.266666666666666,13.682453135659694,0.34594186337807753
2001-01-04 08:00:00,2001,1,4,8,20.0,20.466666666666665,14.116184564770563,-0.033058980245364196
2001-01-04 09:00:00,2001,1,4,9,17.0,24.0,14.942747882692604,-0.4684546681074456
2001-01-04 10:00:00,2001,1,4,10,7.0,25.733333333333334,16.073343801225086,-1.1654907382685056
2001-01-04 11:00:00,2001,1,4,11,9.0,27.333333333333332,17.31088289679838,-1.0590640259442836
2001-01-04 12:00:00,2001,1,4,12,24.0,27.266666666666666,12.366236675877165,-0.26416012828211166
2001-01-04 13:00:00,2001,1,4,13,39.0,30.133333333333333,15.315103034337737,0.5789492011112731
2001-01-04 14:00:00,2001,1,4,14,30.0,29.666666666666668,13.398649541047396,0.024878129121308063
2001-01-04 15:00:00,2001,1,4,15,22.0,26.866666666666667,11.599671588126146,-0.4195521079793645
2001-01-04 16:00:00,2001,1,4,16,20.0,25.866666666666667,15.440515658795977,-0.379952768178737
2001-01-04 17:00:00,2001,1,4,17,20.0,25.2,13.09961831505025,-0.3969581307590985
2001-01-04 18:00:00,2001,1,4,18,30.0,23.266666666666666,11.961047891663451,0.5629384142861177
2001-01-04 19:00:00,2001,1,4,19,37.0,23.933333333333334,12.606498702011178,1.0365024401725498
2001-01-04 20:00:00,2001,1,4,20,37.0,25.066666666666666,10.944448473127933,1.090354928586253
2001-01-04 21:00:00,2001,1,4,21,35.0,25.0,11.631238725334214,0.8597536544597625
2001-01-04 22:00:00,2001,1,4,22,41.0,23.133333333333333,10.80255701652336,1.6539294020238167
2001-01-04 23:00:00,2001,1,4,23,44.0,21.2,11.059578912159617,2.0615613108860957
2001-01-05 00:00:00,2001,1,5,0,43.0,19.571428571428573,11.35926789159262,2.0625071661450742
2001-01-05 01:00:00,2001,1,5,1,48.0,19.615384615384617,12.359466422803626,2.2965890608549917
2001-01-05 02:00:00,2001,1,5,2,41.0,17.333333333333332,12.505236998192093,1.8925404348664647
2001-01-05 03:00:00,2001,1,5,3,39.0,16.8,11.098262412262045,2.0003131278885666
2001-01-05 04:00:00,2001,1,5,4,41.0,20.066666666666666,11.652508415828429,1.7964658412001748
2001-01-05 05:00:00,2001,1,5,5,46.0,21.4,12.093681939638683,2.034119974610062
2001-01-05 06:00:00,2001,1,5,6,43.0,21.4,13.124676866770582,1.6457548036620602
2001-01-05 07:00:00,2001,1,5,7,41.0,21.6,13.009886350662057,1.491173671860151
2001-01-05 08:00:00,2001,1,5,8,43.0,20.866666666666667,11.716085808266627,1.8891405965733465
2001-01-05 09:00:00,2001,1,5,9,44.0,21.066666666666666,14.5576031517489,1.5753509073077185
2001-01-05 10:00:00,2001,1,5,10,44.0,19.933333333333334,13.698105534638549,1.756933950158949
2001-01-05 11:00:00,2001,1,5,11,39.0,19.666666666666668,11.462153042991199,1.6867104514151599
2001-01-05 12:00:00,2001,1,5,12,37.0,24.4,11.91517639699172,1.057474902610857
2001-01-05 13:00:00,2001,1,5,13,26.0,20.928571428571427,9.778030993502224,0.5186553995174161
2001-01-05 14:00:00,2001,1,5,14,28.0,21.266666666666666,14.503529947994762,0.464254795727455
2001-01-05 15:00:00,2001,1,5,15,19.0,21.266666666666666,14.901901444670298,-0.15210586884382762
2001-01-05 16:00:00,2001,1,5,16,22.0,21.466666666666665,13.18476754584984,0.040450719474475066
2001-01-05 17:00:00,2001,1,5,17,24.0,21.866666666666667,14.242123972150196,0.14979039204440053
2001-01-05 18:00:00,2001,1,5,18,20.0,22.4,17.512444554821986,-0.1370454017705465
2001-01-05 19:00:00,2001,1,5,19,24.0,21.866666666666667,16.413699272544378,0.12997273179616584
2001-01-05 20:00:00,2001,1,5,20,30.0,22.133333333333333,16.335179681842966,0.4815782146192551
2001-01-05 21:00:00,2001,1,5,21,26.0,21.733333333333334,16.01546871294244,0.2664091037946758
2001-01-05 22:00:00,2001,1,5,22,20.0,22.4,16.745148551147583,-0.14332509458899492
2001-01-05 23:00:00,2001,1,5,23,19.0,21.933333333333334,15.979749089155968,-0.18356566908324773
2001-01-06 00:00:00,2001,1,6,0,24.0,22.866666666666667,18.48113581337416,0.06132379225919538
2001-01-06 01:00:00,2001,1,6,1,19.0,21.733333333333334,16.65389987217351,-0.16412572156149305
2001-01-06 02:00:00,2001,1,6,2,24.0,22.533333333333335,17.422754688980184,0.08418110068405688
2001-01-06 03:00:00,2001,1,6,3,32.0,23.733333333333334,19.38138527655067,0.42652609959043625
2001-01-06 04:00:00,2001,1,6,4,19.0,21.466666666666665,17.755750242292404,-0.1389221313099637
2001-01-06 05:00:00,2001,1,6,5,13.0,22.333333333333332,16.74457979111308,-0.5573943001117801
2001-01-06 06:00:00,2001,1,6,6,20.0,22.933333333333334,16.37710364531909,-0.17911185010859598
2001-01-06 07:00:00,2001,1,6,7,17.0,22.933333333333334,16.62814596084717,-0.3568247083772316
2001-01-06 08:00:00,2001,1,6,8,17.0,24.0,12.755950992156004,-0.5487634755185637
2001-01-06 09:00:00,2001,1,6,9,13.0,23.133333333333333,14.366959449010908,-0.7053220529574865
2001-01-06 10:00:00,2001,1,6,10,15.0,24.428571428571427,15.214943492977733,-0.6196915179424141
2001-01-06 11:00:00,2001,1,6,11,19.0,26.071428571428573,15.409608819046769,-0.45889734479749167
2001-01-06 12:00:00,2001,1,6,12,20.0,25.266666666666666,14.611476246267456,-0.36044726610099037
2001-01-06 13:00:00,2001,1,6,13,22.0,27.933333333333334,14.33012145630249,-0.4140462697002342
2001-01-06 14:00:00,2001,1,6,14,15.0,22.466666666666665,14.024807952169544,-0.5323899401782269
2001-01-06 15:00:00,2001,1,6,15,11.0,22.333333333333332,14.89327109165491,-0.7609700557779879
2001-01-06 16:00:00,2001,1,6,16,15.0,22.533333333333335,15.683779913686381,-0.48032638654661336
2001-01-06 17:00:00,2001,1,6,17,11.0,21.533333333333335,14.342079280747198,-0.7344355812809708
2001-01-06 18:00:00,2001,1,6,18,11.0,20.933333333333334,15.768262277058154,-0.629957389013355
2001-01-06 19:00:00,2001,1,6,19,9.0,22.066666666666666,14.310169544102278,-0.9131035538325888
2001-01-06 20:00:00,2001,1,6,20,4.0,20.933333333333334,12.969561434741106,-1.305621120539559
2001-01-06 21:00:00,2001,1,6,21,4.0,18.666666666666668,11.487052753094718,-1.2767998007770385
2001-01-06 22:00:00,2001,1,6,22,11.0,19.133333333333333,11.469628631842486,-0.7091191523632436
2001-01-06 23:00:00,2001,1,6,23,19.0,18.214285714285715,10.43056581862668,0.0753280597981725
2001-01-07 00:00:00,2001,1,7,0,22.0,19.4,8.724350159999638,0.2980164656756635
2001-01-07 02:00:00,2001,1,7,2,20.0,20.0,10.030722038586486,0.0
2001-01-07 03:00:00,2001,1,7,3,17.0,19.4,9.45515732285825,-0.2538297267881408
2001-01-07 04:00:00,2001,1,7,4,17.0,21.666666666666668,10.634624492441569,-0.43881818958285224
2001-01-07 05:00:00,2001,1,7,5,19.0,24.0,9.72478424292429,-0.5141502243237919
2001-01-07 06:00:00,2001,1,7,6,17.0,23.071428571428573,11.027687432544056,-0.5505622650775396
2001-01-07 07:00:00,2001,1,7,7,20.0,26.214285714285715,11.129852935848989,-0.5583439197358709
2001-01-07 08:00:00,2001,1,7,8,24.0,24.733333333333334,11.316654393709593,-0.06480124848037778
2001-01-07 09:00:00,2001,1,7,9,20.0,24.266666666666666,11.603365685786828,-0.3677094027893116
2001-01-07 10:00:00,2001,1,7,10,19.0,27.933333333333334,11.510657587437745,-0.7760923531495545
2001-01-07 11:00:00,2001,1,7,11,6.0,24.666666666666668,9.759000729485333,-1.912764142979125
2001-01-07 12:00:00,2001,1,7,12,4.0,24.266666666666666,11.627963012046598,-1.7429249341153175
2001-01-07 13:00:00,2001,1,7,13,0.0,23.142857142857142,12.327936647226169,-1.8772693115732688
2001-01-07 14:00:00,2001,1,7,14,7.0,25.0,11.934344197674685,-1.508252125282859
2001-01-07 15:00:00,2001,1,7,15,6.0,23.266666666666666,10.713587278822738,-1.6116606153755078
2001-01-07 16:00:00,2001,1,7,16,4.0,23.533333333333335,9.82610711077286,-1.9879015273421914
2001-01-07 17:00:00,2001,1,7,17,9.0,22.6,9.069572363520942,-1.499519432106971
2001-01-07 19:00:00,2001,1,7,19,0.0,19.666666666666668,11.902380714238083,-1.6523304991530516
2001-01-07 20:00:00,2001,1,7,20,6.0,19.666666666666668,9.670770885705519,-1.4131930978602265
2001-01-07 21:00:00,2001,1,7,21,6.0,20.666666666666668,9.911513266807207,-1.4797605846711677
2001-01-07 22:00:00,2001,1,7,22,7.0,19.133333333333333,9.334013580652726,-1.2999052581713568
2001-01-07 23:00:00,2001,1,7,23,0.0,19.066666666666666,10.067391963779942,-1.8939032805381923
2001-01-08 00:00:00,2001,1,8,0,0.0,17.733333333333334,7.704049646282204,-2.301819711389195
2001-01-08 01:00:00,2001,1,8,1,13.0,18.133333333333333,7.347173087722404,-0.6986814210095936
2001-01-08 02:00:00,2001,1,8,2,15.0,14.2,8.143358380563004,0.09823956684867054
2001-01-08 03:00:00,2001,1,8,3,13.0,18.066666666666666,7.439918074305721,-0.6810110831952243
2001-01-08 04:00:00,2001,1,8,4,19.0,16.933333333333334,8.11934785089354,0.2545360421328947
2001-01-08 05:00:00,2001,1,8,5,26.0,19.933333333333334,9.602579018655552,0.631774719570707
2001-01-08 06:00:00,2001,1,8,6,26.0,19.666666666666668,10.714920616109286,0.5910760854178909
2001-01-08 07:00:00,2001,1,8,7,24.0,19.2,12.364696287645495,0.3882020138898231
2001-01-08 08:00:00,2001,1,8,8,22.0,19.2,12.627634095789395,0.2217359149592118
2001-01-08 09:00:00,2001,1,8,9,17.0,21.4,14.411305086136869,-0.30531585957698115
2001-01-08 10:00:00,2001,1,8,10,19.0,24.066666666666666,16.701012230514937,-0.3033748252341976
2001-01-08 11:00:00,2001,1,8,11,11.0,22.133333333333333,17.066536457836623,-0.6523487270447966
2001-01-08 12:00:00,2001,1,8,12,17.0,24.133333333333333,16.98262417324024,-0.42003716625687487
2001-01-08 13:00:00,2001,1,8,13,15.0,25.0,16.894631438080307,-0.5919040043371478
2001-01-08 14:00:00,2001,1,8,14,17.0,25.333333333333332,15.323495809035347,-0.5438271682379203
2001-01-08 15:00:00,2001,1,8,15,15.0,27.133333333333333,16.49617560296354,-0.7355240163152469
2001-01-08 16:00:00,2001,1,8,16,19.0,26.266666666666666,13.530213104998264,-0.5370696389092534
2001-01-08 17:00:00,2001,1,8,17,17.0,27.8,12.627634095789395,-0.8552671005569596
2001-01-08 18:00:00,2001,1,8,18,19.0,28.266666666666666,13.177180853205867,-0.7032359022690491
2001-01-08 19:00:00,2001,1,8,19,15.0,27.133333333333333,12.158868995021503,-0.9978998324845324
2001-01-08 20:00:00,2001,1,8,20,20.0,26.8,12.393546707863734,-0.5486726407127175
2001-01-08 21:00:00,2001,1,8,21,9.0,25.066666666666666,12.331531399897852,-1.302893058910733
2001-01-08 22:00:00,2001,1,8,22,11.0,24.266666666666666,12.780938187487685,-1.0380041333471512
2001-01-08 23:00:00,2001,1,8,23,11.0,24.4,10.513936329598785,-1.2744988727272755
2001-01-09 00:00:00,2001,1,9,0,20.0,25.2,11.73639029441579,-0.44306638323660513
2001-01-09 01:00:00,2001,1,9,1,20.0,25.933333333333334,11.510657587437745,-0.5154643241067937
2001-01-09 02:00:00,2001,1,9,2,28.0,26.733333333333334,12.69683125073039,0.09976242431305844
2001-01-09 03:00:00,2001,1,9,3,17.0,27.066666666666666,12.786525645977413,-0.7872870977921667
2001-01-09 04:00:00,2001,1,9,4,20.0,24.933333333333334,12.261826167108262,-0.40233267590815747
2001-01-09 05:00:00,2001,1,9,5,20.0,22.666666666666668,8.277910939591555,-0.32214246880967834
2001-01-09 06:00:00,2001,1,9,6,22.0,23.333333333333332,9.875414397573882,-0.1350154312168303
2001-01-09 07:00:00,2001,1,9,7,22.0,23.066666666666666,11.889170742839086,-0.08971749920482265
2001-01-09 08:00:00,2001,1,9,8,13.0,21.2,11.47170431975999,-0.7148022448482667
2001-01-09 09:00:00,2001,1,9,9,13.0,19.733333333333334,9.823198974633371,-0.6854521984865568
2001-01-09 10:00:00,2001,1,9,10,11.0,20.133333333333333,11.42595208078438,-0.7993498720070195
2001-01-09 11:00:00,2001,1,9,11,7.0,19.533333333333335,12.955234279552618,-0.9674339392777193
