Month,Day,Hour,mu_t,sigma_t,count
1,1,0,21.166666666666668,10.684171243082691,12
1,1,1,17.46153846153846,11.332956253153784,13
1,1,2,22.214285714285715,10.016744223307532,14
1,1,3,22.357142857142858,8.83704739114862,14
1,1,4,23.142857142857142,11.169030967243879,14
1,1,5,21.466666666666665,12.899981542991593,15
1,1,6,19.8,10.611314715905849,15
1,1,7,20.8,10.530228596080633,15
1,1,8,22.6,12.022597770151721,15
1,1,9,24.428571428571427,11.978919212287288,14
1,1,10,24.4,14.436065946094871,15
1,1,11,22.571428571428573,12.37686604867376,14
1,1,12,27.071428571428573,11.906457754669786,14
1,1,13,25.357142857142858,10.73890943365181,14
1,1,14,23.714285714285715,12.19980183589737,14
1,1,15,22.071428571428573,12.350423759246766,14
1,1,16,21.071428571428573,10.54998567781956,14
1,1,17,21.733333333333334,11.713646904765561,15
1,1,18,21.785714285714285,11.409702830543779,14
1,1,19,20.6,13.189822916606142,15
1,1,20,19.785714285714285,13.226887368181126,14
1,1,21,19.571428571428573,13.871466484030533,14
1,1,22,19.928571428571427,10.992754856752669,14
1,1,23,19.066666666666666,11.707547423208101,15
1,2,0,19.714285714285715,11.93848702840827,14
1,2,1,17.0,9.323254631461962,14
1,2,2,20.5,10.044133381462803,14
1,2,3,20.214285714285715,10.259543935197204,14
1,2,4,21.142857142857142,10.227091795491356,14
1,2,5,20.785714285714285,10.296964238428359,14
1,2,6,23.066666666666666,12.056217522605543,15
1,2,7,22.866666666666667,13.447605557797093,15
1,2,8,21.071428571428573,12.682297084545029,14
1,2,9,22.933333333333334,13.609170577574659,15
1,2,10,22.066666666666666,11.354462097510808,15
1,2,11,22.333333333333332,14.792211592913477,15
1,2,12,22.066666666666666,12.964052864234496,15
1,2,13,22.066666666666666,12.383552840456609,15
1,2,14,23.866666666666667,13.168504995234796,15
1,2,15,23.2,13.733171520082314,15
1,2,16,24.2,15.269951819551643,15
1,2,17,26.133333333333333,15.17454008089427,15
1,2,18,23.8,14.438044980437722,15
