data_type,mean_wind_speed_kmh,std_wind_speed_kmh,sample_hours
Actual 1989-2003,13.787938618223954,9.591142802136256,131400
ARMA simulated raw,13.785652056023572,9.316516612406023,8760000
ARMA simulated negative set zero,14.030535196915867,8.838605801305603,8760000
