"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-01 00:00","2001","09","01","00:00","","17.7","","1.9","","35","","","","21","","17","","15.0","","90.91","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-01 01:00","2001","09","01","01:00","","18.8","","2.3","","33","","","","23","","22","","15.0","","90.91","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-01 02:00","2001","09","01","02:00","","16.7","","2.3","","38","","","","23","","15","","12.9","","90.93","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-01 03:00","2001","09","01","03:00","","18.7","","2.4","","34","","","","24","","22","","8.0","","90.89","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-01 04:00","2001","09","01","04:00","","17.7","","0.7","","32","","","","22","","24","","8.0","","90.89","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-01 05:00","2001","09","01","05:00","","16.1","","0.2","","34","","","","24","","13","","11.3","","90.88","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-01 06:00","2001","09","01","06:00","","14.2","","-0.5","","36","","","","27","","15","","12.9","","90.91","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-01 07:00","2001","09","01","07:00","","13.8","","0.5","","40","","","","25","","19","","12.9","","90.93","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-01 08:00","2001","09","01","08:00","","19.5","","3.9","","36","","","","25","","33","","15.0","","90.91","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-01 09:00","2001","09","01","09:00","","21.5","","4.6","","33","","","","26","","28","","15.0","","90.92","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-01 10:00","2001","09","01","10:00","","23.5","","3.1","","26","","","","27","","30","","15.0","","90.92","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-01 11:00","2001","09","01","11:00","","25.8","","4.6","","26","","","","27","","43","","15.0","","90.89","","25","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-01 12:00","2001","09","01","12:00","","26.7","","4.2","","24","","","","27","","39","","15.0","","90.85","","26","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-01 13:00","2001","09","01","13:00","","28.3","","5.0","","23","","","","26","","39","","15.0","","90.74","","28","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-01 14:00","2001","09","01","14:00","","28.3","","5.6","","24","","","","27","","37","","15.0","","90.73","","28","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-01 15:00","2001","09","01","15:00","","29.6","","6.4","","23","","","","27","","41","","15.0","","90.68","","29","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-01 16:00","2001","09","01","16:00","","30.2","","6.8","","23","","","","27","","46","","15.0","","90.61","","30","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-01 17:00","2001","09","01","17:00","","29.5","","7.2","","25","","","","27","","43","","15.0","","90.62","","30","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-01 18:00","2001","09","01","18:00","","28.5","","5.5","","23","","","","26","","33","","15.0","","90.62","","28","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-01 19:00","2001","09","01","19:00","","26.6","","4.3","","24","","","","26","","37","","15.0","","90.67","","26","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-01 20:00","2001","09","01","20:00","","24.4","","4.6","","28","","","","25","","19","","15.0","","90.69","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-01 21:00","2001","09","01","21:00","","21.6","","2.8","","29","","","","23","","15","","15.0","","90.76","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-01 22:00","2001","09","01","22:00","","23.6","","4.9","","30","","","","26","","32","","12.9","","90.77","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-01 23:00","2001","09","01","23:00","","22.3","","3.9","","30","","","","27","","33","","15.0","","90.78","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-02 00:00","2001","09","02","00:00","","19.2","","4.6","","38","","","","28","","35","","9.7","","90.90","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-02 01:00","2001","09","02","01:00","","15.5","","6.1","","53","","","","29","","26","","15.0","","91.07","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-02 02:00","2001","09","02","02:00","","15.0","","5.5","","53","","","","27","","24","","15.0","","91.17","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-02 03:00","2001","09","02","03:00","","14.6","","3.0","","46","","","","28","","33","","15.0","","91.32","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-02 04:00","2001","09","02","04:00","","12.8","","5.0","","59","","","","27","","20","","15.0","","91.43","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-02 05:00","2001","09","02","05:00","","12.1","","2.9","","53","","","","28","","30","","15.0","","91.54","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-02 06:00","2001","09","02","06:00","","10.8","","1.2","","51","","","","27","","22","","15.0","","91.65","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-02 07:00","2001","09","02","07:00","","10.4","","2.3","","57","","","","28","","22","","15.0","","91.71","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-02 08:00","2001","09","02","08:00","","10.7","","2.5","","57","","","","29","","26","","15.0","","91.77","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-02 09:00","2001","09","02","09:00","","12.3","","2.1","","50","","","","29","","19","","15.0","","91.78","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-02 10:00","2001","09","02","10:00","","15.2","","0.9","","38","","","","31","","24","","15.0","","91.84","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-02 11:00","2001","09","02","11:00","","16.8","","-1.4","","29","","","","30","","24","","15.0","","91.89","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-02 12:00","2001","09","02","12:00","","18.1","","-1.7","","26","","","","32","","33","","15.0","","91.88","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-02 13:00","2001","09","02","13:00","","19.4","","-2.4","","23","","","","33","","20","","15.0","","91.86","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-02 14:00","2001","09","02","14:00","","20.2","","-0.4","","25","","","","30","","13","","15.0","","91.88","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-02 15:00","2001","09","02","15:00","","21.0","","-2.8","","20","","","","27","","15","","15.0","","91.88","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-02 16:00","2001","09","02","16:00","","21.2","","-0.8","","23","","","","29","","17","","15.0","","91.84","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-02 17:00","2001","09","02","17:00","","21.1","","-0.7","","23","","","","29","","17","","15.0","","91.84","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-02 18:00","2001","09","02","18:00","","20.6","","-0.4","","24","","","","32","","7","","15.0","","91.82","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-02 19:00","2001","09","02","19:00","","19.7","","-0.4","","26","","","","2","","6","","15.0","","91.80","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-02 20:00","2001","09","02","20:00","","16.4","","-2.1","","28","","","","7","","9","","15.0","","91.81","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-02 21:00","2001","09","02","21:00","","15.9","","-2.4","","28","","","","9","","9","","15.0","","91.84","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-02 22:00","2001","09","02","22:00","","11.4","","-4.4","","33","","","","14","","13","","15.0","","91.87","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-02 23:00","2001","09","02","23:00","","9.6","","-5.2","","35","","","","16","","13","","15.0","","91.88","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-03 00:00","2001","09","03","00:00","","9.6","","-3.7","","39","","","","14","","15","","15.0","","91.87","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-03 01:00","2001","09","03","01:00","","11.4","","-2.4","","38","","","","15","","17","","15.0","","91.86","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-03 02:00","2001","09","03","02:00","","13.2","","-2.2","","34","","","","16","","22","","15.0","","91.86","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-03 03:00","2001","09","03","03:00","","12.8","","-2.3","","35","","","","15","","20","","15.0","","91.82","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-03 04:00","2001","09","03","04:00","","13.0","","-2.1","","35","","","","14","","19","","15.0","","91.79","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-03 05:00","2001","09","03","05:00","","11.5","","-2.2","","38","","","","15","","17","","15.0","","91.79","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-03 06:00","2001","09","03","06:00","","12.2","","-1.8","","38","","","","16","","20","","15.0","","91.73","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-03 07:00","2001","09","03","07:00","","12.8","","-1.5","","37","","","","16","","24","","15.0","","91.71","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-03 08:00","2001","09","03","08:00","","14.9","","-1.5","","32","","","","17","","30","","15.0","","91.69","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-03 09:00","2001","09","03","09:00","","18.0","","0.0","","30","","","","18","","41","","15.0","","91.65","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-03 10:00","2001","09","03","10:00","","21.1","","0.3","","25","","","","18","","41","","15.0","","91.59","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-03 11:00","2001","09","03","11:00","","24.2","","2.6","","24","","","","18","","35","","15.0","","91.55","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-03 12:00","2001","09","03","12:00","","27.5","","2.2","","19","","","","20","","30","","15.0","","91.48","","26","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-03 13:00","2001","09","03","13:00","","29.8","","5.2","","21","","","","20","","30","","15.0","","91.39","","29","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-03 14:00","2001","09","03","14:00","","32.1","","4.6","","18","","","","24","","44","","15.0","","91.22","","31","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-03 15:00","2001","09","03","15:00","","32.4","","6.4","","20","","","","24","","43","","15.0","","91.18","","32","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-03 16:00","2001","09","03","16:00","","32.2","","4.4","","17","","","","27","","41","","15.0","","91.13","","31","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-03 17:00","2001","09","03","17:00","","31.8","","2.9","","16","","","","27","","44","","15.0","","91.18","","30","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-03 18:00","2001","09","03","18:00","","30.5","","3.3","","18","","","","28","","46","","15.0","","91.22","","29","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-03 19:00","2001","09","03","19:00","","27.1","","2.8","","21","","","","29","","35","","15.0","","91.32","","26","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-03 20:00","2001","09","03","20:00","","23.2","","2.0","","25","","","","30","","17","","15.0","","91.39","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-03 21:00","2001","09","03","21:00","","21.9","","1.3","","26","","","","27","","17","","15.0","","91.46","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-03 22:00","2001","09","03","22:00","","20.4","","1.5","","28","","","","27","","15","","15.0","","91.51","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-03 23:00","2001","09","03","23:00","","19.8","","1.6","","30","","","","26","","17","","15.0","","91.54","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-04 00:00","2001","09","04","00:00","","18.6","","0.1","","29","","","","32","","9","","15.0","","91.67","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-04 01:00","2001","09","04","01:00","","18.1","","-3.8","","22","","","","3","","20","","15.0","","91.69","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-04 02:00","2001","09","04","02:00","","15.1","","-3.0","","29","","","","6","","9","","15.0","","91.88","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-04 03:00","2001","09","04","03:00","","14.6","","-3.2","","29","","","","6","","7","","15.0","","92.00","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-04 04:00","2001","09","04","04:00","","12.5","","-4.6","","30","","","","2","","13","","15.0","","92.09","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-04 05:00","2001","09","04","05:00","","11.3","","-3.1","","36","","","","3","","13","","15.0","","92.11","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-04 06:00","2001","09","04","06:00","","9.7","","-2.2","","43","","","","9","","7","","15.0","","92.17","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-04 07:00","2001","09","04","07:00","","12.1","","-1.7","","38","","","","9","","9","","15.0","","92.19","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-04 08:00","2001","09","04","08:00","","13.9","","-0.2","","38","","","","8","","13","","15.0","","92.23","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-04 09:00","2001","09","04","09:00","","17.0","","-1.3","","29","","","","9","","24","","15.0","","92.20","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-04 10:00","2001","09","04","10:00","","18.8","","-1.7","","25","","","","11","","28","","15.0","","92.21","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-04 11:00","2001","09","04","11:00","","20.5","","0.1","","26","","","","10","","24","","15.0","","92.20","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-04 12:00","2001","09","04","12:00","","22.0","","1.9","","27","","","","13","","28","","15.0","","92.15","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-04 13:00","2001","09","04","13:00","","24.1","","-0.4","","20","","","","14","","22","","15.0","","92.06","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-04 14:00","2001","09","04","14:00","","25.3","","1.6","","21","","","","13","","26","","15.0","","91.97","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-04 15:00","2001","09","04","15:00","","26.5","","2.3","","21","","","","16","","22","","15.0","","91.84","","25","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-04 16:00","2001","09","04","16:00","","27.5","","2.8","","20","","","","16","","22","","15.0","","91.77","","26","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-04 17:00","2001","09","04","17:00","","27.9","","1.5","","18","","","","14","","24","","15.0","","91.68","","26","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-04 18:00","2001","09","04","18:00","","27.5","","1.2","","18","","","","13","","26","","15.0","","91.60","","26","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-04 19:00","2001","09","04","19:00","","25.6","","0.9","","20","","","","13","","26","","15.0","","91.54","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-04 20:00","2001","09","04","20:00","","22.6","","1.5","","25","","","","13","","24","","15.0","","91.49","","","","","",""
"-107.68","50.30","SWIFT CURRENT A","4028040","2001-09-04 21:00","2001","09","04","21:00","","21.9","","-0.9","","22","","","","13","","28","","15.0","","91.46","","","","","",""
