"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-107.68","50.30","SWIFT CURRENT A","4028040","1998-06-01 00:00","1998","06","01","00:00","","18.2","","7.1","","48","","27","","24","","15.0","","90.69","","","","","","NA"
"-107.68","50.30","SWIFT CURRENT A","4028040","1998-06-01 01:00","1998","06","01","01:00","","13.9","","8.5","","70","","34","","15","","15.0","","90.66","","","","","","NA"
"-107.68","50.30","SWIFT CURRENT A","4028040","1998-06-01 02:00","1998","06","01","02:00","","12.8","","8.7","","76","","2","","7","","15.0","","90.60","","","","","","NA"
"-107.68","50.30","SWIFT CURRENT A","4028040","1998-06-01 03:00","1998","06","01","03:00","","11.9","","8.7","","81","","23","","9","","15.0","","90.60","","","","","","NA"
"-107.68","50.30","SWIFT CURRENT A","4028040","1998-06-01 04:00","1998","06","01","04:00","","12.4","","10.6","","89","","29","","24","","15.0","","90.66","","","","","","NA"
"-107.68","50.30","SWIFT CURRENT A","4028040","1998-06-01 05:00","1998","06","01","05:00","","12.4","","10.7","","89","","30","","24","","15.0","","90.60","","","","","","NA"
"-107.68","50.30","SWIFT CURRENT A","4028040","1998-06-01 06:00","1998","06","01","06:00","","12.3","","10.8","","91","","30","","30","","15.0","","90.66","","","","","","NA"
"-107.68","50.30","SWIFT CURRENT A","4028040","1998-06-01 07:00","1998","06","01","07:00","","11.7","","11.4","","98","","31","","35","","4.8","","90.75","","","","","","Moderate Rain"
"-107.68","50.30","SWIFT CURRENT A","4028040","1998-06-01 08:00","1998","06","01","08:00","","11.4","","10.6","","95","","31","","30","","15.0","","90.78","","","","","","NA"
"-107.68","50.30","SWIFT CURRENT A","4028040","1998-06-01 09:00","1998","06","01","09:00","","11.9","","10.4","","91","","31","","30","","15.0","","90.85","","","","","","NA"
"-107.68","50.30","SWIFT CURRENT A","4028040","1998-06-01 10:00","1998","06","01","10:00","","13.6","","10.0","","79","","31","","35","","15.0","","90.85","","","","","","NA"
