Year,Month,Day,Time (LST),Wind Spd (km/h)
2000,5,1,00:00,7.0
2000,5,1,01:00,6.0
2000,5,1,02:00,4.0
2000,5,1,03:00,6.0
2000,5,1,04:00,0.0
2000,5,1,05:00,7.0
2000,5,1,06:00,11.0
2000,5,1,07:00,7.0
2000,5,1,08:00,7.0
2000,5,1,09:00,9.0
2000,5,1,10:00,11.0
2000,5,1,11:00,7.0
2000,5,1,12:00,15.0
2000,5,1,13:00,11.0
2000,5,1,14:00,9.0
2000,5,1,15:00,7.0
2000,5,1,16:00,6.0
2000,5,1,17:00,4.0
2000,5,1,18:00,4.0
2000,5,1,19:00,26.0
2000,5,1,20:00,26.0
2000,5,1,21:00,24.0
2000,5,1,22:00,15.0
2000,5,1,23:00,15.0
2000,5,2,00:00,15.0
2000,5,2,01:00,15.0
2000,5,2,02:00,20.0
2000,5,2,03:00,17.0
2000,5,2,04:00,20.0
2000,5,2,05:00,13.0
2000,5,2,06:00,11.0
2000,5,2,07:00,19.0
2000,5,2,08:00,20.0
2000,5,2,09:00,15.0
2000,5,2,10:00,15.0
2000,5,2,11:00,19.0
2000,5,2,12:00,17.0
2000,5,2,13:00,20.0
2000,5,2,14:00,20.0
2000,5,2,15:00,15.0
2000,5,2,16:00,15.0
2000,5,2,17:00,11.0
2000,5,2,18:00,6.0
2000,5,2,19:00,4.0
2000,5,2,20:00,9.0
2000,5,2,21:00,6.0
2000,5,2,22:00,4.0
2000,5,2,23:00,7.0
2000,5,3,00:00,7.0
2000,5,3,01:00,7.0
2000,5,3,02:00,6.0
2000,5,3,03:00,7.0
2000,5,3,04:00,7.0
2000,5,3,05:00,6.0
2000,5,3,06:00,9.0
2000,5,3,07:00,4.0
2000,5,3,08:00,7.0
2000,5,3,09:00,7.0
2000,5,3,10:00,11.0
2000,5,3,11:00,9.0
2000,5,3,12:00,9.0
2000,5,3,13:00,9.0
2000,5,3,14:00,11.0
2000,5,3,15:00,15.0
2000,5,3,16:00,13.0
2000,5,3,17:00,9.0
2000,5,3,18:00,11.0
2000,5,3,19:00,15.0
2000,5,3,20:00,20.0
2000,5,3,21:00,22.0
2000,5,3,22:00,17.0
2000,5,3,23:00,9.0
2000,5,4,00:00,6.0
2000,5,4,01:00,7.0
2000,5,4,02:00,6.0
2000,5,4,03:00,4.0
2000,5,4,04:00,4.0
2000,5,4,05:00,0.0
2000,5,4,06:00,4.0
2000,5,4,07:00,6.0
2000,5,4,08:00,6.0
2000,5,4,09:00,11.0
2000,5,4,10:00,7.0
2000,5,4,11:00,7.0
2000,5,4,12:00,7.0
2000,5,4,13:00,6.0
2000,5,4,14:00,11.0
2000,5,4,15:00,17.0
2000,5,4,16:00,22.0
2000,5,4,17:00,28.0
2000,5,4,18:00,30.0
2000,5,4,19:00,9.0
2000,5,4,20:00,28.0
2000,5,4,21:00,11.0
2000,5,4,22:00,15.0
2000,5,4,23:00,11.0
2000,5,5,00:00,17.0
2000,5,5,01:00,13.0
2000,5,5,02:00,7.0
2000,5,5,03:00,17.0
2000,5,5,04:00,11.0
2000,5,5,05:00,6.0
2000,5,5,06:00,4.0
2000,5,5,07:00,6.0
2000,5,5,08:00,7.0
2000,5,5,09:00,17.0
2000,5,5,10:00,11.0
2000,5,5,11:00,19.0
2000,5,5,12:00,
2000,5,5,13:00,7.0
2000,5,5,14:00,11.0
2000,5,5,15:00,26.0
2000,5,5,16:00,24.0
2000,5,5,17:00,24.0
2000,5,5,18:00,13.0
2000,5,5,19:00,19.0
2000,5,5,20:00,13.0
2000,5,5,21:00,13.0
2000,5,5,22:00,9.0
2000,5,5,23:00,13.0
2000,5,6,00:00,7.0
2000,5,6,01:00,4.0
2000,5,6,02:00,4.0
2000,5,6,03:00,7.0
2000,5,6,04:00,6.0
2000,5,6,05:00,6.0
2000,5,6,06:00,6.0
2000,5,6,07:00,9.0
2000,5,6,08:00,11.0
2000,5,6,09:00,7.0
2000,5,6,10:00,9.0
2000,5,6,11:00,7.0
2000,5,6,12:00,17.0
2000,5,6,13:00,20.0
2000,5,6,14:00,20.0
2000,5,6,15:00,15.0
2000,5,6,16:00,15.0
2000,5,6,17:00,9.0
2000,5,6,18:00,6.0
2000,5,6,19:00,22.0
2000,5,6,20:00,7.0
2000,5,6,21:00,4.0
2000,5,6,22:00,6.0
2000,5,6,23:00,6.0
2000,5,7,00:00,6.0
2000,5,7,01:00,6.0
2000,5,7,02:00,4.0
2000,5,7,03:00,13.0
2000,5,7,04:00,11.0
2000,5,7,05:00,11.0
2000,5,7,06:00,13.0
2000,5,7,07:00,9.0
2000,5,7,08:00,26.0
2000,5,7,09:00,9.0
2000,5,7,10:00,9.0
2000,5,7,11:00,24.0
2000,5,7,12:00,20.0
2000,5,7,13:00,32.0
2000,5,7,14:00,30.0
2000,5,7,15:00,33.0
2000,5,7,16:00,24.0
2000,5,7,17:00,28.0
2000,5,7,18:00,22.0
2000,5,7,19:00,9.0
2000,5,7,20:00,11.0
2000,5,7,21:00,7.0
2000,5,7,22:00,7.0
2000,5,7,23:00,9.0
2000,5,8,00:00,11.0
2000,5,8,01:00,7.0
2000,5,8,02:00,0.0
2000,5,8,03:00,0.0
2000,5,8,04:00,6.0
2000,5,8,05:00,0.0
2000,5,8,06:00,6.0
2000,5,8,07:00,6.0
2000,5,8,08:00,4.0
2000,5,8,09:00,7.0
2000,5,8,10:00,17.0
2000,5,8,11:00,20.0
2000,5,8,12:00,22.0
2000,5,8,13:00,22.0
2000,5,8,14:00,20.0
2000,5,8,15:00,20.0
2000,5,8,16:00,19.0
2000,5,8,17:00,
2000,5,8,18:00,7.0
2000,5,8,19:00,7.0
2000,5,8,20:00,4.0
2000,5,8,21:00,4.0
2000,5,8,22:00,11.0
2000,5,8,23:00,11.0
2000,5,9,00:00,7.0
2000,5,9,01:00,7.0
2000,5,9,02:00,15.0
2000,5,9,03:00,11.0
2000,5,9,04:00,17.0
2000,5,9,05:00,24.0
2000,5,9,06:00,24.0
2000,5,9,07:00,22.0
2000,5,9,08:00,35.0
2000,5,9,09:00,17.0
2000,5,9,10:00,15.0
2000,5,9,11:00,30.0
2000,5,9,12:00,17.0
2000,5,9,13:00,22.0
2000,5,9,14:00,19.0
