z_midpoint,wind_speed_kmh,probability
-4.9,0.0,7.876712328767158e-05
-4.800000000000001,0.0,1.6552511415525187e-05
-4.7,0.0,1.7351598173516057e-05
-4.6000000000000005,0.0,2.2488584474885942e-05
-4.5,0.0,2.500000000000011e-05
-4.4,0.0,2.8652968036529804e-05
-4.3,0.0,3.447488584474901e-05
-4.2,0.0,4.54337899543381e-05
-4.1000000000000005,0.0,5.216894977168972e-05
-4.0,0.0,6.404109589041123e-05
-3.9,0.0,7.762557077625604e-05
-3.8,0.0,9.52054794520552e-05
-3.7,0.0,0.00010867579908670048
-3.6,0.0,0.00012888127853880057
-3.5,0.0,0.0001641552511415007
-3.4000000000000004,0.0,0.00019577625570770085
-3.3000000000000003,0.0,0.00024178082191780105
-3.2,0.0,0.00028573059360730127
-3.1,0.0,0.0003426940639269015
-3.0,0.0,0.00040171232876710174
-2.9000000000000004,0.0,0.0005121004566210022
-2.8000000000000003,0.0,0.0006214611872146027
-2.7,0.0,0.0007486301369863033
-2.6,0.0,0.000931963470319604
-2.5,0.0,0.0011227168949771047
-2.4000000000000004,0.0,0.001392009132420006
-2.3000000000000003,0.0,0.0017353881278538077
-2.2,0.0,0.002114041095890409
-2.1,0.0,0.002632420091324211
-2.0,0.0,0.0032812785388127144
-1.9,0.0,0.004031849315068417
-1.8,0.0,0.005078767123287622
-1.7000000000000002,0.3480307848572543,0.006268493150684927
-1.6,1.4172553147479157,0.007806506849315034
-1.5,2.486479844638577,0.009662671232876742
-1.4,3.5557043745292365,0.012062328767123253
-1.3,4.624928904419898,0.015140182648401865
-1.2000000000000002,5.694153434310556,0.01907819634703198
-1.1,6.763377964201217,0.023693835616438404
-1.0,7.832602494091878,0.027757191780822022
-0.9,8.901827023982538,0.032070091324201036
-0.8,9.971051553873195,0.036009474885844855
-0.7000000000000001,11.040276083763857,0.03981198630136997
-0.6000000000000001,12.109500613654518,0.04280422374429239
-0.5,13.17872514354518,0.04506152968036539
-0.4,14.247949673435835,0.0464493150684933
-0.3,15.317174203326498,0.0467497716894979
-0.2,16.38639873321716,0.0462512557077627
-0.1,17.455623263107817,0.04526015981735179
0.0,18.52484779299848,0.043821461187214784
0.1,19.59407232288914,0.04205856164383578
0.2,20.6632968527798,0.03817773972602757
0.3,21.73252138267046,0.03493036529680375
0.4,22.80174591256112,0.03184440639269414
0.5,23.870970442451775,0.029240867579908725
0.6000000000000001,24.94019497234244,0.02691575342465762
0.7000000000000001,26.0094195022331,0.024443150684931608
0.8,27.07864403212376,0.0222567351598174
0.9,28.14786856201442,0.020248858447488586
1.0,29.21709309190508,0.01833721461187218
1.1,30.28631762179574,0.016494977168949772
1.2000000000000002,31.3555421516864,0.014844178082191763
1.3,32.42476668157706,0.013263470319634757
1.4,33.49399121146772,0.01163515981735155
1.5,34.56321574135838,0.010404908675799044
1.6,35.63244027124904,0.00909189497716894
1.7000000000000002,36.7016648011397,0.007994178082191735
1.8,37.77088933103036,0.00701347031963473
1.9,38.84011386092102,0.006189497716894927
2.0,39.90933839081168,0.005281050228310522
2.1,40.978562920702345,0.00463812785388122
2.2,42.047787450593006,0.004012671232876718
2.3000000000000003,43.11701198048367,0.003495433789954315
2.4000000000000004,44.18623651037433,0.0030666666666666134
2.5,45.255461040264976,0.0026891552511415116
2.6,46.32468557015564,0.0023413242009132098
2.7,47.3939101000463,0.0020521689497716086
2.8000000000000003,48.46313462993696,0.0018004566210045078
2.9000000000000004,49.53235915982762,0.0015630136986301067
3.0,50.60158368971828,0.001386986301369806
3.1,51.67080821960894,0.0012221461187214052
3.2,52.740032749499605,0.0010873287671232048
3.3000000000000003,53.809257279390266,0.000937899543378904
3.4000000000000004,54.87848180928093,0.0008252283105022036
3.5,55.94770633917158,0.0007273972602739032
3.6,57.01693086906224,0.0006320776255707028
3.7,58.0861553989529,0.0005647260273972024
3.8,59.155379928843566,0.0004713470319634021
3.9,60.22460445873423,0.00042397260273970184
4.0,61.29382898862488,0.00037602739726020165
4.1000000000000005,62.36305351851555,0.00032408675799080143
4.2,63.43227804840621,0.00028595890410950124
4.3,64.50150257829685,0.00024337899543370106
4.4,65.57072710818753,0.0002093607305936009
4.5,66.63995163807817,0.00019748858447480086
4.6000000000000005,67.70917616796885,0.00017123287671230074
4.7,68.7784006978595,0.00014429223744290062
4.800000000000001,69.84762522775017,0.00012408675799080053
4.9,70.91684975764082,0.00011826484018260051
5.0,71.98607428753148,0.0008127853881278034
