z_midpoint,wind_speed_kmh,probability,single_wtg_power_MW,wind_farm_power_MW_raw,wind_farm_power_MW
-4.9,0.0,7.876712328767158e-05,0.0,0.0,0.0
-4.800000000000001,0.0,1.6552511415525187e-05,0.0,0.0,0.0
-4.7,0.0,1.7351598173516057e-05,0.0,0.0,0.0
-4.6000000000000005,0.0,2.2488584474885942e-05,0.0,0.0,0.0
-4.5,0.0,2.500000000000011e-05,0.0,0.0,0.0
-4.4,0.0,2.8652968036529804e-05,0.0,0.0,0.0
-4.3,0.0,3.447488584474901e-05,0.0,0.0,0.0
-4.2,0.0,4.54337899543381e-05,0.0,0.0,0.0
-4.1000000000000005,0.0,5.216894977168972e-05,0.0,0.0,0.0
-4.0,0.0,6.404109589041123e-05,0.0,0.0,0.0
-3.9,0.0,7.762557077625604e-05,0.0,0.0,0.0
-3.8,0.0,9.52054794520552e-05,0.0,0.0,0.0
-3.7,0.0,0.00010867579908670048,0.0,0.0,0.0
-3.6,0.0,0.00012888127853880057,0.0,0.0,0.0
-3.5,0.0,0.0001641552511415007,0.0,0.0,0.0
-3.4000000000000004,0.0,0.00019577625570770085,0.0,0.0,0.0
-3.3000000000000003,0.0,0.00024178082191780105,0.0,0.0,0.0
-3.2,0.0,0.00028573059360730127,0.0,0.0,0.0
-3.1,0.0,0.0003426940639269015,0.0,0.0,0.0
-3.0,0.0,0.00040171232876710174,0.0,0.0,0.0
-2.9000000000000004,0.0,0.0005121004566210022,0.0,0.0,0.0
-2.8000000000000003,0.0,0.0006214611872146027,0.0,0.0,0.0
-2.7,0.0,0.0007486301369863033,0.0,0.0,0.0
-2.6,0.0,0.000931963470319604,0.0,0.0,0.0
-2.5,0.0,0.0011227168949771047,0.0,0.0,0.0
-2.4000000000000004,0.0,0.001392009132420006,0.0,0.0,0.0
-2.3000000000000003,0.0,0.0017353881278538077,0.0,0.0,0.0
-2.2,0.0,0.002114041095890409,0.0,0.0,0.0
-2.1,0.0,0.002632420091324211,0.0,0.0,0.0
-2.0,0.0,0.0032812785388127144,0.0,0.0,0.0
-1.9,0.0,0.004031849315068417,0.0,0.0,0.0
-1.8,0.0,0.005078767123287622,0.0,0.0,0.0
-1.7000000000000002,0.3480307848572543,0.006268493150684927,0.0,0.0,0.0
-1.6,1.4172553147479157,0.007806506849315034,0.0,0.0,0.0
-1.5,2.486479844638577,0.009662671232876742,0.0,0.0,0.0
-1.4,3.5557043745292365,0.012062328767123253,0.0,0.0,0.0
-1.3,4.624928904419898,0.015140182648401865,0.0,0.0,0.0
-1.2000000000000002,5.694153434310556,0.01907819634703198,0.0,0.0,0.0
-1.1,6.763377964201217,0.023693835616438404,0.0,0.0,0.0
-1.0,7.832602494091878,0.027757191780822022,0.0,0.0,0.0
-0.9,8.901827023982538,0.032070091324201036,0.0,0.0,0.0
-0.8,9.971051553873195,0.036009474885844855,0.0,0.0,0.0
-0.7000000000000001,11.040276083763857,0.03981198630136997,0.0,0.0,0.0
-0.6000000000000001,12.109500613654518,0.04280422374429239,0.0,0.0,0.0
-0.5,13.17872514354518,0.04506152968036539,0.0,0.0,0.0
-0.4,14.247949673435835,0.0464493150684933,0.0,0.0,0.0
-0.3,15.317174203326498,0.0467497716894979,0.007888666611360104,0.14199599900448187,0.142
-0.2,16.38639873321716,0.0462512557077627,0.019977210232208012,0.3595897841797442,0.3596
-0.1,17.455623263107817,0.04526015981735179,0.03517921413397174,0.6332258544114913,0.6332
0.0,18.52484779299848,0.043821461187214784,0.05349467831665128,0.962904209699723,0.9629
0.1,19.59407232288914,0.04205856164383578,0.0749236027802466,1.3486248500444387,1.3486
0.2,20.6632968527798,0.03817773972602757,0.09946598752475777,1.7903877754456399,1.7904
0.3,21.73252138267046,0.03493036529680375,0.12712183255018464,2.2881929859033234,2.2882
0.4,22.80174591256112,0.03184440639269414,0.15789113785652745,2.842040481417494,2.842
0.5,23.870970442451775,0.029240867579908725,0.1917739034437857,3.4519302619881427,3.4519
0.6000000000000001,24.94019497234244,0.02691575342465762,0.22877012931196022,4.117862327615284,4.1179
0.7000000000000001,26.0094195022331,0.024443150684931608,0.26887981546105044,4.839836678298908,4.8398
0.8,27.07864403212376,0.0222567351598174,0.3121029618910565,5.617853314039017,5.6179
0.9,28.14786856201442,0.020248858447488586,0.3584395686019783,6.451912234835609,6.4519
1.0,29.21709309190508,0.01833721461187218,0.4078896355938159,7.342013440688686,7.342
1.1,30.28631762179574,0.016494977168949772,0.46045316286656923,8.288156931598246,8.2882
1.2000000000000002,31.3555421516864,0.014844178082191763,0.5161301504202386,9.290342707564294,9.2903
1.3,32.42476668157706,0.013263470319634757,0.5749205982548236,10.348570768586825,10.3486
1.4,33.49399121146772,0.01163515981735155,0.6368245063703248,11.462841114665848,11.4628
1.5,34.56321574135838,0.010404908675799044,0.7018418747667411,12.633153745801339,12.6332
1.6,35.63244027124904,0.00909189497716894,0.7699727034440738,13.859508661993328,13.8595
1.7000000000000002,36.7016648011397,0.007994178082191735,0.8412169924023218,15.141905863241792,15.1419
1.8,37.77088933103036,0.00701347031963473,0.9155747416414859,16.480345349546745,16.4803
1.9,38.84011386092102,0.006189497716894927,0.993045951161566,17.87482712090819,17.8748
2.0,39.90933839081168,0.005281050228310522,1.0736306209625617,19.32535117732611,19.3254
2.1,40.978562920702345,0.00463812785388122,1.1573287510444739,20.83191751880053,20.8319
2.2,42.047787450593006,0.004012671232876718,1.244140341407301,22.394526145331415,22.3945
2.3000000000000003,43.11701198048367,0.003495433789954315,1.3340653920510441,24.013177056918796,24.0132
2.4000000000000004,44.18623651037433,0.0030666666666666134,1.4271039029757029,25.68787025356265,25.6879
2.5,45.255461040264976,0.0026891552511415116,1.5,27.0,27.0
2.6,46.32468557015564,0.0023413242009132098,1.5,27.0,27.0
2.7,47.3939101000463,0.0020521689497716086,1.5,27.0,27.0
2.8000000000000003,48.46313462993696,0.0018004566210045078,1.5,27.0,27.0
2.9000000000000004,49.53235915982762,0.0015630136986301067,1.5,27.0,27.0
3.0,50.60158368971828,0.001386986301369806,1.5,27.0,27.0
3.1,51.67080821960894,0.0012221461187214052,1.5,27.0,27.0
3.2,52.740032749499605,0.0010873287671232048,1.5,27.0,27.0
3.3000000000000003,53.809257279390266,0.000937899543378904,1.5,27.0,27.0
3.4000000000000004,54.87848180928093,0.0008252283105022036,1.5,27.0,27.0
3.5,55.94770633917158,0.0007273972602739032,1.5,27.0,27.0
3.6,57.01693086906224,0.0006320776255707028,1.5,27.0,27.0
3.7,58.0861553989529,0.0005647260273972024,1.5,27.0,27.0
3.8,59.155379928843566,0.0004713470319634021,1.5,27.0,27.0
3.9,60.22460445873423,0.00042397260273970184,1.5,27.0,27.0
4.0,61.29382898862488,0.00037602739726020165,1.5,27.0,27.0
4.1000000000000005,62.36305351851555,0.00032408675799080143,1.5,27.0,27.0
4.2,63.43227804840621,0.00028595890410950124,1.5,27.0,27.0
4.3,64.50150257829685,0.00024337899543370106,1.5,27.0,27.0
4.4,65.57072710818753,0.0002093607305936009,1.5,27.0,27.0
4.5,66.63995163807817,0.00019748858447480086,1.5,27.0,27.0
4.6000000000000005,67.70917616796885,0.00017123287671230074,1.5,27.0,27.0
4.7,68.7784006978595,0.00014429223744290062,1.5,27.0,27.0
4.800000000000001,69.84762522775017,0.00012408675799080053,1.5,27.0,27.0
4.9,70.91684975764082,0.00011826484018260051,1.5,27.0,27.0
5.0,71.98607428753148,0.0008127853881278034,1.5,27.0,27.0
