site,wtg_count,wind_capacity_MW,mu_used_for_six_step_kmh,sigma_used_for_six_step_kmh,peak_load_pu,Regina_ARMA100_LOLE,Regina_6step_simplified_LOLE,absolute_error_6step_minus_ARMA,relative_error_percent
Regina,18,27.0,18.52484779299848,10.6922452989066,0.92,0.18803412906928624,0.19004053004810956,0.0020064009788233195,1.067040855165185
Regina,18,27.0,18.52484779299848,10.6922452989066,0.95,0.33330905963321344,0.3352128493622591,0.0019037897290456463,0.5711785125614803
Regina,18,27.0,18.52484779299848,10.6922452989066,0.98,0.5688489287023402,0.552445841782184,-0.01640308692015613,-2.8835576710278596
Regina,18,27.0,18.52484779299848,10.6922452989066,1.0,0.8239866090194312,0.8207288597523813,-0.003257749267049914,-0.3953643458995934
Regina,18,27.0,18.52484779299848,10.6922452989066,1.02,1.1091848071527204,1.1418181390056732,0.03263333185295281,2.9421005086359444
Regina,18,27.0,18.52484779299848,10.6922452989066,1.05,1.8207604889427864,1.8002644055225399,-0.020496083420246558,-1.1256880597264876
