step_index,z_midpoint,probability,source_100step_count,source_z_min,source_z_max
1,-3.3333333333333335,0.0045547174000124604,24,-4.9,-2.6
2,-1.6666666666666667,0.1846164630062733,17,-2.5,-0.9
3,0.0,0.6246507739853503,17,-0.8,0.8
4,1.6666666666666667,0.1727618911132151,16,0.9,2.4000000000000004
5,3.3333333333333335,0.013081393744817585,17,2.5,4.1000000000000005
6,5.0,0.0003347607503313847,9,4.2,5.0
