wind_speed_kmh,probability
0.0,0.01987199391171915
0.41600000000000037,0.0052486301369863
1.4220000000000006,0.0065036529680365
2.4279999999999973,0.0080136225266362
3.434000000000001,0.0097965753424657
4.440000000000001,0.0118492770167427
5.4460000000000015,0.0141999619482496
6.452,0.0167501902587519
7.457999999999998,0.0195749619482496
8.464,0.0226577245053272
9.47,0.0257290334855403
10.476,0.0289645357686453
11.482000000000001,0.0319446347031963
12.488,0.0347268645357686
13.494,0.0372869482496194
14.5,0.03927100456621
15.506,0.0409767884322678
16.512,0.042086605783866
17.518,0.0425525114155251
18.524,0.0425168188736681
19.53,0.0418812404870624
20.536,0.0408146499238964
21.542,0.0393741248097412
22.548000000000002,0.0375239726027397
23.554000000000002,0.0355173896499238
24.560000000000002,0.0331668188736681
25.566000000000003,0.030750304414003
26.572000000000003,0.0283274733637747
27.578000000000003,0.0258962328767123
28.584000000000003,0.0235318873668188
29.590000000000003,0.0211859969558599
30.596000000000004,0.0189804794520547
31.602000000000004,0.0168542617960426
32.608000000000004,0.0149582952815829
33.614000000000004,0.0131210426179604
34.620000000000005,0.0114440639269406
35.626000000000005,0.0099499619482496
36.632000000000005,0.0086687975646879
37.638000000000005,0.0074331430745814
38.644000000000005,0.0064111111111111
39.650000000000006,0.0054604642313546
40.656000000000006,0.0046731735159817
41.662000000000006,0.0039310502283105
42.668000000000006,0.0033458143074581
43.67400000000001,0.0028022831050228
44.68000000000001,0.0023458523592085
45.68600000000001,0.0019612252663622
46.69200000000001,0.0016437595129375
47.69800000000001,0.0013652207001522
48.70400000000001,0.0011259132420091
49.71,0.0009223363774733
50.71600000000001,0.0007704718417047
51.722,0.0006256849315068
52.72800000000001,0.0005206621004566
53.73400000000001,0.0004203957382039
54.74,0.0003350837138508
55.746,0.0002826484018264
56.752,0.0002226407914764
57.758,0.0001775114155251
58.764,0.0001483257229832
59.77,0.0001162480974124
60.77600000000001,9.665144596651444e-05
61.782000000000004,7.671232876712329e-05
62.788000000000004,6.278538812785389e-05
63.794000000000004,5.041856925418569e-05
64.80000000000001,3.9878234398782346e-05
65.80600000000001,3.120243531202435e-05
66.81200000000001,2.6369863013698625e-05
67.81800000000001,1.9824961948249618e-05
68.82400000000001,1.491628614916286e-05
69.83000000000001,1.2633181126331807e-05
